county,town,office,district,party,candidate,votes
Tolland,Andover,President,,Rep,George Bush,609
Tolland,Andover,President,,Dem,Al Gore,871
Tolland,Andover,President,,CC,Howard Phillips,4
Tolland,Andover,President,,Green,Ralph Nader,102
Tolland,Andover,President,,Reform,Pat Buchanan,3
Tolland,Andover,President,,Lbt,Harry Browne,2
Tolland,Andover,US Senate,,Rep,Phil Giordano,553
Tolland,Andover,US Senate,,Dem,Joe Lieberman,848
Tolland,Andover,US Senate,,CC,"William Kozak, Jr.",34
Tolland,Andover,US Senate,,Lbt,Wildey J. Moore,11
Tolland,Andover,US House,1.0,Rep,Bob Backlund,513
Tolland,Andover,US House,1.0,Dem,John Larson,924
Tolland,Andover,State Senate,19.0,Rep,John Paul Mereen,444
Tolland,Andover,State Senate,19.0,Dem,Edith G. Prague,1002
Tolland,Andover,State House,55.0,Rep,Pamela Z. Sawyer,1023
New.Haven,Ansonia,President,,Rep,George Bush,2431
New.Haven,Ansonia,President,,Dem,Al Gore,4410
New.Haven,Ansonia,President,,CC,Howard Phillips,41
New.Haven,Ansonia,President,,Green,Ralph Nader,305
New.Haven,Ansonia,President,,Reform,Pat Buchanan,32
New.Haven,Ansonia,President,,Lbt,Harry Browne,10
New.Haven,Ansonia,US Senate,,Rep,Phil Giordano,1881
New.Haven,Ansonia,US Senate,,Dem,Joe Lieberman,4519
New.Haven,Ansonia,US Senate,,CC,"William Kozak, Jr.",136
New.Haven,Ansonia,US Senate,,Lbt,Wildey J. Moore,12
New.Haven,Ansonia,US House,5.0,Rep,Mark Nielsen,2201
New.Haven,Ansonia,US House,5.0,Dem,Jim Maloney,4243
New.Haven,Ansonia,US House,5.0,CC,Joseph A. Zdonczyk,117
New.Haven,Ansonia,State Senate,17.0,Rep,Anthony DeFeo,1619
New.Haven,Ansonia,State Senate,17.0,Dem,Joe Crisco,4723
New.Haven,"Ansonia, part of",State House,104.0,R,Brad Tobin,1325
New.Haven,"Ansonia, part of",State House,104.0,D,Vincent J. Tonucci,4292
New.Haven,"Ansonia, part of",State House,105.0,Rep,Len Greene,280
New.Haven,"Ansonia, part of",State House,105.0,Dem,Samuel S. Mirlis,494
Windham,Ashford,President,,Rep,George Bush,737
Windham,Ashford,President,,Dem,Al Gore,1093
Windham,Ashford,President,,CC,Howard Phillips,25
Windham,Ashford,President,,Green,Ralph Nader,178
Windham,Ashford,President,,Reform,Pat Buchanan,8
Windham,Ashford,President,,Lbt,Harry Browne,5
Windham,Ashford,US Senate,,Rep,Phil Giordano,629
Windham,Ashford,US Senate,,Dem,Joe Lieberman,1118
Windham,Ashford,US Senate,,CC,"William Kozak, Jr.",59
Windham,Ashford,US Senate,,Lbt,Wildey J. Moore,16
Windham,Ashford,US House,2.0,Rep,Rob Simmons,810
Windham,Ashford,US House,2.0,Dem,Sam Gejdenson,1022
Windham,Ashford,US House,2.0,Ind,Rob Simmons,28
Windham,Ashford,State Senate,35.0,Rep,Tony Guglielmo,1112
Windham,Ashford,State House,53.0,Dem,Michael J. Cardin,1277
Hartford,Avon,President,,Rep,George Bush,4741
Hartford,Avon,President,,Dem,Al Gore,4326
Hartford,Avon,President,,CC,Howard Phillips,16
Hartford,Avon,President,,Green,Ralph Nader,353
Hartford,Avon,President,,Reform,Pat Buchanan,19
Hartford,Avon,President,,Lbt,Harry Browne,20
Hartford,Avon,US Senate,,Rep,Phil Giordano,3844
Hartford,Avon,US Senate,,Dem,Joe Lieberman,4774
Hartford,Avon,US Senate,,CC,"William Kozak, Jr.",103
Hartford,Avon,US Senate,,Lbt,Wildey J. Moore,52
Hartford,Avon,US House,6.0,Rep,Nancy Johnson,6135
Hartford,Avon,US House,6.0,Dem,Paul Valenti,2289
Hartford,Avon,US House,6.0,CC,Timothy A. Knibbs,55
Hartford,Avon,US House,6.0,Green,Audrey A. Cole,228
Hartford,Avon,State Senate,8.0,Rep,Thomas J. Herlihy,5632
Hartford,Avon,State House,17.0,R,"Wade H. Horsey, II",3897
Hartford,Avon,State House,17.0,Dem,Jessie Stratton,4665
Hartford,Avon,State House,17.0,G,Thomas J. Sevigny,230
