county,town,office,district,party,candidate,votes
Tolland,Ellington,President,,Republican,Alan Keyes,24
Hartford,Enfield,President,,Republican,Alan Keyes,71
Middlesex,Essex,President,,Republican,Alan Keyes,22
Fairfield,Fairfield,President,,Republican,Alan Keyes,106
Hartford,Farmington,President,,Republican,Alan Keyes,53
New London,Franklin,President,,Republican,Alan Keyes,7
Hartford,Glastonbury,President,,Republican,Alan Keyes,60
Litchfield,Goshen,President,,Republican,Alan Keyes,12
Hartford,Granby,President,,Republican,Alan Keyes,24
Fairfield,Greenwich,President,,Republican,Alan Keyes,164
New London,Griswold,President,,Republican,Alan Keyes,14
New London,Groton,President,,Republican,Alan Keyes,47
New Haven,Guilford,President,,Republican,Alan Keyes,40
Middlesex,Haddam,President,,Republican,Alan Keyes,16
New Haven,Hamden,President,,Republican,Alan Keyes,76
Windham,Hampton,President,,Republican,Alan Keyes,2
Hartford,Hartford,President,,Republican,Alan Keyes,58
Hartford,Hartland,President,,Republican,Alan Keyes,18
Litchfield,Harwinton,President,,Republican,Alan Keyes,16
Tolland,Hebron,President,,Republican,Alan Keyes,16
Litchfield,Kent,President,,Republican,Alan Keyes,15
Windham,Killingly,President,,Republican,Alan Keyes,23
Middlesex,Killingworth,President,,Republican,Alan Keyes,21
New London,Lebanon,President,,Republican,Alan Keyes,17
New London,Ledyard,President,,Republican,Alan Keyes,47
New London,Lisbon,President,,Republican,Alan Keyes,8
Litchfield,Litchfield,President,,Republican,Alan Keyes,36
New London,Lyme,President,,Republican,Alan Keyes,7
New Haven,Madison,President,,Republican,Alan Keyes,47
Hartford,Manchester,President,,Republican,Alan Keyes,104
Tolland,Mansfield,President,,Republican,Alan Keyes,19
Hartford,Marlborough,President,,Republican,Alan Keyes,10
New Haven,Meriden,President,,Republican,Alan Keyes,70
New Haven,Middlebury,President,,Republican,Alan Keyes,39
Middlesex,Middlefield,President,,Republican,Alan Keyes,13
Middlesex,Middletown,President,,Republican,Alan Keyes,68
New Haven,Milford,President,,Republican,Alan Keyes,105
Fairfield,Monroe,President,,Republican,Alan Keyes,32
New London,Montville,President,,Republican,Alan Keyes,20
Litchfield,Morris,President,,Republican,Alan Keyes,26
New Haven,Naugatuck,President,,Republican,Alan Keyes,59
Hartford,New Britain,President,,Republican,Alan Keyes,60
Fairfield,New Canaan,President,,Republican,Alan Keyes,60
Fairfield,New Fairfield,President,,Republican,Alan Keyes,29
Litchfield,New Hartford,President,,Republican,Alan Keyes,24
New Haven,New Haven,President,,Republican,Alan Keyes,51
Hartford,Newington,President,,Republican,Alan Keyes,48
New London,New London,President,,Republican,Alan Keyes,22
Litchfield,New Milford,President,,Republican,Alan Keyes,81
Fairfield,Newtown,President,,Republican,Alan Keyes,67
Litchfield,Norfolk,President,,Republican,Alan Keyes,6
New Haven,North Branford,President,,Republican,Alan Keyes,19
Litchfield,North Canaan,President,,Republican,Alan Keyes,7
New Haven,North Haven,President,,Republican,Alan Keyes,48
New London,Stonington,President,,Republican,Alan Keyes,41
Fairfield,Norwalk,President,,Republican,Alan Keyes,132
New London,Norwich,President,,Republican,Alan Keyes,38
New London,Old Lyme,President,,Republican,Alan Keyes,28
Middlesex,Old Saybrook,President,,Republican,Alan Keyes,32
New Haven,Orange,President,,Republican,Alan Keyes,38
New Haven,Oxford,President,,Republican,Alan Keyes,22
Windham,Plainfield,President,,Republican,Alan Keyes,12
Hartford,Plainville,President,,Republican,Alan Keyes,24
Litchfield,Plymouth,President,,Republican,Alan Keyes,21
Windham,Pomfret,President,,Republican,Alan Keyes,16
Middlesex,Portland,President,,Republican,Alan Keyes,14
New London,Preston,President,,Republican,Alan Keyes,12
New Haven,Prospect,President,,Republican,Alan Keyes,26
Windham,Putnam,President,,Republican,Alan Keyes,18
Fairfield,Redding,President,,Republican,Alan Keyes,17
Fairfield,Ridgefield,President,,Republican,Alan Keyes,72
Hartford,Rocky Hill,President,,Republican,Alan Keyes,29
Litchfield,Roxbury,President,,Republican,Alan Keyes,7
New London,Salem,President,,Republican,Alan Keyes,3
Litchfield,Salisbury,President,,Republican,Alan Keyes,14
Windham,Scotland,President,,Republican,Alan Keyes,5
New Haven,Seymour,President,,Republican,Alan Keyes,26
Litchfield,Sharon,President,,Republican,Alan Keyes,8
Fairfield,Shelton,President,,Republican,Alan Keyes,91
Fairfield,Sherman,President,,Republican,Alan Keyes,11
Hartford,Simsbury,President,,Republican,Alan Keyes,54
Tolland,Somers,President,,Republican,Alan Keyes,20
New Haven,Southbury,President,,Republican,Alan Keyes,65
Hartford,Southington,President,,Republican,Alan Keyes,68
Hartford,South Windsor,President,,Republican,Alan Keyes,49
New London,Sprague,President,,Republican,Alan Keyes,7
Tolland,Stafford,President,,Republican,Alan Keyes,23
Fairfield,Stamford,President,,Republican,Alan Keyes,172
Windham,Sterling,President,,Republican,Alan Keyes,3
Fairfield,Stratford,President,,Republican,Alan Keyes,71
Hartford,Suffield,President,,Republican,Alan Keyes,35
Litchfield,Thomaston,President,,Republican,Alan Keyes,22
Windham,Thompson,President,,Republican,Alan Keyes,15
Tolland,Tolland,President,,Republican,Alan Keyes,41
Litchfield,Torrington,President,,Republican,Alan Keyes,55
Fairfield,Trumbull,President,,Republican,Alan Keyes,61
Tolland,Union,President,,Republican,Alan Keyes,1
Tolland,Vernon,President,,Republican,Alan Keyes,53
New London,Voluntown,President,,Republican,Alan Keyes,5
New Haven,Wallingford,President,,Republican,Alan Keyes,78
Litchfield,Warren,President,,Republican,Alan Keyes,10
Litchfield,Washington,President,,Republican,Alan Keyes,9
New Haven,Waterbury,President,,Republican,Alan Keyes,197
New London,Waterford,President,,Republican,Alan Keyes,31
Litchfield,Watertown,President,,Republican,Alan Keyes,65
Middlesex,Westbrook,President,,Republican,Alan Keyes,13
Hartford,West Hartford,President,,Republican,Alan Keyes,96
New Haven,West Haven,President,,Republican,Alan Keyes,53
Fairfield,Weston,President,,Republican,Alan Keyes,18
Fairfield,Westport,President,,Republican,Alan Keyes,60
Hartford,Wethersfield,President,,Republican,Alan Keyes,56
Tolland,Willington,President,,Republican,Alan Keyes,6
Fairfield,Wilton,President,,Republican,Alan Keyes,51
Litchfield,Winchester,President,,Republican,Alan Keyes,13
Windham,Windham,President,,Republican,Alan Keyes,32
Hartford,Windsor,President,,Republican,Alan Keyes,50
Hartford,Windsor Locks,President,,Republican,Alan Keyes,17
New Haven,Wolcott,President,,Republican,Alan Keyes,42
New Haven,Woodbridge,President,,Republican,Alan Keyes,17
Litchfield,Woodbury,President,,Republican,Alan Keyes,39
Windham,Woodstock,President,,Republican,Alan Keyes,38
New London,North Stonington,President,,Republican,Alan Keyes,14
Tolland,Andover,President,,Republican,Gary Bauer,0
New Haven,Ansonia,President,,Republican,Gary Bauer,3
Windham,Ashford,President,,Republican,Gary Bauer,1
Hartford,Avon,President,,Republican,Gary Bauer,1
Litchfield,Barkhamsted,President,,Republican,Gary Bauer,1
New Haven,Beacon Falls,President,,Republican,Gary Bauer,1
Hartford,Berlin,President,,Republican,Gary Bauer,3
New Haven,Bethany,President,,Republican,Gary Bauer,0
Fairfield,Bethel,President,,Republican,Gary Bauer,0
Litchfield,Bethlehem,President,,Republican,Gary Bauer,0
Hartford,Bloomfield,President,,Republican,Gary Bauer,2
Tolland,Bolton,President,,Republican,Gary Bauer,1
New London,Bozrah,President,,Republican,Gary Bauer,0
New Haven,Branford,President,,Republican,Gary Bauer,1
Fairfield,Bridgeport,President,,Republican,Gary Bauer,8
Litchfield,Bridgewater,President,,Republican,Gary Bauer,0
Hartford,Bristol,President,,Republican,Gary Bauer,3
Fairfield,Brookfield,President,,Republican,Gary Bauer,27
Windham,Brooklyn,President,,Republican,Gary Bauer,2
Hartford,Burlington,President,,Republican,Gary Bauer,0
Litchfield,Canaan,President,,Republican,Gary Bauer,2
Windham,Canterbury,President,,Republican,Gary Bauer,2
Hartford,Canton,President,,Republican,Gary Bauer,1
Windham,Chaplin,President,,Republican,Gary Bauer,0
New Haven,Cheshire,President,,Republican,Gary Bauer,1
Middlesex,Chester,President,,Republican,Gary Bauer,0
Middlesex,Clinton,President,,Republican,Gary Bauer,2
New London,Colchester,President,,Republican,Gary Bauer,0
Litchfield,Colebrook,President,,Republican,Gary Bauer,0
Tolland,Columbia,President,,Republican,Gary Bauer,2
Litchfield,Cornwall,President,,Republican,Gary Bauer,0
Tolland,Coventry,President,,Republican,Gary Bauer,1
Middlesex,Cromwell,President,,Republican,Gary Bauer,1
Fairfield,Danbury,President,,Republican,Gary Bauer,2
Fairfield,Darien,President,,Republican,Gary Bauer,7
Middlesex,Deep River,President,,Republican,Gary Bauer,0
New Haven,Derby,President,,Republican,Gary Bauer,1
Middlesex,Durham,President,,Republican,Gary Bauer,2
Windham,Eastford,President,,Republican,Gary Bauer,1
Hartford,East Granby,President,,Republican,Gary Bauer,1
Middlesex,East Haddam,President,,Republican,Gary Bauer,1
Middlesex,East Hampton,President,,Republican,Gary Bauer,1
Hartford,East Hartford,President,,Republican,Gary Bauer,7
New Haven,East Haven,President,,Republican,Gary Bauer,0
New London,East Lyme,President,,Republican,Gary Bauer,0
Fairfield,Easton,President,,Republican,Gary Bauer,0
Hartford,East Windsor,President,,Republican,Gary Bauer,2
Tolland,Ellington,President,,Republican,Gary Bauer,3
Hartford,Enfield,President,,Republican,Gary Bauer,2
Middlesex,Essex,President,,Republican,Gary Bauer,1
Fairfield,Fairfield,President,,Republican,Gary Bauer,4
Hartford,Farmington,President,,Republican,Gary Bauer,1
New London,Franklin,President,,Republican,Gary Bauer,0
Hartford,Glastonbury,President,,Republican,Gary Bauer,4
Litchfield,Goshen,President,,Republican,Gary Bauer,0
Hartford,Granby,President,,Republican,Gary Bauer,2
Fairfield,Greenwich,President,,Republican,Gary Bauer,8
New London,Griswold,President,,Republican,Gary Bauer,2
New London,Groton,President,,Republican,Gary Bauer,2
New Haven,Guilford,President,,Republican,Gary Bauer,4
Middlesex,Haddam,President,,Republican,Gary Bauer,1
New Haven,Hamden,President,,Republican,Gary Bauer,5
Windham,Hampton,President,,Republican,Gary Bauer,1
Hartford,Hartford,President,,Republican,Gary Bauer,8
Hartford,Hartland,President,,Republican,Gary Bauer,2
Litchfield,Harwinton,President,,Republican,Gary Bauer,1
Tolland,Hebron,President,,Republican,Gary Bauer,2
Litchfield,Kent,President,,Republican,Gary Bauer,0
Windham,Killingly,President,,Republican,Gary Bauer,3
Middlesex,Killingworth,President,,Republican,Gary Bauer,2
New London,Lebanon,President,,Republican,Gary Bauer,1
New London,Ledyard,President,,Republican,Gary Bauer,0
New London,Lisbon,President,,Republican,Gary Bauer,0
Litchfield,Litchfield,President,,Republican,Gary Bauer,1
New London,Lyme,President,,Republican,Gary Bauer,0
New Haven,Madison,President,,Republican,Gary Bauer,3
Hartford,Manchester,President,,Republican,Gary Bauer,8
Tolland,Mansfield,President,,Republican,Gary Bauer,3
Hartford,Marlborough,President,,Republican,Gary Bauer,0
New Haven,Meriden,President,,Republican,Gary Bauer,5
New Haven,Middlebury,President,,Republican,Gary Bauer,2
Middlesex,Middlefield,President,,Republican,Gary Bauer,0
Middlesex,Middletown,President,,Republican,Gary Bauer,6
New Haven,Milford,President,,Republican,Gary Bauer,3
Fairfield,Monroe,President,,Republican,Gary Bauer,1
New London,Montville,President,,Republican,Gary Bauer,1
Litchfield,Morris,President,,Republican,Gary Bauer,1
New Haven,Naugatuck,President,,Republican,Gary Bauer,1
Hartford,New Britain,President,,Republican,Gary Bauer,8
Fairfield,New Canaan,President,,Republican,Gary Bauer,2
Fairfield,New Fairfield,President,,Republican,Gary Bauer,0
Litchfield,New Hartford,President,,Republican,Gary Bauer,0
New Haven,New Haven,President,,Republican,Gary Bauer,5
Hartford,Newington,President,,Republican,Gary Bauer,2
New London,New London,President,,Republican,Gary Bauer,1
Litchfield,New Milford,President,,Republican,Gary Bauer,2
Fairfield,Newtown,President,,Republican,Gary Bauer,4
Litchfield,Norfolk,President,,Republican,Gary Bauer,0
New Haven,North Branford,President,,Republican,Gary Bauer,2
Litchfield,North Canaan,President,,Republican,Gary Bauer,2
New Haven,North Haven,President,,Republican,Gary Bauer,3
New London,Stonington,President,,Republican,Gary Bauer,2
Fairfield,Norwalk,President,,Republican,Gary Bauer,30
New London,Norwich,President,,Republican,Gary Bauer,14
New London,Old Lyme,President,,Republican,Gary Bauer,0
Middlesex,Old Saybrook,President,,Republican,Gary Bauer,4
New Haven,Orange,President,,Republican,Gary Bauer,0
New Haven,Oxford,President,,Republican,Gary Bauer,5
Windham,Plainfield,President,,Republican,Gary Bauer,2
Hartford,Plainville,President,,Republican,Gary Bauer,3
Litchfield,Plymouth,President,,Republican,Gary Bauer,0
Windham,Pomfret,President,,Republican,Gary Bauer,1
Middlesex,Portland,President,,Republican,Gary Bauer,0
New London,Preston,President,,Republican,Gary Bauer,1
New Haven,Prospect,President,,Republican,Gary Bauer,0
Windham,Putnam,President,,Republican,Gary Bauer,0
Fairfield,Redding,President,,Republican,Gary Bauer,1
Fairfield,Ridgefield,President,,Republican,Gary Bauer,3
Hartford,Rocky Hill,President,,Republican,Gary Bauer,1
Litchfield,Roxbury,President,,Republican,Gary Bauer,0
New London,Salem,President,,Republican,Gary Bauer,1
Litchfield,Salisbury,President,,Republican,Gary Bauer,0
Windham,Scotland,President,,Republican,Gary Bauer,0
New Haven,Seymour,President,,Republican,Gary Bauer,0
Litchfield,Sharon,President,,Republican,Gary Bauer,0
Fairfield,Shelton,President,,Republican,Gary Bauer,3
Fairfield,Sherman,President,,Republican,Gary Bauer,0
Hartford,Simsbury,President,,Republican,Gary Bauer,1
Tolland,Somers,President,,Republican,Gary Bauer,0
New Haven,Southbury,President,,Republican,Gary Bauer,2
Hartford,Southington,President,,Republican,Gary Bauer,2
Hartford,South Windsor,President,,Republican,Gary Bauer,1
New London,Sprague,President,,Republican,Gary Bauer,1
Tolland,Stafford,President,,Republican,Gary Bauer,0
Fairfield,Stamford,President,,Republican,Gary Bauer,17
Windham,Sterling,President,,Republican,Gary Bauer,1
Fairfield,Stratford,President,,Republican,Gary Bauer,2
Hartford,Suffield,President,,Republican,Gary Bauer,1
Litchfield,Thomaston,President,,Republican,Gary Bauer,0
Windham,Thompson,President,,Republican,Gary Bauer,2
Tolland,Tolland,President,,Republican,Gary Bauer,0
Litchfield,Torrington,President,,Republican,Gary Bauer,1
Fairfield,Trumbull,President,,Republican,Gary Bauer,0
Tolland,Union,President,,Republican,Gary Bauer,0
Tolland,Vernon,President,,Republican,Gary Bauer,2
New London,Voluntown,President,,Republican,Gary Bauer,0
New Haven,Wallingford,President,,Republican,Gary Bauer,1
Litchfield,Warren,President,,Republican,Gary Bauer,1
Litchfield,Washington,President,,Republican,Gary Bauer,1
New Haven,Waterbury,President,,Republican,Gary Bauer,7
New London,Waterford,President,,Republican,Gary Bauer,1
Litchfield,Watertown,President,,Republican,Gary Bauer,4
Middlesex,Westbrook,President,,Republican,Gary Bauer,1
Hartford,West Hartford,President,,Republican,Gary Bauer,7
New Haven,West Haven,President,,Republican,Gary Bauer,16
Fairfield,Weston,President,,Republican,Gary Bauer,0
Fairfield,Westport,President,,Republican,Gary Bauer,4
Hartford,Wethersfield,President,,Republican,Gary Bauer,0
Tolland,Willington,President,,Republican,Gary Bauer,0
Fairfield,Wilton,President,,Republican,Gary Bauer,0
Litchfield,Winchester,President,,Republican,Gary Bauer,2
Windham,Windham,President,,Republican,Gary Bauer,1
Hartford,Windsor,President,,Republican,Gary Bauer,1
Hartford,Windsor Locks,President,,Republican,Gary Bauer,1
New Haven,Wolcott,President,,Republican,Gary Bauer,1
New Haven,Woodbridge,President,,Republican,Gary Bauer,1
Litchfield,Woodbury,President,,Republican,Gary Bauer,0
Windham,Woodstock,President,,Republican,Gary Bauer,2
New London,North Stonington,President,,Republican,Gary Bauer,1
Tolland,Andover,President,,Republican,George W. Bush,85
New Haven,Ansonia,President,,Republican,George W. Bush,269
Windham,Ashford,President,,Republican,George W. Bush,113
Hartford,Avon,President,,Republican,George W. Bush,997
Litchfield,Barkhamsted,President,,Republican,George W. Bush,168
New Haven,Beacon Falls,President,,Republican,George W. Bush,142
Hartford,Berlin,President,,Republican,George W. Bush,671
New Haven,Bethany,President,,Republican,George W. Bush,206
Fairfield,Bethel,President,,Republican,George W. Bush,512
Litchfield,Bethlehem,President,,Republican,George W. Bush,216
Hartford,Bloomfield,President,,Republican,George W. Bush,373
Tolland,Bolton,President,,Republican,George W. Bush,249
New London,Bozrah,President,,Republican,George W. Bush,80
New Haven,Branford,President,,Republican,George W. Bush,469
Fairfield,Bridgeport,President,,Republican,George W. Bush,632
Litchfield,Bridgewater,President,,Republican,George W. Bush,87
Hartford,Bristol,President,,Republican,George W. Bush,1068
Fairfield,Brookfield,President,,Republican,George W. Bush,821
Windham,Brooklyn,President,,Republican,George W. Bush,141
Hartford,Burlington,President,,Republican,George W. Bush,348
Litchfield,Canaan,President,,Republican,George W. Bush,80
Windham,Canterbury,President,,Republican,George W. Bush,181
Hartford,Canton,President,,Republican,George W. Bush,380
Windham,Chaplin,President,,Republican,George W. Bush,65
New Haven,Cheshire,President,,Republican,George W. Bush,948
Middlesex,Chester,President,,Republican,George W. Bush,108
Middlesex,Clinton,President,,Republican,George W. Bush,347
New London,Colchester,President,,Republican,George W. Bush,285
Litchfield,Colebrook,President,,Republican,George W. Bush,67
Tolland,Columbia,President,,Republican,George W. Bush,164
Litchfield,Cornwall,President,,Republican,George W. Bush,49
Tolland,Coventry,President,,Republican,George W. Bush,271
Middlesex,Cromwell,President,,Republican,George W. Bush,369
Fairfield,Danbury,President,,Republican,George W. Bush,902
Fairfield,Darien,President,,Republican,George W. Bush,1355
Middlesex,Deep River,President,,Republican,George W. Bush,110
New Haven,Derby,President,,Republican,George W. Bush,155
Middlesex,Durham,President,,Republican,George W. Bush,238
Windham,Eastford,President,,Republican,George W. Bush,87
Hartford,East Granby,President,,Republican,George W. Bush,204
Middlesex,East Haddam,President,,Republican,George W. Bush,207
Middlesex,East Hampton,President,,Republican,George W. Bush,302
Hartford,East Hartford,President,,Republican,George W. Bush,682
New Haven,East Haven,President,,Republican,George W. Bush,306
New London,East Lyme,President,,Republican,George W. Bush,361
Fairfield,Easton,President,,Republican,George W. Bush,348
Hartford,East Windsor,President,,Republican,George W. Bush,233
Tolland,Ellington,President,,Republican,George W. Bush,378
Hartford,Enfield,President,,Republican,George W. Bush,1026
Middlesex,Essex,President,,Republican,George W. Bush,299
Fairfield,Fairfield,President,,Republican,George W. Bush,1914
Hartford,Farmington,President,,Republican,George W. Bush,955
New London,Franklin,President,,Republican,George W. Bush,44
Hartford,Glastonbury,President,,Republican,George W. Bush,1465
Litchfield,Goshen,President,,Republican,George W. Bush,147
Hartford,Granby,President,,Republican,George W. Bush,514
Fairfield,Greenwich,President,,Republican,George W. Bush,3205
New London,Griswold,President,,Republican,George W. Bush,136
New London,Groton,President,,Republican,George W. Bush,694
New Haven,Guilford,President,,Republican,George W. Bush,649
Middlesex,Haddam,President,,Republican,George W. Bush,227
New Haven,Hamden,President,,Republican,George W. Bush,1105
Windham,Hampton,President,,Republican,George W. Bush,47
Hartford,Hartford,President,,Republican,George W. Bush,394
Hartford,Hartland,President,,Republican,George W. Bush,168
Litchfield,Harwinton,President,,Republican,George W. Bush,238
Tolland,Hebron,President,,Republican,George W. Bush,280
Litchfield,Kent,President,,Republican,George W. Bush,118
Windham,Killingly,President,,Republican,George W. Bush,249
Middlesex,Killingworth,President,,Republican,George W. Bush,222
New London,Lebanon,President,,Republican,George W. Bush,239
New London,Ledyard,President,,Republican,George W. Bush,410
New London,Lisbon,President,,Republican,George W. Bush,90
Litchfield,Litchfield,President,,Republican,George W. Bush,417
New London,Lyme,President,,Republican,George W. Bush,123
New Haven,Madison,President,,Republican,George W. Bush,924
Hartford,Manchester,President,,Republican,George W. Bush,1376
Tolland,Mansfield,President,,Republican,George W. Bush,243
Hartford,Marlborough,President,,Republican,George W. Bush,216
New Haven,Meriden,President,,Republican,George W. Bush,757
New Haven,Middlebury,President,,Republican,George W. Bush,416
Middlesex,Middlefield,President,,Republican,George W. Bush,116
Middlesex,Middletown,President,,Republican,George W. Bush,688
New Haven,Milford,President,,Republican,George W. Bush,1177
Fairfield,Monroe,President,,Republican,George W. Bush,796
New London,Montville,President,,Republican,George W. Bush,202
Litchfield,Morris,President,,Republican,George W. Bush,195
New Haven,Naugatuck,President,,Republican,George W. Bush,519
Hartford,New Britain,President,,Republican,George W. Bush,859
Fairfield,New Canaan,President,,Republican,George W. Bush,1343
Fairfield,New Fairfield,President,,Republican,George W. Bush,460
Litchfield,New Hartford,President,,Republican,George W. Bush,328
New Haven,New Haven,President,,Republican,George W. Bush,415
Hartford,Newington,President,,Republican,George W. Bush,776
New London,New London,President,,Republican,George W. Bush,173
Litchfield,New Milford,President,,Republican,George W. Bush,762
Fairfield,Newtown,President,,Republican,George W. Bush,817
Litchfield,Norfolk,President,,Republican,George W. Bush,56
New Haven,North Branford,President,,Republican,George W. Bush,292
Litchfield,North Canaan,President,,Republican,George W. Bush,94
New Haven,North Haven,President,,Republican,George W. Bush,746
New London,Stonington,President,,Republican,George W. Bush,394
Fairfield,Norwalk,President,,Republican,George W. Bush,1666
New London,Norwich,President,,Republican,George W. Bush,327
New London,Old Lyme,President,,Republican,George W. Bush,369
Middlesex,Old Saybrook,President,,Republican,George W. Bush,436
New Haven,Orange,President,,Republican,George W. Bush,542
New Haven,Oxford,President,,Republican,George W. Bush,322
Windham,Plainfield,President,,Republican,George W. Bush,192
Hartford,Plainville,President,,Republican,George W. Bush,437
Litchfield,Plymouth,President,,Republican,George W. Bush,230
Windham,Pomfret,President,,Republican,George W. Bush,142
Middlesex,Portland,President,,Republican,George W. Bush,208
New London,Preston,President,,Republican,George W. Bush,124
New Haven,Prospect,President,,Republican,George W. Bush,309
Windham,Putnam,President,,Republican,George W. Bush,130
Fairfield,Redding,President,,Republican,George W. Bush,416
Fairfield,Ridgefield,President,,Republican,George W. Bush,1167
Hartford,Rocky Hill,President,,Republican,George W. Bush,455
Litchfield,Roxbury,President,,Republican,George W. Bush,115
New London,Salem,President,,Republican,George W. Bush,111
Litchfield,Salisbury,President,,Republican,George W. Bush,138
Windham,Scotland,President,,Republican,George W. Bush,46
New Haven,Seymour,President,,Republican,George W. Bush,381
Litchfield,Sharon,President,,Republican,George W. Bush,138
Fairfield,Shelton,President,,Republican,George W. Bush,1117
Fairfield,Sherman,President,,Republican,George W. Bush,189
Hartford,Simsbury,President,,Republican,George W. Bush,1365
Tolland,Somers,President,,Republican,George W. Bush,297
New Haven,Southbury,President,,Republican,George W. Bush,1039
Hartford,Southington,President,,Republican,George W. Bush,1051
Hartford,South Windsor,President,,Republican,George W. Bush,800
New London,Sprague,President,,Republican,George W. Bush,60
Tolland,Stafford,President,,Republican,George W. Bush,182
Fairfield,Stamford,President,,Republican,George W. Bush,2877
Windham,Sterling,President,,Republican,George W. Bush,61
Fairfield,Stratford,President,,Republican,George W. Bush,967
Hartford,Suffield,President,,Republican,George W. Bush,491
Litchfield,Thomaston,President,,Republican,George W. Bush,211
Windham,Thompson,President,,Republican,George W. Bush,215
Tolland,Tolland,President,,Republican,George W. Bush,355
Litchfield,Torrington,President,,Republican,George W. Bush,794
Fairfield,Trumbull,President,,Republican,George W. Bush,1086
Tolland,Union,President,,Republican,George W. Bush,41
Tolland,Vernon,President,,Republican,George W. Bush,661
New London,Voluntown,President,,Republican,George W. Bush,33
New Haven,Wallingford,President,,Republican,George W. Bush,835
Litchfield,Warren,President,,Republican,George W. Bush,67
Litchfield,Washington,President,,Republican,George W. Bush,163
New Haven,Waterbury,President,,Republican,George W. Bush,1319
New London,Waterford,President,,Republican,George W. Bush,349
Litchfield,Watertown,President,,Republican,George W. Bush,699
Middlesex,Westbrook,President,,Republican,George W. Bush,226
Hartford,West Hartford,President,,Republican,George W. Bush,2187
New Haven,West Haven,President,,Republican,George W. Bush,544
Fairfield,Weston,President,,Republican,George W. Bush,463
Fairfield,Westport,President,,Republican,George W. Bush,1029
Hartford,Wethersfield,President,,Republican,George W. Bush,1000
Tolland,Willington,President,,Republican,George W. Bush,134
Fairfield,Wilton,President,,Republican,George W. Bush,883
Litchfield,Winchester,President,,Republican,George W. Bush,287
Windham,Windham,President,,Republican,George W. Bush,273
Hartford,Windsor,President,,Republican,George W. Bush,707
Hartford,Windsor Locks,President,,Republican,George W. Bush,314
New Haven,Wolcott,President,,Republican,George W. Bush,459
New Haven,Woodbridge,President,,Republican,George W. Bush,305
Litchfield,Woodbury,President,,Republican,George W. Bush,530
Windham,Woodstock,President,,Republican,George W. Bush,305
New London,North Stonington,President,,Republican,George W. Bush,166
Tolland,Andover,President,,Republican,Steve Forbes,2
New Haven,Ansonia,President,,Republican,Steve Forbes,5
Windham,Ashford,President,,Republican,Steve Forbes,0
Hartford,Avon,President,,Republican,Steve Forbes,11
Litchfield,Barkhamsted,President,,Republican,Steve Forbes,0
New Haven,Beacon Falls,President,,Republican,Steve Forbes,2
Hartford,Berlin,President,,Republican,Steve Forbes,9
New Haven,Bethany,President,,Republican,Steve Forbes,0
