county,town,office,district,party,candidate,votes
Tolland,Andover,President,,Republican,Alan Keyes,7
New Haven,Ansonia,President,,Republican,Alan Keyes,24
Windham,Ashford,President,,Republican,Alan Keyes,17
Hartford,Avon,President,,Republican,Alan Keyes,48
Litchfield,Barkhamsted,President,,Republican,Alan Keyes,12
New Haven,Beacon Falls,President,,Republican,Alan Keyes,8
Hartford,Berlin,President,,Republican,Alan Keyes,28
New Haven,Bethany,President,,Republican,Alan Keyes,19
Fairfield,Bethel,President,,Republican,Alan Keyes,35
Litchfield,Bethlehem,President,,Republican,Alan Keyes,14
Hartford,Bloomfield,President,,Republican,Alan Keyes,34
Tolland,Bolton,President,,Republican,Alan Keyes,14
New London,Bozrah,President,,Republican,Alan Keyes,7
New Haven,Branford,President,,Republican,Alan Keyes,39
Fairfield,Bridgeport,President,,Republican,Alan Keyes,43
Litchfield,Bridgewater,President,,Republican,Alan Keyes,4
Hartford,Bristol,President,,Republican,Alan Keyes,53
Fairfield,Brookfield,President,,Republican,Alan Keyes,88
Windham,Brooklyn,President,,Republican,Alan Keyes,19
Hartford,Burlington,President,,Republican,Alan Keyes,17
Litchfield,Canaan,President,,Republican,Alan Keyes,9
Windham,Canterbury,President,,Republican,Alan Keyes,11
Hartford,Canton,President,,Republican,Alan Keyes,17
Windham,Chaplin,President,,Republican,Alan Keyes,12
New Haven,Cheshire,President,,Republican,Alan Keyes,79
Middlesex,Chester,President,,Republican,Alan Keyes,7
Middlesex,Clinton,President,,Republican,Alan Keyes,27
New London,Colchester,President,,Republican,Alan Keyes,17
Litchfield,Colebrook,President,,Republican,Alan Keyes,9
Tolland,Columbia,President,,Republican,Alan Keyes,6
Litchfield,Cornwall,President,,Republican,Alan Keyes,0
Tolland,Coventry,President,,Republican,Alan Keyes,25
Middlesex,Cromwell,President,,Republican,Alan Keyes,18
Fairfield,Danbury,President,,Republican,Alan Keyes,98
Fairfield,Darien,President,,Republican,Alan Keyes,42
Middlesex,Deep River,President,,Republican,Alan Keyes,11
New Haven,Derby,President,,Republican,Alan Keyes,11
Middlesex,Durham,President,,Republican,Alan Keyes,16
Windham,Eastford,President,,Republican,Alan Keyes,10
Hartford,East Granby,President,,Republican,Alan Keyes,15
Middlesex,East Haddam,President,,Republican,Alan Keyes,14
Middlesex,East Hampton,President,,Republican,Alan Keyes,25
Hartford,East Hartford,President,,Republican,Alan Keyes,41
New Haven,East Haven,President,,Republican,Alan Keyes,20
New London,East Lyme,President,,Republican,Alan Keyes,23
Fairfield,Easton,President,,Republican,Alan Keyes,16
Hartford,East Windsor,President,,Republican,Alan Keyes,18
