candidate,party,office,district,town,votes,precinct
Mary Fay,Republican Party,U.S. House,1,Berlin,63,Willard School
Jim Griffin,Republican Party,U.S. House,1,Berlin,50,Willard School
Joe Biden,Democratic Party,President,,Bethany,493,Town Hall
Bernie Sanders,Democratic Party,President,,Bethany,103,Town Hall
Tulsi Gabbard,Democratic Party,President,,Bethany,8,Town Hall
Uncommitted,Democratic Party,President,,Bethany,6,Town Hall
Donald J. Trump,Republican Party,President,,Bethany,199,Town Hall
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethany,18,Town Hall
Uncommitted,Republican Party,President,,Bethany,31,Town Hall
Jorge Cabrera,Democratic Party,State Senate,17,Bethany,395,Town Hall
Justin Farmer,Democratic Party,State Senate,17,Bethany,199,Town Hall
Joe Biden,Democratic Party,President,,Bethel,1225,Bethel Municipal Center 1
Bernie Sanders,Democratic Party,President,,Bethel,217,Bethel Municipal Center 1
Tulsi Gabbard,Democratic Party,President,,Bethel,15,Bethel Municipal Center 1
Uncommitted,Democratic Party,President,,Bethel,31,Bethel Municipal Center 1
Donald J. Trump,Republican Party,President,,Bethel,757,Bethel Municipal Center 1
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethel,32,Bethel Municipal Center 1
Uncommitted,Republican Party,President,,Bethel,91,Bethel Municipal Center 1
William Duff,Republican Party,State Senate,26,Bethel,491,Bethel Municipal Center 1
Kim Healy,Republican Party,State Senate,26,Bethel,168,Bethel Municipal Center 1
Joe Biden,Democratic Party,President,,Bethel,0,Bethel Municipal Center 4
Bernie Sanders,Democratic Party,President,,Bethel,0,Bethel Municipal Center 4
Tulsi Gabbard,Democratic Party,President,,Bethel,0,Bethel Municipal Center 4
Uncommitted,Democratic Party,President,,Bethel,0,Bethel Municipal Center 4
Donald J. Trump,Republican Party,President,,Bethel,0,Bethel Municipal Center 4
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethel,0,Bethel Municipal Center 4
Uncommitted,Republican Party,President,,Bethel,0,Bethel Municipal Center 4
William Duff,Republican Party,State Senate,26,Bethel,0,Bethel Municipal Center 4
Kim Healy,Republican Party,State Senate,26,Bethel,0,Bethel Municipal Center 4
Joe Biden,Democratic Party,President,,Bethel,19,Frank A. Berry School - 3
Bernie Sanders,Democratic Party,President,,Bethel,4,Frank A. Berry School - 3
Tulsi Gabbard,Democratic Party,President,,Bethel,1,Frank A. Berry School - 3
Uncommitted,Democratic Party,President,,Bethel,1,Frank A. Berry School - 3
Donald J. Trump,Republican Party,President,,Bethel,6,Frank A. Berry School - 3
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethel,0,Frank A. Berry School - 3
Uncommitted,Republican Party,President,,Bethel,1,Frank A. Berry School - 3
William Duff,Republican Party,State Senate,26,Bethel,1,Frank A. Berry School - 3
Kim Healy,Republican Party,State Senate,26,Bethel,2,Frank A. Berry School - 3
Joe Biden,Democratic Party,President,,Bethel,0,Frank A. Berry School - 5
Bernie Sanders,Democratic Party,President,,Bethel,0,Frank A. Berry School - 5
Tulsi Gabbard,Democratic Party,President,,Bethel,0,Frank A. Berry School - 5
Uncommitted,Democratic Party,President,,Bethel,0,Frank A. Berry School - 5
Donald J. Trump,Republican Party,President,,Bethel,0,Frank A. Berry School - 5
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethel,0,Frank A. Berry School - 5
Uncommitted,Republican Party,President,,Bethel,0,Frank A. Berry School - 5
Joe Biden,Democratic Party,President,,Bethel,0,Stony Hill Fire House -2
Bernie Sanders,Democratic Party,President,,Bethel,0,Stony Hill Fire House -2
Tulsi Gabbard,Democratic Party,President,,Bethel,0,Stony Hill Fire House -2
Uncommitted,Democratic Party,President,,Bethel,0,Stony Hill Fire House -2
Donald J. Trump,Republican Party,President,,Bethel,0,Stony Hill Fire House -2
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethel,0,Stony Hill Fire House -2
Uncommitted,Republican Party,President,,Bethel,0,Stony Hill Fire House -2
Joe Biden,Democratic Party,President,,Bethlehem,207,Bethlehem Town Office Building
Bernie Sanders,Democratic Party,President,,Bethlehem,37,Bethlehem Town Office Building
Tulsi Gabbard,Democratic Party,President,,Bethlehem,7,Bethlehem Town Office Building
Uncommitted,Democratic Party,President,,Bethlehem,7,Bethlehem Town Office Building
Donald J. Trump,Republican Party,President,,Bethlehem,137,Bethlehem Town Office Building
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bethlehem,14,Bethlehem Town Office Building
Uncommitted,Republican Party,President,,Bethlehem,17,Bethlehem Town Office Building
Joe Biden,Democratic Party,President,,Bloomfield,372,Bloomfield High School
Bernie Sanders,Democratic Party,President,,Bloomfield,18,Bloomfield High School
Tulsi Gabbard,Democratic Party,President,,Bloomfield,3,Bloomfield High School
Uncommitted,Democratic Party,President,,Bloomfield,2,Bloomfield High School
Donald J. Trump,Republican Party,President,,Bloomfield,24,Bloomfield High School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bloomfield,3,Bloomfield High School
Uncommitted,Republican Party,President,,Bloomfield,2,Bloomfield High School
Bobby Gibson,Democratic Party,State House,15,Bloomfield,256,Bloomfield High School
Danielle DW Wong,Democratic Party,State House,15,Bloomfield,154,Bloomfield High School
Mary Fay,Republican Party,U.S. House,1,Bloomfield,7,Bloomfield High School
Jim Griffin,Republican Party,U.S. House,1,Bloomfield,21,Bloomfield High School
Joe Biden,Democratic Party,President,,Bloomfield,381,Carmen Arace Middle School
Bernie Sanders,Democratic Party,President,,Bloomfield,17,Carmen Arace Middle School
Tulsi Gabbard,Democratic Party,President,,Bloomfield,1,Carmen Arace Middle School
Uncommitted,Democratic Party,President,,Bloomfield,9,Carmen Arace Middle School
Donald J. Trump,Republican Party,President,,Bloomfield,1,Carmen Arace Middle School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bloomfield,0,Carmen Arace Middle School
Uncommitted,Republican Party,President,,Bloomfield,0,Carmen Arace Middle School
Bobby Gibson,Democratic Party,State House,15,Bloomfield,300,Carmen Arace Middle School
Danielle DW Wong,Democratic Party,State House,15,Bloomfield,124,Carmen Arace Middle School
Mary Fay,Republican Party,U.S. House,1,Bloomfield,0,Carmen Arace Middle School
Jim Griffin,Republican Party,U.S. House,1,Bloomfield,0,Carmen Arace Middle School
Joe Biden,Democratic Party,President,,Bloomfield,438,Laurel Elementary School
Bernie Sanders,Democratic Party,President,,Bloomfield,24,Laurel Elementary School
Tulsi Gabbard,Democratic Party,President,,Bloomfield,3,Laurel Elementary School
Uncommitted,Democratic Party,President,,Bloomfield,7,Laurel Elementary School
Donald J. Trump,Republican Party,President,,Bloomfield,14,Laurel Elementary School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bloomfield,1,Laurel Elementary School
Uncommitted,Republican Party,President,,Bloomfield,5,Laurel Elementary School
Bobby Gibson,Democratic Party,State House,15,Bloomfield,280,Laurel Elementary School
Danielle DW Wong,Democratic Party,State House,15,Bloomfield,189,Laurel Elementary School
Mary Fay,Republican Party,U.S. House,1,Bloomfield,5,Laurel Elementary School
Jim Griffin,Republican Party,U.S. House,1,Bloomfield,11,Laurel Elementary School
Joe Biden,Democratic Party,President,,Bloomfield,2669,Leisure Services Building
Bernie Sanders,Democratic Party,President,,Bloomfield,135,Leisure Services Building
Tulsi Gabbard,Democratic Party,President,,Bloomfield,16,Leisure Services Building
Uncommitted,Democratic Party,President,,Bloomfield,27,Leisure Services Building
Donald J. Trump,Republican Party,President,,Bloomfield,147,Leisure Services Building
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bloomfield,30,Leisure Services Building
Uncommitted,Republican Party,President,,Bloomfield,71,Leisure Services Building
Bobby Gibson,Democratic Party,State House,15,Bloomfield,1800,Leisure Services Building
Danielle DW Wong,Democratic Party,State House,15,Bloomfield,979,Leisure Services Building
Mary Fay,Republican Party,U.S. House,1,Bloomfield,117,Leisure Services Building
Jim Griffin,Republican Party,U.S. House,1,Bloomfield,94,Leisure Services Building
Joe Biden,Democratic Party,President,,Bloomfield,232,Metacomet Elementary School
Bernie Sanders,Democratic Party,President,,Bloomfield,25,Metacomet Elementary School
Tulsi Gabbard,Democratic Party,President,,Bloomfield,0,Metacomet Elementary School
Uncommitted,Democratic Party,President,,Bloomfield,2,Metacomet Elementary School
Donald J. Trump,Republican Party,President,,Bloomfield,7,Metacomet Elementary School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bloomfield,2,Metacomet Elementary School
Uncommitted,Republican Party,President,,Bloomfield,2,Metacomet Elementary School
Bobby Gibson,Democratic Party,State House,15,Bloomfield,195,Metacomet Elementary School
Danielle DW Wong,Democratic Party,State House,15,Bloomfield,70,Metacomet Elementary School
Mary Fay,Republican Party,U.S. House,1,Bloomfield,6,Metacomet Elementary School
Jim Griffin,Republican Party,U.S. House,1,Bloomfield,5,Metacomet Elementary School
Joe Biden,Democratic Party,President,,Bolton,407,Bolton Center School
Bernie Sanders,Democratic Party,President,,Bolton,70,Bolton Center School
Tulsi Gabbard,Democratic Party,President,,Bolton,14,Bolton Center School
Uncommitted,Democratic Party,President,,Bolton,9,Bolton Center School
Donald J. Trump,Republican Party,President,,Bolton,211,Bolton Center School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bolton,18,Bolton Center School
Uncommitted,Republican Party,President,,Bolton,36,Bolton Center School
Thomas Gilmer,Republican Party,U.S. House,2,Bolton,123,Bolton Center School
Justin Anderson,Republican Party,U.S. House,2,Bolton,118,Bolton Center School
Joe Biden,Democratic Party,President,,Bozrah,158,Fields Memorial School
Bernie Sanders,Democratic Party,President,,Bozrah,20,Fields Memorial School
Tulsi Gabbard,Democratic Party,President,,Bozrah,7,Fields Memorial School
Uncommitted,Democratic Party,President,,Bozrah,8,Fields Memorial School
Donald J. Trump,Republican Party,President,,Bozrah,78,Fields Memorial School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bozrah,3,Fields Memorial School
Uncommitted,Republican Party,President,,Bozrah,16,Fields Memorial School
Thomas Gilmer,Republican Party,U.S. House,2,Bozrah,35,Fields Memorial School
Justin Anderson,Republican Party,U.S. House,2,Bozrah,50,Fields Memorial School
Joe Biden,Democratic Party,President,,Branford,2439,Community House
Bernie Sanders,Democratic Party,President,,Branford,321,Community House
Tulsi Gabbard,Democratic Party,President,,Branford,28,Community House
Uncommitted,Democratic Party,President,,Branford,43,Community House
Donald J. Trump,Republican Party,President,,Branford,595,Community House
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Branford,45,Community House
Uncommitted,Republican Party,President,,Branford,101,Community House
Joe Biden,Democratic Party,President,,Bridgeport,0,Bassick High School
Bernie Sanders,Democratic Party,President,,Bridgeport,0,Bassick High School
Tulsi Gabbard,Democratic Party,President,,Bridgeport,0,Bassick High School
Uncommitted,Democratic Party,President,,Bridgeport,0,Bassick High School
Kelvin Ayala,Democratic Party,State House,130,Bridgeport,626,Bassick High School
Antonio Felipe,Democratic Party,State House,130,Bridgeport,916,Bassick High School
Joe Biden,Democratic Party,President,,Bridgeport,0,Beardsley School
Joe Biden,Democratic Party,President,,Bridgeport,8585,Beardsley School
Bernie Sanders,Democratic Party,President,,Bridgeport,0,Beardsley School
Bernie Sanders,Democratic Party,President,,Bridgeport,908,Beardsley School
Tulsi Gabbard,Democratic Party,President,,Bridgeport,0,Beardsley School
Tulsi Gabbard,Democratic Party,President,,Bridgeport,87,Beardsley School
Uncommitted,Democratic Party,President,,Bridgeport,0,Beardsley School
Uncommitted,Democratic Party,President,,Bridgeport,300,Beardsley School
Donald J. Trump,Republican Party,President,,Bridgeport,406,Beardsley School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bridgeport,51,Beardsley School
Uncommitted,Republican Party,President,,Bridgeport,68,Beardsley School
Tony J. Barr,Democratic Party,State House,126,Bridgeport,536,Beardsley School
Charlie Stallworth,Democratic Party,State House,126,Bridgeport,1460,Beardsley School
Joe Biden,Democratic Party,President,,Bridgeport,0,Blackham School
Bernie Sanders,Democratic Party,President,,Bridgeport,0,Blackham School
Tulsi Gabbard,Democratic Party,President,,Bridgeport,0,Blackham School
Uncommitted,Democratic Party,President,,Bridgeport,0,Blackham School
Marcus A. Brown,Democratic Party,State Senate,22,Bridgeport,2267,Blackham School
Marilyn Moore,Democratic Party,State Senate,22,Bridgeport,2661,Blackham School
Donald J. Trump,Republican Party,President,,Bridgeport,49,Geraldine Johnson School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bridgeport,1,Geraldine Johnson School
Uncommitted,Republican Party,President,,Bridgeport,4,Geraldine Johnson School
Ethan Book,Republican Party,State House,128,Bridgeport,40,Geraldine Johnson School
Joseph J. Borges,Republican Party,State House,128,Bridgeport,20,Geraldine Johnson School
Joe Biden,Democratic Party,President,,Bridgewater,160,Bridgewater Senior Center
Bernie Sanders,Democratic Party,President,,Bridgewater,20,Bridgewater Senior Center
Tulsi Gabbard,Democratic Party,President,,Bridgewater,7,Bridgewater Senior Center
Uncommitted,Democratic Party,President,,Bridgewater,3,Bridgewater Senior Center
Donald J. Trump,Republican Party,President,,Bridgewater,70,Bridgewater Senior Center
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bridgewater,5,Bridgewater Senior Center
Uncommitted,Republican Party,President,,Bridgewater,13,Bridgewater Senior Center
Joe Biden,Democratic Party,President,,Bristol,57,Bristol Eastern High School
Bernie Sanders,Democratic Party,President,,Bristol,13,Bristol Eastern High School
Tulsi Gabbard,Democratic Party,President,,Bristol,7,Bristol Eastern High School
Uncommitted,Democratic Party,President,,Bristol,3,Bristol Eastern High School
Donald J. Trump,Republican Party,President,,Bristol,54,Bristol Eastern High School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Bristol,1,Bristol Eastern High School
Uncommitted,Republican Party,President,,Bristol,0,Bristol Eastern High School
