candidate,party,office,district,town,votes,precinct
Joe Biden,Democratic Party,President,,Andover,229,Andover Elementary School Gymnasium
Bernie Sanders,Democratic Party,President,,Andover,31,Andover Elementary School Gymnasium
Tulsi Gabbard,Democratic Party,President,,Andover,4,Andover Elementary School Gymnasium
Uncommitted,Democratic Party,President,,Andover,10,Andover Elementary School Gymnasium
Donald J. Trump,Republican Party,President,,Andover,111,Andover Elementary School Gymnasium
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Andover,13,Andover Elementary School Gymnasium
Uncommitted,Republican Party,President,,Andover,17,Andover Elementary School Gymnasium
Thomas Gilmer,Republican Party,U.S. House,2,Andover,57,Andover Elementary School Gymnasium
Justin Anderson,Republican Party,U.S. House,2,Andover,53,Andover Elementary School Gymnasium
Joe Biden,Democratic Party,President,,Ansonia,135,Ward 1 Ansonia Armory
Bernie Sanders,Democratic Party,President,,Ansonia,27,Ward 1 Ansonia Armory
Tulsi Gabbard,Democratic Party,President,,Ansonia,3,Ward 1 Ansonia Armory
Uncommitted,Democratic Party,President,,Ansonia,7,Ward 1 Ansonia Armory
Donald J. Trump,Republican Party,President,,Ansonia,32,Ward 1 Ansonia Armory
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,4,Ward 1 Ansonia Armory
Uncommitted,Republican Party,President,,Ansonia,4,Ward 1 Ansonia Armory
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,96,Ward 1 Ansonia Armory
Justin Farmer,Democratic Party,State Senate,17,Ansonia,74,Ward 1 Ansonia Armory
Joe Biden,Democratic Party,President,,Ansonia,110,Ward 2 Ansonia Armory
Bernie Sanders,Democratic Party,President,,Ansonia,18,Ward 2 Ansonia Armory
Tulsi Gabbard,Democratic Party,President,,Ansonia,7,Ward 2 Ansonia Armory
Uncommitted,Democratic Party,President,,Ansonia,2,Ward 2 Ansonia Armory
Donald J. Trump,Republican Party,President,,Ansonia,27,Ward 2 Ansonia Armory
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,3,Ward 2 Ansonia Armory
Uncommitted,Republican Party,President,,Ansonia,2,Ward 2 Ansonia Armory
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,64,Ward 2 Ansonia Armory
Justin Farmer,Democratic Party,State Senate,17,Ansonia,72,Ward 2 Ansonia Armory
Joe Biden,Democratic Party,President,,Ansonia,102,Ward 3 Holy Rosary Church
Bernie Sanders,Democratic Party,President,,Ansonia,19,Ward 3 Holy Rosary Church
Tulsi Gabbard,Democratic Party,President,,Ansonia,2,Ward 3 Holy Rosary Church
Uncommitted,Democratic Party,President,,Ansonia,9,Ward 3 Holy Rosary Church
Donald J. Trump,Republican Party,President,,Ansonia,29,Ward 3 Holy Rosary Church
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,3,Ward 3 Holy Rosary Church
Uncommitted,Republican Party,President,,Ansonia,1,Ward 3 Holy Rosary Church
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,76,Ward 3 Holy Rosary Church
Justin Farmer,Democratic Party,State Senate,17,Ansonia,56,Ward 3 Holy Rosary Church
Joe Biden,Democratic Party,President,,Ansonia,73,Ward 4 Ansonia Middle School
Bernie Sanders,Democratic Party,President,,Ansonia,20,Ward 4 Ansonia Middle School
Tulsi Gabbard,Democratic Party,President,,Ansonia,1,Ward 4 Ansonia Middle School
Uncommitted,Democratic Party,President,,Ansonia,5,Ward 4 Ansonia Middle School
Donald J. Trump,Republican Party,President,,Ansonia,18,Ward 4 Ansonia Middle School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,0,Ward 4 Ansonia Middle School
Uncommitted,Republican Party,President,,Ansonia,3,Ward 4 Ansonia Middle School
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,67,Ward 4 Ansonia Middle School
Justin Farmer,Democratic Party,State Senate,17,Ansonia,32,Ward 4 Ansonia Middle School
Joe Biden,Democratic Party,President,,Ansonia,105,Ward 5 Ansonia Middle School
Bernie Sanders,Democratic Party,President,,Ansonia,21,Ward 5 Ansonia Middle School
Tulsi Gabbard,Democratic Party,President,,Ansonia,2,Ward 5 Ansonia Middle School
Uncommitted,Democratic Party,President,,Ansonia,6,Ward 5 Ansonia Middle School
Donald J. Trump,Republican Party,President,,Ansonia,40,Ward 5 Ansonia Middle School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,3,Ward 5 Ansonia Middle School
Uncommitted,Republican Party,President,,Ansonia,5,Ward 5 Ansonia Middle School
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,86,Ward 5 Ansonia Middle School
Justin Farmer,Democratic Party,State Senate,17,Ansonia,42,Ward 5 Ansonia Middle School
Joe Biden,Democratic Party,President,,Ansonia,111,Ward 6 Prendergast School
Bernie Sanders,Democratic Party,President,,Ansonia,12,Ward 6 Prendergast School
Tulsi Gabbard,Democratic Party,President,,Ansonia,1,Ward 6 Prendergast School
Uncommitted,Democratic Party,President,,Ansonia,8,Ward 6 Prendergast School
Donald J. Trump,Republican Party,President,,Ansonia,62,Ward 6 Prendergast School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,1,Ward 6 Prendergast School
Uncommitted,Republican Party,President,,Ansonia,1,Ward 6 Prendergast School
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,90,Ward 6 Prendergast School
Justin Farmer,Democratic Party,State Senate,17,Ansonia,46,Ward 6 Prendergast School
Joe Biden,Democratic Party,President,,Ansonia,151,Ward 7 Mead School
Bernie Sanders,Democratic Party,President,,Ansonia,20,Ward 7 Mead School
Tulsi Gabbard,Democratic Party,President,,Ansonia,5,Ward 7 Mead School
Uncommitted,Democratic Party,President,,Ansonia,12,Ward 7 Mead School
Donald J. Trump,Republican Party,President,,Ansonia,78,Ward 7 Mead School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ansonia,3,Ward 7 Mead School
Uncommitted,Republican Party,President,,Ansonia,4,Ward 7 Mead School
Jorge Cabrera,Democratic Party,State Senate,17,Ansonia,140,Ward 7 Mead School
Justin Farmer,Democratic Party,State Senate,17,Ansonia,45,Ward 7 Mead School
Joe Biden,Democratic Party,President,,Ashford,345,Ashford School
Bernie Sanders,Democratic Party,President,,Ashford,71,Ashford School
Tulsi Gabbard,Democratic Party,President,,Ashford,11,Ashford School
Uncommitted,Democratic Party,President,,Ashford,7,Ashford School
Donald J. Trump,Republican Party,President,,Ashford,145,Ashford School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Ashford,15,Ashford School
Uncommitted,Republican Party,President,,Ashford,21,Ashford School
Thomas Gilmer,Republican Party,U.S. House,2,Ashford,75,Ashford School
Justin Anderson,Republican Party,U.S. House,2,Ashford,83,Ashford School
Joe Biden,Democratic Party,President,,Ashford,0,Knowlton Memorial Hall
Bernie Sanders,Democratic Party,President,,Ashford,0,Knowlton Memorial Hall
Tulsi Gabbard,Democratic Party,President,,Ashford,0,Knowlton Memorial Hall
Uncommitted,Democratic Party,President,,Ashford,0,Knowlton Memorial Hall
Joe Biden,Democratic Party,President,,Avon,151,Avon High School - Gymnasium
Bernie Sanders,Democratic Party,President,,Avon,22,Avon High School - Gymnasium
Tulsi Gabbard,Democratic Party,President,,Avon,4,Avon High School - Gymnasium
Uncommitted,Democratic Party,President,,Avon,4,Avon High School - Gymnasium
Donald J. Trump,Republican Party,President,,Avon,139,Avon High School - Gymnasium
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Avon,4,Avon High School - Gymnasium
Uncommitted,Republican Party,President,,Avon,11,Avon High School - Gymnasium
Joe Biden,Democratic Party,President,,Avon,1263,Central Absentee
Bernie Sanders,Democratic Party,President,,Avon,130,Central Absentee
Tulsi Gabbard,Democratic Party,President,,Avon,5,Central Absentee
Uncommitted,Democratic Party,President,,Avon,11,Central Absentee
Donald J. Trump,Republican Party,President,,Avon,267,Central Absentee
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Avon,55,Central Absentee
Uncommitted,Republican Party,President,,Avon,135,Central Absentee
Joe Biden,Democratic Party,President,,Avon,94,Firehouse Company #1
Bernie Sanders,Democratic Party,President,,Avon,19,Firehouse Company #1
Tulsi Gabbard,Democratic Party,President,,Avon,4,Firehouse Company #1
Uncommitted,Democratic Party,President,,Avon,1,Firehouse Company #1
Donald J. Trump,Republican Party,President,,Avon,84,Firehouse Company #1
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Avon,0,Firehouse Company #1
Uncommitted,Republican Party,President,,Avon,2,Firehouse Company #1
Joe Biden,Democratic Party,President,,Avon,102,Roaring Brook School
Bernie Sanders,Democratic Party,President,,Avon,21,Roaring Brook School
Tulsi Gabbard,Democratic Party,President,,Avon,0,Roaring Brook School
Uncommitted,Democratic Party,President,,Avon,2,Roaring Brook School
Donald J. Trump,Republican Party,President,,Avon,103,Roaring Brook School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Avon,2,Roaring Brook School
Uncommitted,Republican Party,President,,Avon,6,Roaring Brook School
Joe Biden,Democratic Party,President,,Barkhamsted,217,Barkhamsted Elementary School
Bernie Sanders,Democratic Party,President,,Barkhamsted,41,Barkhamsted Elementary School
Tulsi Gabbard,Democratic Party,President,,Barkhamsted,4,Barkhamsted Elementary School
Uncommitted,Democratic Party,President,,Barkhamsted,4,Barkhamsted Elementary School
Donald J. Trump,Republican Party,President,,Barkhamsted,157,Barkhamsted Elementary School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Barkhamsted,11,Barkhamsted Elementary School
Uncommitted,Republican Party,President,,Barkhamsted,21,Barkhamsted Elementary School
Mary Fay,Republican Party,U.S. House,1,Barkhamsted,78,Barkhamsted Elementary School
Jim Griffin,Republican Party,U.S. House,1,Barkhamsted,86,Barkhamsted Elementary School
Joe Biden,Democratic Party,President,,Beacon Falls,322,Laurel Ledge School
Bernie Sanders,Democratic Party,President,,Beacon Falls,52,Laurel Ledge School
Tulsi Gabbard,Democratic Party,President,,Beacon Falls,5,Laurel Ledge School
Uncommitted,Democratic Party,President,,Beacon Falls,18,Laurel Ledge School
Donald J. Trump,Republican Party,President,,Beacon Falls,191,Laurel Ledge School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Beacon Falls,11,Laurel Ledge School
Uncommitted,Republican Party,President,,Beacon Falls,24,Laurel Ledge School
Jorge Cabrera,Democratic Party,State Senate,17,Beacon Falls,220,Laurel Ledge School
Jorge Cabrera,Democratic Party,State Senate,17,Beacon Falls,0,Laurel Ledge School
Jorge Cabrera,Democratic Party,State Senate,17,Beacon Falls,0,Laurel Ledge School
Justin Farmer,Democratic Party,State Senate,17,Beacon Falls,156,Laurel Ledge School
Justin Farmer,Democratic Party,State Senate,17,Beacon Falls,0,Laurel Ledge School
Justin Farmer,Democratic Party,State Senate,17,Beacon Falls,0,Laurel Ledge School
Joe Biden,Democratic Party,President,,Berlin,0,Griswold School
Bernie Sanders,Democratic Party,President,,Berlin,0,Griswold School
Tulsi Gabbard,Democratic Party,President,,Berlin,0,Griswold School
Uncommitted,Democratic Party,President,,Berlin,0,Griswold School
Donald J. Trump,Republican Party,President,,Berlin,358,Griswold School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Berlin,17,Griswold School
Uncommitted,Republican Party,President,,Berlin,46,Griswold School
Jim Townsley,Republican Party,State House,30,Berlin,117,Griswold School
Donna Veach,Republican Party,State House,30,Berlin,312,Griswold School
Mary Fay,Republican Party,U.S. House,1,Berlin,211,Griswold School
Jim Griffin,Republican Party,U.S. House,1,Berlin,166,Griswold School
Joe Biden,Democratic Party,President,,Berlin,0,Hubbard School
Bernie Sanders,Democratic Party,President,,Berlin,0,Hubbard School
Tulsi Gabbard,Democratic Party,President,,Berlin,0,Hubbard School
Uncommitted,Democratic Party,President,,Berlin,0,Hubbard School
Donald J. Trump,Republican Party,President,,Berlin,216,Hubbard School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Berlin,13,Hubbard School
Uncommitted,Republican Party,President,,Berlin,34,Hubbard School
Jim Townsley,Republican Party,State House,30,Berlin,74,Hubbard School
Donna Veach,Republican Party,State House,30,Berlin,189,Hubbard School
Mary Fay,Republican Party,U.S. House,1,Berlin,143,Hubbard School
Jim Griffin,Republican Party,U.S. House,1,Berlin,102,Hubbard School
Joe Biden,Democratic Party,President,,Berlin,0,Senior Center
Bernie Sanders,Democratic Party,President,,Berlin,0,Senior Center
Tulsi Gabbard,Democratic Party,President,,Berlin,0,Senior Center
Uncommitted,Democratic Party,President,,Berlin,0,Senior Center
Donald J. Trump,Republican Party,President,,Berlin,178,Senior Center
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Berlin,10,Senior Center
Uncommitted,Republican Party,President,,Berlin,14,Senior Center
Mary Fay,Republican Party,U.S. House,1,Berlin,99,Senior Center
Jim Griffin,Republican Party,U.S. House,1,Berlin,76,Senior Center
Joe Biden,Democratic Party,President,,Berlin,0,VFW
Bernie Sanders,Democratic Party,President,,Berlin,0,VFW
Tulsi Gabbard,Democratic Party,President,,Berlin,0,VFW
Uncommitted,Democratic Party,President,,Berlin,0,VFW
Donald J. Trump,Republican Party,President,,Berlin,238,VFW
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Berlin,18,VFW
Uncommitted,Republican Party,President,,Berlin,28,VFW
Jim Townsley,Republican Party,State House,30,Berlin,74,VFW
Donna Veach,Republican Party,State House,30,Berlin,212,VFW
Mary Fay,Republican Party,U.S. House,1,Berlin,165,VFW
Jim Griffin,Republican Party,U.S. House,1,Berlin,98,VFW
Joe Biden,Democratic Party,President,,Berlin,1347,Willard School
Bernie Sanders,Democratic Party,President,,Berlin,162,Willard School
Tulsi Gabbard,Democratic Party,President,,Berlin,40,Willard School
Uncommitted,Democratic Party,President,,Berlin,82,Willard School
Donald J. Trump,Republican Party,President,,Berlin,110,Willard School
"Roque ""Rocky"" De La Fuente",Republican Party,President,,Berlin,8,Willard School
Uncommitted,Republican Party,President,,Berlin,8,Willard School
