town,precinct,office,district,party,candidate,votes
Andover,Andover,President,,DEM,Barack Obama,976
Ansonia,Ansonia1,President,,DEM,Barack Obama,705
Ansonia,Ansonia 2,President,,DEM,Barack Obama,586
Ansonia,Ansonia 3,President,,DEM,Barack Obama,589
Ansonia,Ansonia4,President,,DEM,Barack Obama,464
Ansonia,Ansonia5,President,,DEM,Barack Obama,582
Ansonia,Ansonia6,President,,DEM,Barack Obama,626
Ansonia,Ansonia7,President,,DEM,Barack Obama,721
Ashford,Ashford,President,,DEM,Barack Obama,1331
Avon,Avon 1,President,,DEM,Barack Obama,1922
Avon,Avon 2,President,,DEM,Barack Obama,1440
Avon,Avon 3,President,,DEM,Barack Obama,1457
Barkhamsted,Barkhamsted,President,,DEM,Barack Obama,1033
BeaconFalls,BeaconFalls,President,,DEM,Barack Obama,1300
Berlin,Berlin 1,President,,DEM,Barack Obama,658
Berlin,Berlin 2,President,,DEM,Barack Obama,1521
Berlin,Berlin 3,President,,DEM,Barack Obama,1077
Berlin,Berlin 4,President,,DEM,Barack Obama,848
Berlin,Berlin 5,President,,DEM,Barack Obama,1395
Bethany,Bethany,President,,DEM,Barack Obama,1615
Bethel,Bethel 1,President,,DEM,Barack Obama,717
Bethel,Bethel 2,President,,DEM,Barack Obama,1033
Bethel,Bethel 3,President,,DEM,Barack Obama,1567
Bethel,Bethel 4,President,,DEM,Barack Obama,1252
Bethel,Bethel 5,President,,DEM,Barack Obama,183
Bethlehem,Bethlehem,President,,DEM,Barack Obama,894
Bloomfield,Bloomfield 1,President,,DEM,Barack Obama,1382
Bloomfield,Bloomfield 2,President,,DEM,Barack Obama,2128
Bloomfield,Bloomfield 3,President,,DEM,Barack Obama,2180
Bloomfield,Bloomfield 4,President,,DEM,Barack Obama,1819
Bloomfield,Bloomfield 5,President,,DEM,Barack Obama,2412
Bolton,Bolton,President,,DEM,Barack Obama,1433
Bozrah,Bozrah,President,,DEM,Barack Obama,648
Branford,Branford 1,President,,DEM,Barack Obama,1478
Branford,Branford 2,President,,DEM,Barack Obama,842
Branford,Branford 3,President,,DEM,Barack Obama,978
Branford,Branford 4,President,,DEM,Barack Obama,1569
Branford,Branford 5,President,,DEM,Barack Obama,1333
Branford,Branford 6,President,,DEM,Barack Obama,1137
Branford,Branford 7,President,,DEM,Barack Obama,823
Bridgeport,Bridgeport 124-1,President,,DEM,Barack Obama,331
Bridgeport,Bridgeport 124-2,President,,DEM,Barack Obama,2016
Bridgeport,Bridgeport 124-3,President,,DEM,Barack Obama,2085
Bridgeport,Bridgeport 124-4,President,,DEM,Barack Obama,1675
Bridgeport,Bridgeport 126-1,President,,DEM,Barack Obama,212
Bridgeport,Bridgeport 126-2,President,,DEM,Barack Obama,1478
Bridgeport,Bridgeport 126-3,President,,DEM,Barack Obama,1382
Bridgeport,Bridgeport 126-4,President,,DEM,Barack Obama,473
Bridgeport,Bridgeport 126-5,President,,DEM,Barack Obama,1662
Bridgeport,Bridgeport 126-6,President,,DEM,Barack Obama,1982
Bridgeport,Bridgeport 127-1,President,,DEM,Barack Obama,2726
Bridgeport,Bridgeport 127-2,President,,DEM,Barack Obama,152
Bridgeport,Bridgeport 127-3,President,,DEM,Barack Obama,2047
Bridgeport,Bridgeport 128-1,President,,DEM,Barack Obama,2060
Bridgeport,Bridgeport 128-2,President,,DEM,Barack Obama,1927
Bridgeport,Bridgeport 129-1,President,,DEM,Barack Obama,1481
Bridgeport,Bridgeport 129-2,President,,DEM,Barack Obama,1740
Bridgeport,Bridgeport 129-3,President,,DEM,Barack Obama,782
Bridgeport,Bridgeport 129-4,President,,DEM,Barack Obama,1074
Bridgeport,Bridgeport 130-1,President,,DEM,Barack Obama,1083
Bridgeport,Bridgeport 130-2,President,,DEM,Barack Obama,701
Bridgeport,Bridgeport 130-3,President,,DEM,Barack Obama,494
