town,precinct,office,district,party,candidate,votes
Bridgeport,Bridgeport 130-4,President,,DEM,Barack Obama,1564
Bridgeport,Bridgeport 130-5,President,,DEM,Barack Obama,1008
Bridgewater,Bridgewater,President,,DEM,Barack Obama,472
Bristol,Bristol 77A,President,,DEM,Barack Obama,1690
Bristol,Bristol 77B,President,,DEM,Barack Obama,1762
Bristol,Bristol 77C,President,,DEM,Barack Obama,1747
Bristol,Bristol 77D,President,,DEM,Barack Obama,967
Bristol,Bristol 78A,President,,DEM,Barack Obama,1338
Bristol,Bristol 78B,President,,DEM,Barack Obama,1340
Bristol,Bristol 79A,President,,DEM,Barack Obama,1832
Bristol,Bristol 79B,President,,DEM,Barack Obama,1549
Bristol,Bristol 79C,President,,DEM,Barack Obama,1921
Brookfield,Brookfield 1,President,,DEM,Barack Obama,1683
Brookfield,Brookfield 2,President,,DEM,Barack Obama,2233
Brooklyn,Brooklyn,President,,DEM,Barack Obama,1743
Burlington,Burlington,President,,DEM,Barack Obama,2357
Canaan,Canaan,President,,DEM,Barack Obama,384
Canterbury,Canterbury,President,,DEM,Barack Obama,1197
Canton,Canton,President,,DEM,Barack Obama,2967
Chaplin,Chaplin,President,,DEM,Barack Obama,584
Cheshire,Cheshire 1,President,,DEM,Barack Obama,1727
Cheshire,Cheshire 2,President,,DEM,Barack Obama,781
Cheshire,Cheshire 3,President,,DEM,Barack Obama,1058
Cheshire,Cheshire 4,President,,DEM,Barack Obama,1690
Cheshire,Cheshire 5,President,,DEM,Barack Obama,732
Cheshire,Cheshire 6,President,,DEM,Barack Obama,852
Cheshire,Cheshire 7,President,,DEM,Barack Obama,557
Chester,Chester,President,,DEM,Barack Obama,1380
Clinton,Clinton,President,,DEM,Barack Obama,3607
Colchester,Colchester 1,President,,DEM,Barack Obama,1944
Colchester,Colchester 2,President,,DEM,Barack Obama,925
Colchester,Colchester 3,President,,DEM,Barack Obama,961
Colchester,Colchester 4,President,,DEM,Barack Obama,295
Colchester,Absentee,President,,DEM,Barack Obama,307
Colebrook,Colebrook,President,,DEM,Barack Obama,380
Columbia,Columbia,President,,DEM,Barack Obama,1715
Cornwall,Cornwall,President,,DEM,Barack Obama,629
Coventry,Coventry 1,President,,DEM,Barack Obama,1830
Coventry,Coventry 2,President,,DEM,Barack Obama,1704
Cromwell,Cromwell,President,,DEM,Barack Obama,4063
Danbury,Danbury 1-109,President,,DEM,Barack Obama,1166
Danbury,Danbury 1-110,President,,DEM,Barack Obama,90
Danbury,Danbury 1-138,President,,DEM,Barack Obama,1706
Danbury,Danbury 2-108,President,,DEM,Barack Obama,489
Danbury,Danbury 2-109,President,,DEM,Barack Obama,849
Danbury,Danbury 2-138,President,,DEM,Barack Obama,685
Danbury,Danbury 3-107,President,,DEM,Barack Obama,225
Danbury,Danbury 3-109,President,,DEM,Barack Obama,2242
Danbury,Danbury 4-109,President,,DEM,Barack Obama,1025
Danbury,Danbury 4-110,President,,DEM,Barack Obama,1130
Danbury,Danbury 5-002,President,,DEM,Barack Obama,563
Danbury,Danbury 5-109,President,,DEM,Barack Obama,144
Danbury,Danbury 5-110,President,,DEM,Barack Obama,884
Danbury,Danbury 6-002,President,,DEM,Barack Obama,848
Danbury,Danbury 6-110,President,,DEM,Barack Obama,1118
Danbury,Danbury 7-002,President,,DEM,Barack Obama,165
Danbury,Danbury 7-110,President,,DEM,Barack Obama,182
Danbury,Danbury 7-138,President,,DEM,Barack Obama,1869
Darien,Darien 1,President,,DEM,Barack Obama,452
Darien,Darien 2,President,,DEM,Barack Obama,556
Darien,Darien 3,President,,DEM,Barack Obama,603
Darien,Darien 4,President,,DEM,Barack Obama,618
Darien,Darien 5,President,,DEM,Barack Obama,751
Darien,Darien 6,President,,DEM,Barack Obama,673
DeepRiver,DeepRiver,President,,DEM,Barack Obama,1479
Derby,Derby 104,President,,DEM,Barack Obama,823
Derby,Derby 105,President,,DEM,Barack Obama,332
Derby,Derby 114,President,,DEM,Barack Obama,1354
Durham,Durham 2,President,,DEM,Barack Obama,1334
Durham,Durham 3,President,,DEM,Barack Obama,131
Durham,Durham 4,President,,DEM,Barack Obama,548
East Granby,East Granby,President,,DEM,Barack Obama,1389
EastHaddam,EastHaddam,President,,DEM,Barack Obama,2471
EastHampton,EastHampton,President,,DEM,Barack Obama,3509
East Hartford,East Hartford 1,President,,DEM,Barack Obama,2403
East Hartford,East Hartford 2,President,,DEM,Barack Obama,1523
East Hartford,East Hartford 3,President,,DEM,Barack Obama,1470
East Hartford,East Hartford 4,President,,DEM,Barack Obama,2902
East Hartford,East Hartford 5,President,,DEM,Barack Obama,1985
East Hartford,East Hartford 6,President,,DEM,Barack Obama,1968
East Hartford,East Hartford 7,President,,DEM,Barack Obama,1897
East Haven,East Haven 1,President,,DEM,Barack Obama,1229
East Haven,East Haven 1S,President,,DEM,Barack Obama,105
East Haven,East Haven 2,President,,DEM,Barack Obama,1467
East Haven,East Haven 3,President,,DEM,Barack Obama,1131
East Haven,East Haven 3S,President,,DEM,Barack Obama,109
East Haven,East Haven 4,President,,DEM,Barack Obama,1225
East Haven,East Haven 5,President,,DEM,Barack Obama,1208
East Haven,East Haven 5S,President,,DEM,Barack Obama,59
East Lyme,East Lyme 1,President,,DEM,Barack Obama,1976
East Lyme,East Lyme 2,President,,DEM,Barack Obama,1932
East Lyme,East Lyme 3,President,,DEM,Barack Obama,1540
East Windsor,East Windsor 1,President,,DEM,Barack Obama,1363
East Windsor,East Windsor 2,President,,DEM,Barack Obama,1494
Eastford,Eastford,President,,DEM,Barack Obama,464
Easton,Easton,President,,DEM,Barack Obama,1841
Ellington,Ellington 1,President,,DEM,Barack Obama,2800
Ellington,Ellington 2,President,,DEM,Barack Obama,798
Enfield,Enfield - Kennedy,President,,DEM,Barack Obama,2056
Enfield,Enfield - Fermi,President,,DEM,Barack Obama,2144
Enfield,Enfield - HS,President,,DEM,Barack Obama,2397
Enfield,Enfield - Barnard,President,,DEM,Barack Obama,2651
Enfield,Absentee/Presidential,President,,DEM,Barack Obama,897
Essex,Essex,President,,DEM,Barack Obama,2230
Fairfield,Fairfield 1,President,,DEM,Barack Obama,1654
Fairfield,Fairfield 2-132,President,,DEM,Barack Obama,346
Fairfield,Fairfield 2-133,President,,DEM,Barack Obama,110
Fairfield,Fairfield 2-134,President,,DEM,Barack Obama,1061
Fairfield,Fairfield 3-132,President,,DEM,Barack Obama,270
Fairfield,Fairfield 3-134,President,,DEM,Barack Obama,982
Fairfield,Fairfield 4-132,President,,DEM,Barack Obama,697
Fairfield,Fairfield 4-133,President,,DEM,Barack Obama,227
Fairfield,Fairfield 4-134,President,,DEM,Barack Obama,354
Fairfield,Fairfield 5-132,President,,DEM,Barack Obama,14
Fairfield,Fairfield 5-133,President,,DEM,Barack Obama,1436
Fairfield,Fairfield 6-132,President,,DEM,Barack Obama,243
Fairfield,Fairfield 6-133,President,,DEM,Barack Obama,1484
Fairfield,Fairfield 7-133,President,,DEM,Barack Obama,977
Fairfield,Fairfield 7-134,President,,DEM,Barack Obama,553
Fairfield,Fairfield 8-132,President,,DEM,Barack Obama,610
Fairfield,Fairfield 8-133,President,,DEM,Barack Obama,1081
Fairfield,Fairfield 8-134,President,,DEM,Barack Obama,13
Fairfield,Fairfield 9,President,,DEM,Barack Obama,1490
Fairfield,Fairfield 10-132,President,,DEM,Barack Obama,1059
Fairfield,Fairfield 10-133,President,,DEM,Barack Obama,622
Farmington,Farmington 1,President,,DEM,Barack Obama,1532
Farmington,Farmington 2,President,,DEM,Barack Obama,98
Farmington,Farmington 3,President,,DEM,Barack Obama,420
Farmington,Farmington 4,President,,DEM,Barack Obama,504
Farmington,Farmington 5,President,,DEM,Barack Obama,843
Farmington,Farmington 6,President,,DEM,Barack Obama,1971
Farmington,Farmington 7,President,,DEM,Barack Obama,1645
Franklin,Franklin,President,,DEM,Barack Obama,519
Glastonbury,Glastonbury 1,President,,DEM,Barack Obama,2650
Glastonbury,Glastonbury 2,President,,DEM,Barack Obama,109
Glastonbury,Glastonbury 3,President,,DEM,Barack Obama,431
Glastonbury,Glastonbury 4,President,,DEM,Barack Obama,1151
Glastonbury,Glastonbury 5,President,,DEM,Barack Obama,1415
Glastonbury,Glastonbury 7,President,,DEM,Barack Obama,2317
Glastonbury,Glastonbury 9,President,,DEM,Barack Obama,2062
Goshen,Goshen 63,President,,DEM,Barack Obama,297
Goshen,Goshen 64,President,,DEM,Barack Obama,454
Granby,Granby 1,President,,DEM,Barack Obama,2908
Granby,Granby 2,President,,DEM,Barack Obama,171
Greenwich,Greenwich 1,President,,DEM,Barack Obama,1042
Greenwich,Greenwich 1A,President,,DEM,Barack Obama,227
Greenwich,Greenwich 2,President,,DEM,Barack Obama,756
Greenwich,Greenwich 3,President,,DEM,Barack Obama,778
Greenwich,Greenwich 4,President,,DEM,Barack Obama,885
Greenwich,Greenwich 4A,President,,DEM,Barack Obama,234
Greenwich,Greenwich 5,President,,DEM,Barack Obama,489
Greenwich,Greenwich 5A,President,,DEM,Barack Obama,499
Greenwich,Greenwich 6,President,,DEM,Barack Obama,1051
Greenwich,Greenwich 6A,President,,DEM,Barack Obama,199
Greenwich,Greenwich 7,President,,DEM,Barack Obama,323
Greenwich,Greenwich 7A,President,,DEM,Barack Obama,687
Greenwich,Greenwich 8,President,,DEM,Barack Obama,1546
Greenwich,Greenwich 9,President,,DEM,Barack Obama,1174
Greenwich,Greenwich 10,President,,DEM,Barack Obama,924
Greenwich,Greenwich 10A,President,,DEM,Barack Obama,15
Greenwich,Greenwich 11,President,,DEM,Barack Obama,633
Greenwich,Greenwich 11A,President,,DEM,Barack Obama,333
Greenwich,Greenwich 12,President,,DEM,Barack Obama,1310
Griswold,Griswold 1,President,,DEM,Barack Obama,1088
Griswold,Griswold 2,President,,DEM,Barack Obama,1493
Groton,Groton 1,President,,DEM,Barack Obama,1027
Groton,Groton 2,President,,DEM,Barack Obama,892
Groton,Groton 3,President,,DEM,Barack Obama,1011
Groton,Groton 4,President,,DEM,Barack Obama,422
Groton,Groton 5,President,,DEM,Barack Obama,568
Groton,Groton 6,President,,DEM,Barack Obama,1001
Groton,Groton 7,President,,DEM,Barack Obama,1347
Groton,Groton 8,President,,DEM,Barack Obama,1145
Groton,Absentee,President,,DEM,Barack Obama,971
Guilford,Guilford1,President,,DEM,Barack Obama,1528
Guilford,Guilford2,President,,DEM,Barack Obama,1501
Guilford,Guilford3,President,,DEM,Barack Obama,1501
Guilford,Guilford4,President,,DEM,Barack Obama,1352
Guilford,Guilford5,President,,DEM,Barack Obama,1529
Haddam,Haddam 1,President,,DEM,Barack Obama,1224
Haddam,Haddam 2,President,,DEM,Barack Obama,991
Haddam,Haddam 3,President,,DEM,Barack Obama,131
Hamden,Hamden 1,President,,DEM,Barack Obama,1089
Hamden,Hamden 2,President,,DEM,Barack Obama,1832
Hamden,Hamden 3,President,,DEM,Barack Obama,2289
Hamden,Hamden 4,President,,DEM,Barack Obama,2264
Hamden,Hamden 5,President,,DEM,Barack Obama,2084
Hamden,Hamden 5-1,President,,DEM,Barack Obama,153
Hamden,Hamden 6,President,,DEM,Barack Obama,1714
Hamden,Hamden 7,President,,DEM,Barack Obama,2079
Hamden,Hamden 8,President,,DEM,Barack Obama,2222
Hamden,Hamden 8-1,President,,DEM,Barack Obama,203
Hamden,Hamden 9,President,,DEM,Barack Obama,1477
Hamden,Hamden 10,President,,DEM,Barack Obama,1369
Hamden,Hamden 10-1,President,,DEM,Barack Obama,410
Hampton,Hampton,President,,DEM,Barack Obama,601
Hartford,Hartford 1,President,,DEM,Barack Obama,1065
Hartford,Hartford 2,President,,DEM,Barack Obama,2143
Hartford,Hartford 3,President,,DEM,Barack Obama,1898
Hartford,Hartford 4,President,,DEM,Barack Obama,809
Hartford,Hartford 5,President,,DEM,Barack Obama,1422
Hartford,Hartford 6,President,,DEM,Barack Obama,1342
Hartford,Hartford 7,President,,DEM,Barack Obama,2092
Hartford,Hartford 8,President,,DEM,Barack Obama,2063
Hartford,Hartford 9,President,,DEM,Barack Obama,639
Hartford,Hartford 10,President,,DEM,Barack Obama,181
Hartford,Hartford 11,President,,DEM,Barack Obama,394
Hartford,Hartford 12,President,,DEM,Barack Obama,1658
Hartford,Hartford 13,President,,DEM,Barack Obama,1168
Hartford,Hartford 14,President,,DEM,Barack Obama,1789
Hartford,Hartford 15,President,,DEM,Barack Obama,1466
Hartford,Hartford 16,President,,DEM,Barack Obama,1588
Hartford,Hartford 17,President,,DEM,Barack Obama,1216
Hartford,Hartford 18,President,,DEM,Barack Obama,1380
Hartford,Hartford 19,President,,DEM,Barack Obama,1447
Hartford,Hartford 20,President,,DEM,Barack Obama,1232
Hartford,Hartford 21,President,,DEM,Barack Obama,1227
Hartford,Hartford 22,President,,DEM,Barack Obama,670
Hartford,Hartford 23,President,,DEM,Barack Obama,534
Hartford,Hartford 24,President,,DEM,Barack Obama,2312
Hartland,Hartland,President,,DEM,Barack Obama,414
Harwinton,Harwinton8,President,,DEM,Barack Obama,368
Harwinton,Harwinton 31,President,,DEM,Barack Obama,892
Hebron,Hebron,President,,DEM,Barack Obama,2606
Kent,Kent,President,,DEM,Barack Obama,1080
Killingly,Killingly 1,President,,DEM,Barack Obama,537
Killingly,Killingly 2-44,President,,DEM,Barack Obama,364
Killingly,Killingly 2-51,President,,DEM,Barack Obama,344
Killingly,Killingly 3,President,,DEM,Barack Obama,935
Killingly,Killingly 4-44,President,,DEM,Barack Obama,471
Killingly,Killingly 4-51,President,,DEM,Barack Obama,308
Killingly,Killingly 5,President,,DEM,Barack Obama,300
Killingworth,Killingworth,President,,DEM,Barack Obama,1921
Lebanon,Lebanon1,President,,DEM,Barack Obama,1275
Lebanon,Lebanon2,President,,DEM,Barack Obama,534
Ledyard,Ledyard1,President,,DEM,Barack Obama,1922
Ledyard,Ledyard2,President,,DEM,Barack Obama,1002
Ledyard,Ledyard3,President,,DEM,Barack Obama,640
Lisbon,Lisbon1,President,,DEM,Barack Obama,381
Lisbon,Lisbon 2,President,,DEM,Barack Obama,744
Litchfield,Litchfield 1,President,,DEM,Barack Obama,1452
Litchfield,Litchfield 2,President,,DEM,Barack Obama,240
Litchfield,Litchfield 3,President,,DEM,Barack Obama,406
Litchfield,Litchfield 4,President,,DEM,Barack Obama,58
Lyme,Lyme,President,,DEM,Barack Obama,856
Madison,Madison 1,President,,DEM,Barack Obama,2777
Madison,Madison 2,President,,DEM,Barack Obama,2516
Manchester,Manchester 1,President,,DEM,Barack Obama,1201
Manchester,Manchester 2,President,,DEM,Barack Obama,2555
Manchester,Manchester 3,President,,DEM,Barack Obama,1854
Manchester,Manchester 4,President,,DEM,Barack Obama,2438
Manchester,Manchester 5,President,,DEM,Barack Obama,2719
Manchester,Manchester 6,President,,DEM,Barack Obama,1190
Manchester,Manchester 7,President,,DEM,Barack Obama,1578
Manchester,Manchester 8,President,,DEM,Barack Obama,2030
Mansfield,Mansfield 1,President,,DEM,Barack Obama,3456
Mansfield,Mansfield 2,President,,DEM,Barack Obama,1047
Mansfield,Mansfield 3,President,,DEM,Barack Obama,1394
Mansfield,Mansfield 4,President,,DEM,Barack Obama,1044
Marlborough,Marlborough,President,,DEM,Barack Obama,1791
Meridien,Meriden 1,President,,DEM,Barack Obama,1249
Meridien,Meriden 2,President,,DEM,Barack Obama,702
Meridien,Meriden 3,President,,DEM,Barack Obama,1467
Meridien,Meriden 4,President,,DEM,Barack Obama,820
Meridien,Meriden 5,President,,DEM,Barack Obama,714
Meridien,Meriden 6,President,,DEM,Barack Obama,1042
Meridien,Meriden 7,President,,DEM,Barack Obama,947
Meridien,Meriden 8,President,,DEM,Barack Obama,1157
Meridien,Meriden 9,President,,DEM,Barack Obama,1008
Meridien,Meriden 10,President,,DEM,Barack Obama,1110
Meridien,Meriden 11,President,,DEM,Barack Obama,1981
Meridien,Meriden 12,President,,DEM,Barack Obama,1710
Meridien,Meriden 13,President,,DEM,Barack Obama,979
Middlebury,Middlebury1,President,,DEM,Barack Obama,1070
Middlebury,Middlebury 2,President,,DEM,Barack Obama,516
Middlefield,Middlefield,President,,DEM,Barack Obama,1334
Middletown,Middletown 1,President,,DEM,Barack Obama,957
Middletown,Middletown 2,President,,DEM,Barack Obama,319
Middletown,Middletown 3,President,,DEM,Barack Obama,489
Middletown,Middletown 4,President,,DEM,Barack Obama,864
Middletown,Middletown 5,President,,DEM,Barack Obama,1564
Middletown,Middletown 6,President,,DEM,Barack Obama,845
Middletown,Middletown 7,President,,DEM,Barack Obama,740
Middletown,Middletown 8,President,,DEM,Barack Obama,266
Middletown,Middletown 9,President,,DEM,Barack Obama,1125
Middletown,Middletown 10,President,,DEM,Barack Obama,812
Middletown,Middletown 11,President,,DEM,Barack Obama,1262
Middletown,Middletown 12,President,,DEM,Barack Obama,1441
Middletown,Middletown 13,President,,DEM,Barack Obama,581
Middletown,Middletown 14,President,,DEM,Barack Obama,1192
Middletown,Absentee,President,,DEM,Barack Obama,1373
Milford,Milford - Live Oaks,President,,DEM,Barack Obama,797
Milford,Milford - Orange Avenue,President,,DEM,Barack Obama,1494
Milford,Milford - Kennedy 118,President,,DEM,Barack Obama,706
Milford,Milford - Kennedy 119,President,,DEM,Barack Obama,726
Milford,Milford - Meadowside,President,,DEM,Barack Obama,1634
Milford,Milford - West Shore,President,,DEM,Barack Obama,1504
Milford,Milford - Egan,President,,DEM,Barack Obama,1041
Milford,Milford - Foran 117,President,,DEM,Barack Obama,1874
Milford,Milford - Foran 119,President,,DEM,Barack Obama,934
Milford,Milford - Harborside 118,President,,DEM,Barack Obama,915
Milford,Milford - Harborside 119,President,,DEM,Barack Obama,2043
Monroe,Monroe 1,President,,DEM,Barack Obama,1496
Monroe,Monroe 2,President,,DEM,Barack Obama,719
Monroe,Monroe 3,President,,DEM,Barack Obama,813
Monroe,Monroe 4,President,,DEM,Barack Obama,1349
Montville,Montville 1,President,,DEM,Barack Obama,529
Montville,Montville 2,President,,DEM,Barack Obama,689
Montville,Montville 3,President,,DEM,Barack Obama,600
Montville,Montville 4,President,,DEM,Barack Obama,1406
Montville,Montville 5,President,,DEM,Barack Obama,441
Montville,Montville 6,President,,DEM,Barack Obama,349
Morris,Morris,President,,DEM,Barack Obama,535
Naugatuck,Naugatuck 1-1,President,,DEM,Barack Obama,162
Naugatuck,Naugatuck 1-2,President,,DEM,Barack Obama,1069
Naugatuck,Naugatuck 1-3,President,,DEM,Barack Obama,501
Naugatuck,Naugatuck 2-1,President,,DEM,Barack Obama,953
Naugatuck,Naugatuck 2-2,President,,DEM,Barack Obama,164
Naugatuck,Naugatuck 2-3,President,,DEM,Barack Obama,909
Naugatuck,Naugatuck 3-1,President,,DEM,Barack Obama,627
Naugatuck,Naugatuck 3-2,President,,DEM,Barack Obama,1233
Naugatuck,Naugatuck 3-3,President,,DEM,Barack Obama,305
New Britain,New Britain 1,President,,DEM,Barack Obama,1307
New Britain,New Britain 2,President,,DEM,Barack Obama,1151
New Britain,New Britain 3,President,,DEM,Barack Obama,1038
New Britain,New Britain 4,President,,DEM,Barack Obama,295
New Britain,New Britain 5,President,,DEM,Barack Obama,593
New Britain,New Britain 5-1,President,,DEM,Barack Obama,111
New Britain,New Britain 5-2,President,,DEM,Barack Obama,180
New Britain,New Britain 6,President,,DEM,Barack Obama,761
New Britain,New Britain 7,President,,DEM,Barack Obama,1189
New Britain,New Britain 8,President,,DEM,Barack Obama,1030
New Britain,New Britain 9,President,,DEM,Barack Obama,1073
New Britain,New Britain 10,President,,DEM,Barack Obama,644
New Britain,New Britain 11,President,,DEM,Barack Obama,1194
New Britain,New Britain 12,President,,DEM,Barack Obama,2057
New Britain,New Britain 13,President,,DEM,Barack Obama,938
New Britain,New Britain 14,President,,DEM,Barack Obama,1470
New Britain,New Britain 15,President,,DEM,Barack Obama,1021
New Canaan,New Canaan 1,President,,DEM,Barack Obama,1960
New Canaan,New Canaan 2,President,,DEM,Barack Obama,1293
New Canaan,New Canaan 3,President,,DEM,Barack Obama,605
New Fairfield,New Fairfield 108,President,,DEM,Barack Obama,2860
New Fairfield,New Fairfield 138,President,,DEM,Barack Obama,463
New Hartford,New Hartford 1,President,,DEM,Barack Obama,928
New Hartford,New Hartford 2,President,,DEM,Barack Obama,831
New Haven,New Haven 1,President,,DEM,Barack Obama,1125
New Haven,New Haven 2,President,,DEM,Barack Obama,1236
New Haven,New Haven 3-1,President,,DEM,Barack Obama,763
New Haven,New Haven 3-2,President,,DEM,Barack Obama,297
New Haven,New Haven 4-1,President,,DEM,Barack Obama,807
New Haven,New Haven 4-2,President,,DEM,Barack Obama,329
New Haven,New Haven 5,President,,DEM,Barack Obama,1133
New Haven,New Haven 6-2,President,,DEM,Barack Obama,760
New Haven,New Haven 6-3,President,,DEM,Barack Obama,249
New Haven,New Haven 7-2,President,,DEM,Barack Obama,1524
New Haven,New Haven 8-1,President,,DEM,Barack Obama,356
New Haven,New Haven 8-2,President,,DEM,Barack Obama,995
New Haven,New Haven 9,President,,DEM,Barack Obama,1185
New Haven,New Haven 10,President,,DEM,Barack Obama,1916
New Haven,New Haven 11-1,President,,DEM,Barack Obama,671
New Haven,New Haven 11-2,President,,DEM,Barack Obama,334
New Haven,New Haven 11-3,President,,DEM,Barack Obama,463
New Haven,New Haven 12-1,President,,DEM,Barack Obama,220
New Haven,New Haven 12-2,President,,DEM,Barack Obama,1195
New Haven,New Haven 13,President,,DEM,Barack Obama,1243
New Haven,New Haven 14,President,,DEM,Barack Obama,817
New Haven,New Haven 15,President,,DEM,Barack Obama,724
New Haven,New Haven 16,President,,DEM,Barack Obama,886
New Haven,New Haven 17,President,,DEM,Barack Obama,1257
New Haven,New Haven 18,President,,DEM,Barack Obama,1150
New Haven,New Haven 19-1,President,,DEM,Barack Obama,494
New Haven,New Haven 19-2,President,,DEM,Barack Obama,579
New Haven,New Haven 20,President,,DEM,Barack Obama,2008
New Haven,New Haven 21,President,,DEM,Barack Obama,1040
New Haven,New Haven 22-1,President,,DEM,Barack Obama,920
New Haven,New Haven 22-2,President,,DEM,Barack Obama,561
New Haven,New Haven 23,President,,DEM,Barack Obama,1560
New Haven,New Haven 24,President,,DEM,Barack Obama,1461
New Haven,New Haven 25,President,,DEM,Barack Obama,1835
New Haven,New Haven 26,President,,DEM,Barack Obama,1708
New Haven,New Haven 27,President,,DEM,Barack Obama,1129
New Haven,New Haven 28,President,,DEM,Barack Obama,1292
New Haven,New Haven 29,President,,DEM,Barack Obama,1230
New Haven,New Haven 30-1,President,,DEM,Barack Obama,479
New Haven,New Haven 30-2,President,,DEM,Barack Obama,835
New London,New London 1,President,,DEM,Barack Obama,2678
New London,New London 2,President,,DEM,Barack Obama,2366
New London,New London 3,President,,DEM,Barack Obama,1262
New Milford,New Milford 1,President,,DEM,Barack Obama,1275
New Milford,New Milford 2,President,,DEM,Barack Obama,1017
New Milford,New Milford 3,President,,DEM,Barack Obama,644
New Milford,New Milford 4,President,,DEM,Barack Obama,427
New Milford,New Milford 5,President,,DEM,Barack Obama,1043
New Milford,New Milford 6,President,,DEM,Barack Obama,1018
New Milford,New Milford 7,President,,DEM,Barack Obama,1102
Newington,Newington 1,President,,DEM,Barack Obama,1380
Newington,Newington 2,President,,DEM,Barack Obama,1832
Newington,Newington 3,President,,DEM,Barack Obama,774
Newington,Newington 4,President,,DEM,Barack Obama,1050
Newington,Newington 5,President,,DEM,Barack Obama,1101
Newington,Newington 6,President,,DEM,Barack Obama,1111
Newington,Newington 7,President,,DEM,Barack Obama,961
Newington,Newington 8,President,,DEM,Barack Obama,583
Newtown,Newtown 1,President,,DEM,Barack Obama,2012
Newtown,Newtown 1-5,President,,DEM,Barack Obama,92
Newtown,Newtown 2,President,,DEM,Barack Obama,2347
Newtown,Newtown 3-1,President,,DEM,Barack Obama,1255
Newtown,Newtown 3-2,President,,DEM,Barack Obama,800
Newtown,Newtown 3-5,President,,DEM,Barack Obama,197
