town,precinct,office,district,party,candidate,votes,machine,absentee
Middletown,9,Secretary of State,,Rep,Jerry Farrell,394,374,20
Middletown,10,Secretary of State,,Rep,Jerry Farrell,784,748,36
Middletown,11,Secretary of State,,Rep,Jerry Farrell,690,633,57
Middletown,12,Secretary of State,,Rep,Jerry Farrell,123,119,4
Middletown,13,Secretary of State,,Rep,Jerry Farrell,59,50,9
Middletown,14,Secretary of State,,Rep,Jerry Farrell,120,92,28
Middletown,1,Secretary of State,,Dem,Denise Merrill,427,390,37
Middletown,2,Secretary of State,,Dem,Denise Merrill,185,179,6
Middletown,3,Secretary of State,,Dem,Denise Merrill,1458,1413,45
Middletown,4,Secretary of State,,Dem,Denise Merrill,455,448,7
Middletown,5,Secretary of State,,Dem,Denise Merrill,472,442,30
Middletown,6,Secretary of State,,Dem,Denise Merrill,414,396,18
Middletown,7,Secretary of State,,Dem,Denise Merrill,551,498,53
Middletown,8,Secretary of State,,Dem,Denise Merrill,228,209,19
Middletown,9,Secretary of State,,Dem,Denise Merrill,716,681,35
Middletown,10,Secretary of State,,Dem,Denise Merrill,1012,970,42
Middletown,11,Secretary of State,,Dem,Denise Merrill,1238,1156,82
Middletown,12,Secretary of State,,Dem,Denise Merrill,267,258,9
Middletown,13,Secretary of State,,Dem,Denise Merrill,190,150,40
Middletown,14,Secretary of State,,Dem,Denise Merrill,540,504,36
Middletown,1,Secretary of State,,Green,Michael DeRosa,23,22,1
Middletown,2,Secretary of State,,Green,Michael DeRosa,5,5,0
Middletown,3,Secretary of State,,Green,Michael DeRosa,33,30,3
Middletown,4,Secretary of State,,Green,Michael DeRosa,17,17,0
Middletown,5,Secretary of State,,Green,Michael DeRosa,12,11,1
Middletown,6,Secretary of State,,Green,Michael DeRosa,6,6,0
Middletown,7,Secretary of State,,Green,Michael DeRosa,20,19,1
Middletown,8,Secretary of State,,Green,Michael DeRosa,12,11,1
Middletown,9,Secretary of State,,Green,Michael DeRosa,12,11,1
Middletown,10,Secretary of State,,Green,Michael DeRosa,30,29,1
Middletown,11,Secretary of State,,Green,Michael DeRosa,26,24,2
Middletown,12,Secretary of State,,Green,Michael DeRosa,5,5,0
Middletown,13,Secretary of State,,Green,Michael DeRosa,5,3,2
Middletown,14,Secretary of State,,Green,Michael DeRosa,27,26,1
Middletown,1,Secretary of State,,Lbt,Ken Mosher,5,4,1
Middletown,2,Secretary of State,,Lbt,Ken Mosher,0,0,0
Middletown,3,Secretary of State,,Lbt,Ken Mosher,23,22,1
Middletown,4,Secretary of State,,Lbt,Ken Mosher,11,11,0
Middletown,5,Secretary of State,,Lbt,Ken Mosher,10,10,0
Middletown,6,Secretary of State,,Lbt,Ken Mosher,12,12,0
Middletown,7,Secretary of State,,Lbt,Ken Mosher,4,4,0
Middletown,8,Secretary of State,,Lbt,Ken Mosher,2,2,0
Middletown,9,Secretary of State,,Lbt,Ken Mosher,4,4,0
Middletown,10,Secretary of State,,Lbt,Ken Mosher,14,12,2
Middletown,11,Secretary of State,,Lbt,Ken Mosher,12,9,3
Middletown,12,Secretary of State,,Lbt,Ken Mosher,7,7,0
Middletown,13,Secretary of State,,Lbt,Ken Mosher,3,2,1
Middletown,14,Secretary of State,,Lbt,Ken Mosher,3,3,0
Middletown,1,Secretary of State,,WF,Denise Merrill,35,34,1
Middletown,2,Secretary of State,,WF,Denise Merrill,13,13,0
Middletown,3,Secretary of State,,WF,Denise Merrill,70,68,2
Middletown,4,Secretary of State,,WF,Denise Merrill,19,18,1
Middletown,5,Secretary of State,,WF,Denise Merrill,19,17,2
Middletown,6,Secretary of State,,WF,Denise Merrill,20,19,1
Middletown,7,Secretary of State,,WF,Denise Merrill,24,23,1
Middletown,8,Secretary of State,,WF,Denise Merrill,27,25,2
Middletown,9,Secretary of State,,WF,Denise Merrill,39,36,3
Middletown,10,Secretary of State,,WF,Denise Merrill,68,67,1
Middletown,11,Secretary of State,,WF,Denise Merrill,82,81,1
Middletown,12,Secretary of State,,WF,Denise Merrill,22,22,0
Middletown,13,Secretary of State,,WF,Denise Merrill,13,12,1
Middletown,14,Secretary of State,,WF,Denise Merrill,35,34,1
Middletown,1,Secretary of State,,Ind,Michael Telesca,10,10,0
Middletown,2,Secretary of State,,Ind,Michael Telesca,4,4,0
Middletown,3,Secretary of State,,Ind,Michael Telesca,15,15,0
Middletown,4,Secretary of State,,Ind,Michael Telesca,13,12,1
Middletown,5,Secretary of State,,Ind,Michael Telesca,11,10,1
Middletown,6,Secretary of State,,Ind,Michael Telesca,12,12,0
Middletown,7,Secretary of State,,Ind,Michael Telesca,9,9,0
Middletown,8,Secretary of State,,Ind,Michael Telesca,1,1,0
Middletown,9,Secretary of State,,Ind,Michael Telesca,11,9,2
Middletown,10,Secretary of State,,Ind,Michael Telesca,24,23,1
Middletown,11,Secretary of State,,Ind,Michael Telesca,30,30,0
Middletown,12,Secretary of State,,Ind,Michael Telesca,9,9,0
Middletown,13,Secretary of State,,Ind,Michael Telesca,4,2,2
Middletown,14,Secretary of State,,Ind,Michael Telesca,8,8,0
Middletown,1,Treasurer,,Rep,Jeff Wright,144,136,8
Middletown,2,Treasurer,,Rep,Jeff Wright,62,57,5
Middletown,3,Treasurer,,Rep,Jeff Wright,854,804,50
Middletown,4,Treasurer,,Rep,Jeff Wright,394,375,19
Middletown,5,Treasurer,,Rep,Jeff Wright,388,362,26
Middletown,6,Treasurer,,Rep,Jeff Wright,234,226,8
Middletown,7,Treasurer,,Rep,Jeff Wright,220,203,17
Middletown,8,Treasurer,,Rep,Jeff Wright,77,75,2
Middletown,9,Treasurer,,Rep,Jeff Wright,368,348,20
Middletown,10,Treasurer,,Rep,Jeff Wright,749,719,30
Middletown,11,Treasurer,,Rep,Jeff Wright,651,605,46
Middletown,12,Treasurer,,Rep,Jeff Wright,131,131,0
Middletown,13,Treasurer,,Rep,Jeff Wright,46,39,7
Middletown,14,Treasurer,,Rep,Jeff Wright,105,81,24
Middletown,1,Treasurer,,Dem,Denise Nappier,446,408,38
Middletown,2,Treasurer,,Dem,Denise Nappier,196,191,5
Middletown,3,Treasurer,,Dem,Denise Nappier,1509,1467,42
Middletown,4,Treasurer,,Dem,Denise Nappier,487,478,9
Middletown,5,Treasurer,,Dem,Denise Nappier,492,458,34
Middletown,6,Treasurer,,Dem,Denise Nappier,435,416,19
Middletown,7,Treasurer,,Dem,Denise Nappier,578,521,57
Middletown,8,Treasurer,,Dem,Denise Nappier,234,214,20
Middletown,9,Treasurer,,Dem,Denise Nappier,746,706,40
Middletown,10,Treasurer,,Dem,Denise Nappier,1058,1010,48
Middletown,11,Treasurer,,Dem,Denise Nappier,1287,1194,93
Middletown,12,Treasurer,,Dem,Denise Nappier,261,249,12
Middletown,13,Treasurer,,Dem,Denise Nappier,210,163,47
Middletown,14,Treasurer,,Dem,Denise Nappier,558,520,38
Middletown,1,Treasurer,,Green,David Bue,19,17,2
Middletown,2,Treasurer,,Green,David Bue,7,7,0
Middletown,3,Treasurer,,Green,David Bue,21,19,2
Middletown,4,Treasurer,,Green,David Bue,11,11,0
Middletown,5,Treasurer,,Green,David Bue,11,11,0
Middletown,6,Treasurer,,Green,David Bue,4,4,0
Middletown,7,Treasurer,,Green,David Bue,11,10,1
Middletown,8,Treasurer,,Green,David Bue,7,6,1
Middletown,9,Treasurer,,Green,David Bue,8,8,0
Middletown,10,Treasurer,,Green,David Bue,26,26,0
Middletown,11,Treasurer,,Green,David Bue,21,18,3
Middletown,12,Treasurer,,Green,David Bue,7,7,0
Middletown,13,Treasurer,,Green,David Bue,3,2,1
Middletown,14,Treasurer,,Green,David Bue,18,17,1
Middletown,1,Treasurer,,WF,Denise Nappier,39,38,1
Middletown,2,Treasurer,,WF,Denise Nappier,11,10,1
Middletown,3,Treasurer,,WF,Denise Nappier,82,78,4
Middletown,4,Treasurer,,WF,Denise Nappier,21,20,1
Middletown,5,Treasurer,,WF,Denise Nappier,19,18,1
Middletown,6,Treasurer,,WF,Denise Nappier,25,24,1
Middletown,7,Treasurer,,WF,Denise Nappier,26,24,2
Middletown,8,Treasurer,,WF,Denise Nappier,26,24,2
Middletown,9,Treasurer,,WF,Denise Nappier,45,43,2
Middletown,10,Treasurer,,WF,Denise Nappier,69,68,1
Middletown,11,Treasurer,,WF,Denise Nappier,84,82,2
Middletown,12,Treasurer,,WF,Denise Nappier,24,23,1
Middletown,13,Treasurer,,WF,Denise Nappier,13,13,0
Middletown,14,Treasurer,,WF,Denise Nappier,45,44,1
Middletown,1,Treasurer,,Ind,Andrew White,6,6,0
Middletown,2,Treasurer,,Ind,Andrew White,5,5,0
Middletown,3,Treasurer,,Ind,Andrew White,19,19,0
Middletown,4,Treasurer,,Ind,Andrew White,12,12,0
Middletown,5,Treasurer,,Ind,Andrew White,11,10,1
Middletown,6,Treasurer,,Ind,Andrew White,7,7,0
Middletown,7,Treasurer,,Ind,Andrew White,11,10,1
Middletown,8,Treasurer,,Ind,Andrew White,2,2,0
Middletown,9,Treasurer,,Ind,Andrew White,11,11,0
Middletown,10,Treasurer,,Ind,Andrew White,30,29,1
Middletown,11,Treasurer,,Ind,Andrew White,30,30,0
Middletown,12,Treasurer,,Ind,Andrew White,11,11,0
Middletown,13,Treasurer,,Ind,Andrew White,4,2,2
Middletown,14,Treasurer,,Ind,Andrew White,8,8,0
Middletown,1,Comptroller,,Rep,Jack Orchulli,130,123,7
Middletown,2,Comptroller,,Rep,Jack Orchulli,63,58,5
Middletown,3,Comptroller,,Rep,Jack Orchulli,781,736,45
Middletown,4,Comptroller,,Rep,Jack Orchulli,397,378,19
