county,town,precinct,office,district,party,candidate,votes
Fairfield,Darien,1,President,,Democrat,Clinton-Kaine,864
Fairfield,Darien,2,President,,Democrat,Clinton-Kaine,948
Fairfield,Darien,3,President,,Democrat,Clinton-Kaine,983
Fairfield,Darien,4,President,,Democrat,Clinton-Kaine,1000
Fairfield,Darien,5,President,,Democrat,Clinton-Kaine,1162
Fairfield,Darien,6,President,,Democrat,Clinton-Kaine,985
Fairfield,Darien,1,President,,Republican,Trump-Pence,799
Fairfield,Darien,2,President,,Republican,Trump-Pence,745
Fairfield,Darien,3,President,,Republican,Trump-Pence,733
Fairfield,Darien,4,President,,Republican,Trump-Pence,731
Fairfield,Darien,5,President,,Republican,Trump-Pence,800
Fairfield,Darien,6,President,,Republican,Trump-Pence,817
Fairfield,Darien,1,President,,Libertarian,Johnson-Weld,124
Fairfield,Darien,2,President,,Libertarian,Johnson-Weld,111
Fairfield,Darien,3,President,,Libertarian,Johnson-Weld,88
Fairfield,Darien,4,President,,Libertarian,Johnson-Weld,81
Fairfield,Darien,5,President,,Libertarian,Johnson-Weld,101
Fairfield,Darien,6,President,,Libertarian,Johnson-Weld,81
Fairfield,Darien,1,President,,Green,Stein-Baraka,9
Fairfield,Darien,2,President,,Green,Stein-Baraka,17
Fairfield,Darien,3,President,,Green,Stein-Baraka,11
Fairfield,Darien,4,President,,Green,Stein-Baraka,12
Fairfield,Darien,5,President,,Green,Stein-Baraka,20
Fairfield,Darien,6,President,,Green,Stein-Baraka,11
Fairfield,Darien,1,President,,,Cooper,5
Fairfield,Darien,2,President,,,Cooper,0
Fairfield,Darien,3,President,,,Cooper,1
Fairfield,Darien,4,President,,,Cooper,1
Fairfield,Darien,5,President,,,Cooper,0
Fairfield,Darien,6,President,,,Cooper,5
Fairfield,Darien,1,President,,,McMullin,4
Fairfield,Darien,2,President,,,McMullin,0
Fairfield,Darien,3,President,,,McMullin,2
Fairfield,Darien,4,President,,,McMullin,9
Fairfield,Darien,5,President,,,McMullin,0
Fairfield,Darien,6,President,,,McMullin,5
Fairfield,Darien,1,President,,,Castle,0
Fairfield,Darien,2,President,,,Castle,0
Fairfield,Darien,3,President,,,Castle,0
Fairfield,Darien,4,President,,,Castle,0
Fairfield,Darien,5,President,,,Castle,0
Fairfield,Darien,6,President,,,Castle,0
Fairfield,Darien,1,President,,,Write-ins,0
Fairfield,Darien,2,President,,,Write-ins,0
Fairfield,Darien,3,President,,,Write-ins,0
Fairfield,Darien,4,President,,,Write-ins,0
Fairfield,Darien,5,President,,,Write-ins,0
Fairfield,Darien,6,President,,,Write-ins,0
Fairfield,Darien,1,U.S. Senate,,Democrat,Richard Blumenthal,562
Fairfield,Darien,2,U.S. Senate,,Democrat,Richard Blumenthal,684
Fairfield,Darien,3,U.S. Senate,,Democrat,Richard Blumenthal,781
Fairfield,Darien,4,U.S. Senate,,Democrat,Richard Blumenthal,780
Fairfield,Darien,5,U.S. Senate,,Democrat,Richard Blumenthal,927
Fairfield,Darien,6,U.S. Senate,,Democrat,Richard Blumenthal,819
Fairfield,Darien,1,U.S. Senate,,Working Families,Richard Blumenthal,25
Fairfield,Darien,2,U.S. Senate,,Working Families,Richard Blumenthal,40
Fairfield,Darien,3,U.S. Senate,,Working Families,Richard Blumenthal,39
Fairfield,Darien,4,U.S. Senate,,Working Families,Richard Blumenthal,38
Fairfield,Darien,5,U.S. Senate,,Working Families,Richard Blumenthal,61
Fairfield,Darien,6,U.S. Senate,,Working Families,Richard Blumenthal,38
Fairfield,Darien,1,U.S. Senate,,,Richard Blumenthal,19
