town,enrollment_list,registered_voters,voters
Andover,13,715,418
Ansonia,25,3056,1213
Ashford,6,1013,598
Avon,25,3994,1898
Barkhamsted,4,724,356
Beacon Falls,12,1081,436
Berlin,104,4894,2231
Bethany,10,1128,699
Bethel,20,3214,1603
Bethlehem,11,631,381
Bloomfield,16,7814,3793
Bolton,15,1042,618
Bozrah,11,614,277
Branford,44,6461,3375
Bridgeport,128,43153,11264
Bridgewater,4,412,224
Bristol,101,12737,5097
Brookfield,22,2388,1242
Brooklyn,16,1399,558
Burlington,13,1625,877
Canaan,2,293,182
Canterbury,6,797,354
Canton,22,2308,1244
Chaplin,5,397,214
Cheshire,19,4879,2619
Chester,7,995,646
Clinton,14,2306,1369
Colchester,20,3282,1627
Colebrook,7,265,148
Columbia,7,1248,686
Cornwall,1,440,341
Coventry,10,2371,1294
Cromwell,33,3260,1488
Danbury,75,11494,4316
Darien,0,2587,1204
Deep River,6,1112,587
Derby,23,2297,983
Durham,8,1283,721
East Granby,9,1027,537
East Haddam,13,1882,995
East Hampton,20,2522,1266
East Hartford,97,12661,4364
East Haven,47,5572,1912
East Lyme,24,3658,2017
East Windsor,19,2389,892
Eastford,3,318,183
Easton,8,1275,719
Ellington,11,2406,1149
Enfield,74,7832,3234
Essex,13,1580,985
Fairfield,37,11210,5911
Farmington,37,5616,2636
Franklin,7,361,163
Glastonbury,37,7258,3862
Goshen,4,552,311
Granby,13,2043,1240
Greenwich,50,8470,4708
Griswold,35,2248,914
Groton,32,5556,2905
Guilford,21,5158,3331
Haddam,22,1831,1067
Hamden,106,15243,8692
Hampton,3,406,255
Hartford,84,37056,10703
Hartland,2,354,166
Harwinton,8,974,460
Hebron,15,1887,960
Kent,1,775,544
Killingly,23,2512,913
Killingworth,7,1215,722
Lebanon,8,1251,711
Ledyard,10,2195,1171
Lisbon,11,573,394
Litchfield,9,1510,871
Lyme,1,614,395
Madison,13,3528,2075
Manchester,88,11364,5665
Mansfield,15,5569,3242
Marlborough,11,1303,738
Meriden,76,10538,3852
Middlebury,12,1173,609
Middlefield,5,980,477
Middletown,80,11198,5434
Milford,79,9873,4517
Monroe,26,2603,1341
Montville,35,2706,1278
Morris,3,409,216
Naugatuck,56,5717,2027
New Britain,113,13985,5164
New Canaan,9,2773,1353
New Fairfield,0,2195,902
New Hartford,17,1252,708
New Haven,128,50262,16935
New London,28,7445,2537
New Milford,32,4201,2108
Newington,85,7501,3374
Newtown,35,4755,2584
Norfolk,3,428,273
North Branford,18,2189,1005
North Canaan,3,540,289
North Haven,27,3999,2112
North Stonington,6,977,483
Norwalk,60,17750,7518
Norwich,47,6574,2904
Old Lyme,14,1643,924
Old Saybrook,8,2261,1240
Orange,15,2574,1225
Oxford,8,1495,718
Plainfield,36,3055,1026
Plainville,49,2808,1582
Plymouth,23,1909,722
Pomfret,5,800,483
Portland,25,2047,1058
Preston,8,766,343
Prospect,12,1357,622
Putnam,21,1780,650
Redding,5,2198,1188
Ridgefield,24,4924,2635
Rocky Hill,40,4398,1965
Roxbury,1,530,298
Salem,8,817,436
Salisbury,2,1157,772
Scotland,7,332,151
Seymour,21,2330,1022
Sharon,2,616,375
Shelton,81,5600,2631
Sherman,4,658,327
Simsbury,21,5200,2782
Somers,13,1260,563
South Windsor,51,5751,2835
Southbury,21,3234,1815
Southington,93,7736,3526
Sprague,9,624,285
Stafford,34,2712,1076
Stamford,157,24920,11462
Sterling,4,481,177
Stonington,25,4336,2220
Stratford,70,10897,4626
Suffield,19,2327,1204
Thomaston,18,1063,490
Thompson,25,1681,667
Tolland,19,2654,1420
Torrington,58,6057,2211
Trumbull,30,6576,2924
Union,2,137,83
Vernon,46,4788,2434
Voluntown,12,410,204
Wallingford,52,6731,3445
Warren,0,242,145
Washington,4,818,493
Waterbury,171,27070,5843
Waterford,25,4092,1928
Watertown,48,3608,1362
West Hartford,100,26018,10125
West Haven,120,14856,4964
Westbrook,11,1015,614
Weston,8,2239,1346
Westport,30,6227,3786
Wethersfield,51,6292,3116
Will ington,6,1079,647
Wilton,15,3215,1859
Winchester,11,1575,720
Windham,37,4190,1953
Windsor,47,9694,4493
Windsor Locks,30,2464,1029
Wolcott,29,2659,931
Woodbridge,13,2473,1453
Woodbury,11,1704,1004
Woodstock,10,1439,812
,"4,871","762,085","328,624"
