town,office,district,party,enrollment_list,registered_voters,voters
Andover,President,,DEM,13,715,418
Ansonia,President,,DEM,25,3056,1213
Ashford,President,,DEM,6,1013,598
Avon,President,,DEM,25,3994,1898
Barkhamsted,President,,DEM,4,724,356
Beacon Falls,President,,DEM,12,1081,436
Berlin,President,,DEM,104,4894,2231
Bethany,President,,DEM,10,1128,699
Bethel,President,,DEM,20,3214,1603
Bethlehem,President,,DEM,11,631,381
Bloomfield,President,,DEM,16,7814,3793
Bolton,President,,DEM,15,1042,618
Bozrah,President,,DEM,11,614,277
Branford,President,,DEM,44,6461,3375
Bridgeport,President,,DEM,128,43153,11264
Bridgewater,President,,DEM,4,412,224
Bristol,President,,DEM,101,12737,5097
Brookfield,President,,DEM,22,2388,1242
Brooklyn,President,,DEM,16,1399,558
Burlington,President,,DEM,13,1625,877
Canaan,President,,DEM,2,293,182
Canterbury,President,,DEM,6,797,354
Canton,President,,DEM,22,2308,1244
Chaplin,President,,DEM,5,397,214
Cheshire,President,,DEM,19,4879,2619
Chester,President,,DEM,7,995,646
Clinton,President,,DEM,14,2306,1369
Colchester,President,,DEM,20,3282,1627
Colebrook,President,,DEM,7,265,148
Columbia,President,,DEM,7,1248,686
Cornwall,President,,DEM,1,440,341
Coventry,President,,DEM,10,2371,1294
Cromwell,President,,DEM,33,3260,1488
Danbury,President,,DEM,75,11494,4316
Darien,President,,DEM,0,2587,1204
Deep River,President,,DEM,6,1112,587
Derby,President,,DEM,23,2297,983
Durham,President,,DEM,8,1283,721
East Granby,President,,DEM,9,1027,537
East Haddam,President,,DEM,13,1882,995
East Hampton,President,,DEM,20,2522,1266
East Hartford,President,,DEM,97,12661,4364
East Haven,President,,DEM,47,5572,1912
East Lyme,President,,DEM,24,3658,2017
East Windsor,President,,DEM,19,2389,892
Eastford,President,,DEM,3,318,183
Easton,President,,DEM,8,1275,719
Ellington,President,,DEM,11,2406,1149
Enfield,President,,DEM,74,7832,3234
Essex,President,,DEM,13,1580,985
Fairfield,President,,DEM,37,11210,5911
Farmington,President,,DEM,37,5616,2636
Franklin,President,,DEM,7,361,163
Glastonbury,President,,DEM,37,7258,3862
Goshen,President,,DEM,4,552,311
Granby,President,,DEM,13,2043,1240
Greenwich,President,,DEM,50,8470,4708
Griswold,President,,DEM,35,2248,914
Groton,President,,DEM,32,5556,2905
Guilford,President,,DEM,21,5158,3331
Haddam,President,,DEM,22,1831,1067
Hamden,President,,DEM,106,15243,8692
