town,office,district,party,candidate,votes
Colebrook,State House,63,REP,Jay M. Case,102
Goshen,State House,63,REP,Jay M. Case,58
Torrington,State House,63,REP,Jay M. Case,162
Winchester,State House,63,REP,Jay M. Case,367
Total,State House,63,REP,Jay M. Case,689
Colebrook,State House,63,REP,David G. LaPointe,14
Goshen,State House,63,REP,David G. LaPointe,18
Torrington,State House,63,REP,David G. LaPointe,140
Winchester,State House,63,REP,David G. LaPointe,164
Total,State House,63,REP,David G. LaPointe,336
Shelton,State House,113,REP,Ruth Parkins,108
Shelton,State House,113,REP,Jason Perillo,1054
Total,State House,113,REP,Ruth Parkins,108
Total,State House,113,REP,Jason Perillo,1054
Berlin,State Senate,6,DEM,Sharon Beloin-Saavedra,166
Farmington,State Senate,6,DEM,Sharon Beloin-Saavedra,11
New Britain,State Senate,6,DEM,Sharon Beloin-Saavedra,1022
Total,State Senate,6,DEM,Sharon Beloin-Saavedra,1199
Berlin,State Senate,6,DEM,Terry Bielinski Gerratana,517
Farmington,State Senate,6,DEM,Terry Bielinski Gerratana,68
New Britain,State Senate,6,DEM,Terry Bielinski Gerratana,1840
Total,State Senate,6,DEM,Terry Bielinski Gerratana,2425
Bridgeport,State Senate,22,DEM,Thomas C. McCarthy,1019
Monroe,State Senate,22,DEM,Thomas C. McCarthy,58
Trumbull,State Senate,22,DEM,Thomas C. McCarthy,469
Total,State Senate,22,DEM,Thomas C. McCarthy,1546
Bridgeport,State Senate,22,DEM,Marilyn V. Moore,2161
Monroe,State Senate,22,DEM,Marilyn V. Moore,60
Trumbull,State Senate,22,DEM,Marilyn V. Moore,468
Total,State Senate,22,DEM,Marilyn V. Moore,2689
Bridgeport,State Senate,23,DEM,Dennis Bradley,1571
Stratford,State Senate,23,DEM,Dennis Bradley,113
Total,State Senate,23,DEM,Dennis Bradley,1684
Bridgeport,State Senate,23,DEM,Ed Gomes,1701
Stratford,State Senate,23,DEM,Ed Gomes,237
Total,State Senate,23,DEM,Ed Gomes,1938
New London,State House,39,DEM,Ernest Hewett,513
Total,State House,39,DEM,Ernest Hewett,513
New London,State House,39,DEM,Chris Soto,994
Total,State House,39,DEM,Chris Soto,994
Bristol,State House,77,DEM,Laura Bartok,704
Bristol,State House,77,DEM,Christy Matthews,157
Total,State House,77,DEM,Laura Bartok,704
Total,State House,77,DEM,Christy Matthews,157
Hamden,State House,88,DEM,Joshua Elliott,1053
Hamden,State House,88,DEM,James Pascarella,812
Total,State House,88,DEM,Joshua Elliott,1053
Total,State House,88,DEM,James Pascarella,812
New Haven,State House,116,DEM,Michael A. DiMassa,41
West Haven,State House,116,DEM,Michael A. DiMassa,526
Total,State House,116,DEM,Michael A. DiMassa,567
New Haven,State House,116,DEM,Louis P. Esposito Jr.,27
West Haven,State House,116,DEM,Louis P. Esposito Jr.,518
Total,State House,116,DEM,Louis P. Esposito Jr.,545
Bridgeport,State House,124,DEM,Andre F. Baker Jr.,643
Total,State House,124,DEM,Andre F. Baker Jr.,643
Bridgeport,State House,124,DEM,Charles J. Coviello Jr.,289
Total,State House,124,DEM,Charles J. Coviello Jr.,289
Bridgeport,State House,126,DEM,Maria H. Pereira,845
Total,State House,126,DEM,Maria H. Pereira,845
Bridgeport,State House,126,DEM,Charlie Stallworth,929
Total,State House,126,DEM,Charlie Stallworth,929
Stamford,State House,146,DEM,Terry B. Adams,499
Total,State House,146,DEM,Terry B. Adams,499
Stamford,State House,146,DEM,Dan Dauplaise,263
Total,State House,146,DEM,Dan Dauplaise,263
