candidate,party,office,district,town,votes,precinct
William J. Heffernan III,Democratic Party,State House,115,West Haven,142,City Hall
Silvana Apicella,Republican Party,State House,115,West Haven,55,City Hall
Edward M. O'Brien,Petitioning Candidate,State House,115,West Haven,49,City Hall
Victor Borras,Write In,State House,115,West Haven,1,City Hall
William J. Heffernan III,Democratic Party,State House,115,West Haven,396,Mackrille School
Silvana Apicella,Republican Party,State House,115,West Haven,183,Mackrille School
Edward M. O'Brien,Petitioning Candidate,State House,115,West Haven,172,Mackrille School
Victor Borras,Write In,State House,115,West Haven,43,Mackrille School
William J. Heffernan III,Democratic Party,State House,115,West Haven,215,Savin Rock School
William J. Heffernan III,Democratic Party,State House,115,West Haven,254,Savin Rock School
Silvana Apicella,Republican Party,State House,115,West Haven,84,Savin Rock School
Silvana Apicella,Republican Party,State House,115,West Haven,88,Savin Rock School
Edward M. O'Brien,Petitioning Candidate,State House,115,West Haven,73,Savin Rock School
Edward M. O'Brien,Petitioning Candidate,State House,115,West Haven,96,Savin Rock School
Victor Borras,Write In,State House,115,West Haven,2,Savin Rock School
Victor Borras,Write In,State House,115,West Haven,6,Savin Rock School
