candidate,party,office,district,town,votes,precinct
Marianne Williamson,Democratic Party,President,,Andover,3,Andover Town Hall
Dean Phillips,Democratic Party,President,,Andover,0,Andover Town Hall
Cenk Uygur,Democratic Party,President,,Andover,0,Andover Town Hall
Joe Biden,Democratic Party,President,,Andover,76,Andover Town Hall
Uncommitted,Democratic Party,President,,Andover,9,Andover Town Hall
Marianne Williamson,Democratic Party,President,,Ansonia,0,Ward 1 Ansonia Armory
Dean Phillips,Democratic Party,President,,Ansonia,0,Ward 1 Ansonia Armory
Cenk Uygur,Democratic Party,President,,Ansonia,1,Ward 1 Ansonia Armory
Joe Biden,Democratic Party,President,,Ansonia,10,Ward 1 Ansonia Armory
Uncommitted,Democratic Party,President,,Ansonia,5,Ward 1 Ansonia Armory
Marianne Williamson,Democratic Party,President,,Ansonia,2,Ward 2 Ansonia Armory
Dean Phillips,Democratic Party,President,,Ansonia,0,Ward 2 Ansonia Armory
Cenk Uygur,Democratic Party,President,,Ansonia,0,Ward 2 Ansonia Armory
Joe Biden,Democratic Party,President,,Ansonia,19,Ward 2 Ansonia Armory
Uncommitted,Democratic Party,President,,Ansonia,3,Ward 2 Ansonia Armory
Marianne Williamson,Democratic Party,President,,Ansonia,0,Ward 3 Holy Rosary Church Hall
Dean Phillips,Democratic Party,President,,Ansonia,0,Ward 3 Holy Rosary Church Hall
Cenk Uygur,Democratic Party,President,,Ansonia,0,Ward 3 Holy Rosary Church Hall
Joe Biden,Democratic Party,President,,Ansonia,15,Ward 3 Holy Rosary Church Hall
Uncommitted,Democratic Party,President,,Ansonia,2,Ward 3 Holy Rosary Church Hall
Marianne Williamson,Democratic Party,President,,Ansonia,1,Ward 4 Ansonia Middle School Gym
Dean Phillips,Democratic Party,President,,Ansonia,0,Ward 4 Ansonia Middle School Gym
Cenk Uygur,Democratic Party,President,,Ansonia,0,Ward 4 Ansonia Middle School Gym
Joe Biden,Democratic Party,President,,Ansonia,9,Ward 4 Ansonia Middle School Gym
Uncommitted,Democratic Party,President,,Ansonia,3,Ward 4 Ansonia Middle School Gym
Marianne Williamson,Democratic Party,President,,Ansonia,0,Ward 5 Ansonia Middle School Gym
Dean Phillips,Democratic Party,President,,Ansonia,0,Ward 5 Ansonia Middle School Gym
Cenk Uygur,Democratic Party,President,,Ansonia,0,Ward 5 Ansonia Middle School Gym
Joe Biden,Democratic Party,President,,Ansonia,15,Ward 5 Ansonia Middle School Gym
Uncommitted,Democratic Party,President,,Ansonia,2,Ward 5 Ansonia Middle School Gym
Marianne Williamson,Democratic Party,President,,Ansonia,0,Ward 6 Prendergast School Gym
Dean Phillips,Democratic Party,President,,Ansonia,0,Ward 6 Prendergast School Gym
Cenk Uygur,Democratic Party,President,,Ansonia,0,Ward 6 Prendergast School Gym
Joe Biden,Democratic Party,President,,Ansonia,17,Ward 6 Prendergast School Gym
Uncommitted,Democratic Party,President,,Ansonia,8,Ward 6 Prendergast School Gym
Marianne Williamson,Democratic Party,President,,Ansonia,1,Ward 7 Mead School Cafe
Dean Phillips,Democratic Party,President,,Ansonia,2,Ward 7 Mead School Cafe
Cenk Uygur,Democratic Party,President,,Ansonia,0,Ward 7 Mead School Cafe
Joe Biden,Democratic Party,President,,Ansonia,28,Ward 7 Mead School Cafe
Uncommitted,Democratic Party,President,,Ansonia,8,Ward 7 Mead School Cafe
Marianne Williamson,Democratic Party,President,,Ashford,7,Knowlton Memorial Hall
Dean Phillips,Democratic Party,President,,Ashford,2,Knowlton Memorial Hall
Cenk Uygur,Democratic Party,President,,Ashford,0,Knowlton Memorial Hall
Joe Biden,Democratic Party,President,,Ashford,95,Knowlton Memorial Hall
Uncommitted,Democratic Party,President,,Ashford,10,Knowlton Memorial Hall
Marianne Williamson,Democratic Party,President,,Avon,5,Avon High School - Gymnasium
Dean Phillips,Democratic Party,President,,Avon,2,Avon High School - Gymnasium
Cenk Uygur,Democratic Party,President,,Avon,0,Avon High School - Gymnasium
Joe Biden,Democratic Party,President,,Avon,196,Avon High School - Gymnasium
Uncommitted,Democratic Party,President,,Avon,20,Avon High School - Gymnasium
Marianne Williamson,Democratic Party,President,,Avon,3,Roaring Brook School
Dean Phillips,Democratic Party,President,,Avon,0,Roaring Brook School
Cenk Uygur,Democratic Party,President,,Avon,2,Roaring Brook School
Joe Biden,Democratic Party,President,,Avon,142,Roaring Brook School
Uncommitted,Democratic Party,President,,Avon,31,Roaring Brook School
Marianne Williamson,Democratic Party,President,,Avon,4,Thompson Brook School
Dean Phillips,Democratic Party,President,,Avon,1,Thompson Brook School
Cenk Uygur,Democratic Party,President,,Avon,0,Thompson Brook School
Joe Biden,Democratic Party,President,,Avon,101,Thompson Brook School
