candidate,party,office,district,town,votes,precinct
Uncommitted,Democratic Party,President,,Avon,9,Thompson Brook School
Marianne Williamson,Democratic Party,President,,Barkhamsted,2,Barkhamsted Elementary School
Dean Phillips,Democratic Party,President,,Barkhamsted,0,Barkhamsted Elementary School
Cenk Uygur,Democratic Party,President,,Barkhamsted,0,Barkhamsted Elementary School
Joe Biden,Democratic Party,President,,Barkhamsted,67,Barkhamsted Elementary School
Uncommitted,Democratic Party,President,,Barkhamsted,11,Barkhamsted Elementary School
Marianne Williamson,Democratic Party,President,,Beacon Falls,4,Laurel Ledge School
Dean Phillips,Democratic Party,President,,Beacon Falls,2,Laurel Ledge School
Cenk Uygur,Democratic Party,President,,Beacon Falls,0,Laurel Ledge School
Joe Biden,Democratic Party,President,,Beacon Falls,54,Laurel Ledge School
Uncommitted,Democratic Party,President,,Beacon Falls,10,Laurel Ledge School
Marianne Williamson,Democratic Party,President,,Berlin,6,Griswold School
Dean Phillips,Democratic Party,President,,Berlin,0,Griswold School
Cenk Uygur,Democratic Party,President,,Berlin,0,Griswold School
Joe Biden,Democratic Party,President,,Berlin,85,Griswold School
Uncommitted,Democratic Party,President,,Berlin,26,Griswold School
Marianne Williamson,Democratic Party,President,,Berlin,1,Hubbard School
Dean Phillips,Democratic Party,President,,Berlin,4,Hubbard School
Cenk Uygur,Democratic Party,President,,Berlin,0,Hubbard School
Joe Biden,Democratic Party,President,,Berlin,82,Hubbard School
Uncommitted,Democratic Party,President,,Berlin,13,Hubbard School
Marianne Williamson,Democratic Party,President,,Berlin,0,Willard School
Dean Phillips,Democratic Party,President,,Berlin,1,Willard School
Cenk Uygur,Democratic Party,President,,Berlin,0,Willard School
Joe Biden,Democratic Party,President,,Berlin,80,Willard School
Uncommitted,Democratic Party,President,,Berlin,18,Willard School
Marianne Williamson,Democratic Party,President,,Bethany,3,Town Hall
Dean Phillips,Democratic Party,President,,Bethany,2,Town Hall
Cenk Uygur,Democratic Party,President,,Bethany,0,Town Hall
Joe Biden,Democratic Party,President,,Bethany,165,Town Hall
Uncommitted,Democratic Party,President,,Bethany,24,Town Hall
Marianne Williamson,Democratic Party,President,,Bethel,5,Bethel Municipal Center 1
Dean Phillips,Democratic Party,President,,Bethel,1,Bethel Municipal Center 1
Cenk Uygur,Democratic Party,President,,Bethel,0,Bethel Municipal Center 1
Joe Biden,Democratic Party,President,,Bethel,107,Bethel Municipal Center 1
Uncommitted,Democratic Party,President,,Bethel,12,Bethel Municipal Center 1
Marianne Williamson,Democratic Party,President,,Bethel,2,Frank A Berry School - 3
Dean Phillips,Democratic Party,President,,Bethel,2,Frank A Berry School - 3
Cenk Uygur,Democratic Party,President,,Bethel,0,Frank A Berry School - 3
Joe Biden,Democratic Party,President,,Bethel,112,Frank A Berry School - 3
Uncommitted,Democratic Party,President,,Bethel,15,Frank A Berry School - 3
Marianne Williamson,Democratic Party,President,,Bethel,0,Stony Hill Fire House -2
Dean Phillips,Democratic Party,President,,Bethel,1,Stony Hill Fire House -2
Cenk Uygur,Democratic Party,President,,Bethel,0,Stony Hill Fire House -2
Joe Biden,Democratic Party,President,,Bethel,57,Stony Hill Fire House -2
Uncommitted,Democratic Party,President,,Bethel,5,Stony Hill Fire House -2
Marianne Williamson,Democratic Party,President,,Bethel,0,Stony Hill Fire House -4
Dean Phillips,Democratic Party,President,,Bethel,0,Stony Hill Fire House -4
Cenk Uygur,Democratic Party,President,,Bethel,0,Stony Hill Fire House -4
Joe Biden,Democratic Party,President,,Bethel,9,Stony Hill Fire House -4
Uncommitted,Democratic Party,President,,Bethel,4,Stony Hill Fire House -4
Marianne Williamson,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Marianne Williamson,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Marianne Williamson,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Marianne Williamson,Democratic Party,President,,Bethlehem,2,Bethlehem Town Office Building Room 1
Dean Phillips,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Dean Phillips,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Dean Phillips,Democratic Party,President,,Bethlehem,1,Bethlehem Town Office Building Room 1
Dean Phillips,Democratic Party,President,,Bethlehem,1,Bethlehem Town Office Building Room 1
Cenk Uygur,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Cenk Uygur,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Cenk Uygur,Democratic Party,President,,Bethlehem,1,Bethlehem Town Office Building Room 1
Cenk Uygur,Democratic Party,President,,Bethlehem,1,Bethlehem Town Office Building Room 1
Joe Biden,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Joe Biden,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Joe Biden,Democratic Party,President,,Bethlehem,21,Bethlehem Town Office Building Room 1
Joe Biden,Democratic Party,President,,Bethlehem,55,Bethlehem Town Office Building Room 1
Uncommitted,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Uncommitted,Democratic Party,President,,Bethlehem,0,Bethlehem Town Office Building Room 1
Uncommitted,Democratic Party,President,,Bethlehem,1,Bethlehem Town Office Building Room 1
Uncommitted,Democratic Party,President,,Bethlehem,4,Bethlehem Town Office Building Room 1
Marianne Williamson,Democratic Party,President,,Bloomfield,1,Bloomfield High School
Dean Phillips,Democratic Party,President,,Bloomfield,1,Bloomfield High School
Cenk Uygur,Democratic Party,President,,Bloomfield,1,Bloomfield High School
Joe Biden,Democratic Party,President,,Bloomfield,214,Bloomfield High School
Uncommitted,Democratic Party,President,,Bloomfield,21,Bloomfield High School
Marianne Williamson,Democratic Party,President,,Bloomfield,2,Carmen Arace Middle School
Dean Phillips,Democratic Party,President,,Bloomfield,1,Carmen Arace Middle School
Cenk Uygur,Democratic Party,President,,Bloomfield,0,Carmen Arace Middle School
Joe Biden,Democratic Party,President,,Bloomfield,131,Carmen Arace Middle School
Uncommitted,Democratic Party,President,,Bloomfield,6,Carmen Arace Middle School
Marianne Williamson,Democratic Party,President,,Bloomfield,3,Laurel Elementary School
Dean Phillips,Democratic Party,President,,Bloomfield,1,Laurel Elementary School
Cenk Uygur,Democratic Party,President,,Bloomfield,1,Laurel Elementary School
Joe Biden,Democratic Party,President,,Bloomfield,190,Laurel Elementary School
Uncommitted,Democratic Party,President,,Bloomfield,12,Laurel Elementary School
Marianne Williamson,Democratic Party,President,,Bloomfield,1,Leisure Services Gym
Dean Phillips,Democratic Party,President,,Bloomfield,1,Leisure Services Gym
Cenk Uygur,Democratic Party,President,,Bloomfield,1,Leisure Services Gym
Joe Biden,Democratic Party,President,,Bloomfield,82,Leisure Services Gym
Uncommitted,Democratic Party,President,,Bloomfield,5,Leisure Services Gym
Marianne Williamson,Democratic Party,President,,Bloomfield,5,Metacomet Elementary School
Dean Phillips,Democratic Party,President,,Bloomfield,3,Metacomet Elementary School
Cenk Uygur,Democratic Party,President,,Bloomfield,1,Metacomet Elementary School
Joe Biden,Democratic Party,President,,Bloomfield,220,Metacomet Elementary School
Uncommitted,Democratic Party,President,,Bloomfield,15,Metacomet Elementary School
Marianne Williamson,Democratic Party,President,,Bolton,3,Bolton Center School Gym
Dean Phillips,Democratic Party,President,,Bolton,0,Bolton Center School Gym
Cenk Uygur,Democratic Party,President,,Bolton,0,Bolton Center School Gym
Joe Biden,Democratic Party,President,,Bolton,44,Bolton Center School Gym
Uncommitted,Democratic Party,President,,Bolton,15,Bolton Center School Gym
Marianne Williamson,Democratic Party,President,,Bolton,4,Saint Maurice Parish Center
Dean Phillips,Democratic Party,President,,Bolton,3,Saint Maurice Parish Center
Cenk Uygur,Democratic Party,President,,Bolton,3,Saint Maurice Parish Center
Joe Biden,Democratic Party,President,,Bolton,84,Saint Maurice Parish Center
Uncommitted,Democratic Party,President,,Bolton,5,Saint Maurice Parish Center
Marianne Williamson,Democratic Party,President,,Bozrah,4,Bozrah Senior Center
Dean Phillips,Democratic Party,President,,Bozrah,2,Bozrah Senior Center
Cenk Uygur,Democratic Party,President,,Bozrah,0,Bozrah Senior Center
Joe Biden,Democratic Party,President,,Bozrah,31,Bozrah Senior Center
Uncommitted,Democratic Party,President,,Bozrah,12,Bozrah Senior Center
Marianne Williamson,Democratic Party,President,,Branford,1,Branford Fire Headquarters
Dean Phillips,Democratic Party,President,,Branford,3,Branford Fire Headquarters
Cenk Uygur,Democratic Party,President,,Branford,2,Branford Fire Headquarters
Joe Biden,Democratic Party,President,,Branford,117,Branford Fire Headquarters
Uncommitted,Democratic Party,President,,Branford,12,Branford Fire Headquarters
Marianne Williamson,Democratic Party,President,,Branford,5,Community House
Dean Phillips,Democratic Party,President,,Branford,2,Community House
Cenk Uygur,Democratic Party,President,,Branford,0,Community House
Joe Biden,Democratic Party,President,,Branford,108,Community House
Uncommitted,Democratic Party,President,,Branford,8,Community House
Marianne Williamson,Democratic Party,President,,Branford,2,Indian Neck School
Dean Phillips,Democratic Party,President,,Branford,1,Indian Neck School
Cenk Uygur,Democratic Party,President,,Branford,0,Indian Neck School
Joe Biden,Democratic Party,President,,Branford,134,Indian Neck School
Uncommitted,Democratic Party,President,,Branford,15,Indian Neck School
Marianne Williamson,Democratic Party,President,,Branford,4,Mary T. Murphy School
Dean Phillips,Democratic Party,President,,Branford,0,Mary T. Murphy School
Cenk Uygur,Democratic Party,President,,Branford,2,Mary T. Murphy School
Joe Biden,Democratic Party,President,,Branford,82,Mary T. Murphy School
Uncommitted,Democratic Party,President,,Branford,11,Mary T. Murphy School
Marianne Williamson,Democratic Party,President,,Branford,1,Orchard House
Dean Phillips,Democratic Party,President,,Branford,1,Orchard House
Cenk Uygur,Democratic Party,President,,Branford,0,Orchard House
Joe Biden,Democratic Party,President,,Branford,98,Orchard House
Uncommitted,Democratic Party,President,,Branford,10,Orchard House
Marianne Williamson,Democratic Party,President,,Branford,3,St. Therese Church Hall
Dean Phillips,Democratic Party,President,,Branford,2,St. Therese Church Hall
Cenk Uygur,Democratic Party,President,,Branford,0,St. Therese Church Hall
Joe Biden,Democratic Party,President,,Branford,112,St. Therese Church Hall
Uncommitted,Democratic Party,President,,Branford,10,St. Therese Church Hall
Marianne Williamson,Democratic Party,President,,Branford,3,Walsh Intermediate School
Dean Phillips,Democratic Party,President,,Branford,0,Walsh Intermediate School
Cenk Uygur,Democratic Party,President,,Branford,0,Walsh Intermediate School
Joe Biden,Democratic Party,President,,Branford,69,Walsh Intermediate School
Uncommitted,Democratic Party,President,,Branford,10,Walsh Intermediate School
Marianne Williamson,Democratic Party,President,,Bridgeport,0,Barnum School
Dean Phillips,Democratic Party,President,,Bridgeport,1,Barnum School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Barnum School
Joe Biden,Democratic Party,President,,Bridgeport,24,Barnum School
Uncommitted,Democratic Party,President,,Bridgeport,2,Barnum School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Bassick High School
Marianne Williamson,Democratic Party,President,,Bridgeport,2,Bassick High School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Bassick High School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Bassick High School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Bassick High School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Bassick High School
Joe Biden,Democratic Party,President,,Bridgeport,7,Bassick High School
Joe Biden,Democratic Party,President,,Bridgeport,25,Bassick High School
Uncommitted,Democratic Party,President,,Bridgeport,0,Bassick High School
Uncommitted,Democratic Party,President,,Bridgeport,4,Bassick High School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Beardsley School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Beardsley School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Beardsley School
Joe Biden,Democratic Party,President,,Bridgeport,16,Beardsley School
Uncommitted,Democratic Party,President,,Bridgeport,3,Beardsley School
Marianne Williamson,Democratic Party,President,,Bridgeport,4,Black Rock School
Dean Phillips,Democratic Party,President,,Bridgeport,1,Black Rock School
Cenk Uygur,Democratic Party,President,,Bridgeport,1,Black Rock School
Joe Biden,Democratic Party,President,,Bridgeport,93,Black Rock School
Uncommitted,Democratic Party,President,,Bridgeport,22,Black Rock School
Marianne Williamson,Democratic Party,President,,Bridgeport,3,Blackham School
Marianne Williamson,Democratic Party,President,,Bridgeport,3,Blackham School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Blackham School
Dean Phillips,Democratic Party,President,,Bridgeport,4,Blackham School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Blackham School
Cenk Uygur,Democratic Party,President,,Bridgeport,1,Blackham School
Joe Biden,Democratic Party,President,,Bridgeport,55,Blackham School
Joe Biden,Democratic Party,President,,Bridgeport,76,Blackham School
Uncommitted,Democratic Party,President,,Bridgeport,11,Blackham School
Uncommitted,Democratic Party,President,,Bridgeport,13,Blackham School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Central High School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Central High School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Central High School
Dean Phillips,Democratic Party,President,,Bridgeport,1,Central High School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Central High School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Central High School
Joe Biden,Democratic Party,President,,Bridgeport,22,Central High School
Joe Biden,Democratic Party,President,,Bridgeport,52,Central High School
Uncommitted,Democratic Party,President,,Bridgeport,3,Central High School
Uncommitted,Democratic Party,President,,Bridgeport,5,Central High School
Marianne Williamson,Democratic Party,President,,Bridgeport,3,Cesar Batalla School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Cesar Batalla School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Cesar Batalla School
Joe Biden,Democratic Party,President,,Bridgeport,34,Cesar Batalla School
Uncommitted,Democratic Party,President,,Bridgeport,2,Cesar Batalla School
Marianne Williamson,Democratic Party,President,,Bridgeport,0,City Hall
Dean Phillips,Democratic Party,President,,Bridgeport,0,City Hall
Cenk Uygur,Democratic Party,President,,Bridgeport,0,City Hall
Joe Biden,Democratic Party,President,,Bridgeport,25,City Hall
Uncommitted,Democratic Party,President,,Bridgeport,4,City Hall
Marianne Williamson,Democratic Party,President,,Bridgeport,0,Dunbar School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Dunbar School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Dunbar School
Joe Biden,Democratic Party,President,,Bridgeport,53,Dunbar School
Uncommitted,Democratic Party,President,,Bridgeport,6,Dunbar School
Marianne Williamson,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Marianne Williamson,Democratic Party,President,,Bridgeport,4,Geraldine Claytor Magnet Acadamy
Dean Phillips,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Dean Phillips,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Joe Biden,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Joe Biden,Democratic Party,President,,Bridgeport,37,Geraldine Claytor Magnet Acadamy
Uncommitted,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Acadamy
Uncommitted,Democratic Party,President,,Bridgeport,8,Geraldine Claytor Magnet Acadamy
Marianne Williamson,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Academy
Dean Phillips,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Academy
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Academy
Joe Biden,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Academy
Uncommitted,Democratic Party,President,,Bridgeport,0,Geraldine Claytor Magnet Academy
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Geraldine Johnson School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Geraldine Johnson School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Geraldine Johnson School
Joe Biden,Democratic Party,President,,Bridgeport,23,Geraldine Johnson School
Uncommitted,Democratic Party,President,,Bridgeport,4,Geraldine Johnson School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Hallen School
Dean Phillips,Democratic Party,President,,Bridgeport,1,Hallen School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Hallen School
Joe Biden,Democratic Party,President,,Bridgeport,24,Hallen School
Uncommitted,Democratic Party,President,,Bridgeport,5,Hallen School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Harding High School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Harding High School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Harding High School
Joe Biden,Democratic Party,President,,Bridgeport,38,Harding High School
Uncommitted,Democratic Party,President,,Bridgeport,5,Harding High School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,John F Kennedy Campus
Dean Phillips,Democratic Party,President,,Bridgeport,0,John F Kennedy Campus
Cenk Uygur,Democratic Party,President,,Bridgeport,1,John F Kennedy Campus
Joe Biden,Democratic Party,President,,Bridgeport,72,John F Kennedy Campus
Uncommitted,Democratic Party,President,,Bridgeport,7,John F Kennedy Campus
Marianne Williamson,Democratic Party,President,,Bridgeport,7,John Winthrop School
Dean Phillips,Democratic Party,President,,Bridgeport,3,John Winthrop School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,John Winthrop School
Joe Biden,Democratic Party,President,,Bridgeport,120,John Winthrop School
Uncommitted,Democratic Party,President,,Bridgeport,9,John Winthrop School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Luis Munoz Marin School
Dean Phillips,Democratic Party,President,,Bridgeport,1,Luis Munoz Marin School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Luis Munoz Marin School
Joe Biden,Democratic Party,President,,Bridgeport,26,Luis Munoz Marin School
Uncommitted,Democratic Party,President,,Bridgeport,4,Luis Munoz Marin School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Park City Magnet School
Dean Phillips,Democratic Party,President,,Bridgeport,3,Park City Magnet School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Park City Magnet School
Joe Biden,Democratic Party,President,,Bridgeport,44,Park City Magnet School
Uncommitted,Democratic Party,President,,Bridgeport,0,Park City Magnet School
Marianne Williamson,Democratic Party,President,,Bridgeport,0,Read Middle School
Marianne Williamson,Democratic Party,President,,Bridgeport,0,Read Middle School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Read Middle School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Read Middle School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Read Middle School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Read Middle School
Joe Biden,Democratic Party,President,,Bridgeport,8,Read Middle School
Joe Biden,Democratic Party,President,,Bridgeport,16,Read Middle School
Uncommitted,Democratic Party,President,,Bridgeport,1,Read Middle School
Uncommitted,Democratic Party,President,,Bridgeport,5,Read Middle School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Thomas Hooker School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Thomas Hooker School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Thomas Hooker School
Joe Biden,Democratic Party,President,,Bridgeport,41,Thomas Hooker School
Uncommitted,Democratic Party,President,,Bridgeport,12,Thomas Hooker School
Marianne Williamson,Democratic Party,President,,Bridgeport,1,Wilbur Cross School
Dean Phillips,Democratic Party,President,,Bridgeport,0,Wilbur Cross School
Cenk Uygur,Democratic Party,President,,Bridgeport,0,Wilbur Cross School
Joe Biden,Democratic Party,President,,Bridgeport,84,Wilbur Cross School
Uncommitted,Democratic Party,President,,Bridgeport,5,Wilbur Cross School
Marianne Williamson,Democratic Party,President,,Bridgewater,2,Hilltop Center
Dean Phillips,Democratic Party,President,,Bridgewater,3,Hilltop Center
Cenk Uygur,Democratic Party,President,,Bridgewater,0,Hilltop Center
Joe Biden,Democratic Party,President,,Bridgewater,79,Hilltop Center
Uncommitted,Democratic Party,President,,Bridgewater,2,Hilltop Center
Marianne Williamson,Democratic Party,President,,Bristol,3,Bristol Arts and Innovation Magnet School
Dean Phillips,Democratic Party,President,,Bristol,2,Bristol Arts and Innovation Magnet School
Cenk Uygur,Democratic Party,President,,Bristol,2,Bristol Arts and Innovation Magnet School
Joe Biden,Democratic Party,President,,Bristol,78,Bristol Arts and Innovation Magnet School
Uncommitted,Democratic Party,President,,Bristol,11,Bristol Arts and Innovation Magnet School
Marianne Williamson,Democratic Party,President,,Bristol,7,Bristol Eastern High School
Dean Phillips,Democratic Party,President,,Bristol,1,Bristol Eastern High School
Cenk Uygur,Democratic Party,President,,Bristol,0,Bristol Eastern High School
Joe Biden,Democratic Party,President,,Bristol,51,Bristol Eastern High School
Uncommitted,Democratic Party,President,,Bristol,3,Bristol Eastern High School
Marianne Williamson,Democratic Party,President,,Bristol,4,Chippens Hill Middle School
Dean Phillips,Democratic Party,President,,Bristol,0,Chippens Hill Middle School
Cenk Uygur,Democratic Party,President,,Bristol,0,Chippens Hill Middle School
Joe Biden,Democratic Party,President,,Bristol,40,Chippens Hill Middle School
Uncommitted,Democratic Party,President,,Bristol,4,Chippens Hill Middle School
Marianne Williamson,Democratic Party,President,,Bristol,1,Edgewood School
Dean Phillips,Democratic Party,President,,Bristol,2,Edgewood School
Cenk Uygur,Democratic Party,President,,Bristol,0,Edgewood School
Joe Biden,Democratic Party,President,,Bristol,70,Edgewood School
Uncommitted,Democratic Party,President,,Bristol,9,Edgewood School
Marianne Williamson,Democratic Party,President,,Bristol,7,Greene-Hills School
Dean Phillips,Democratic Party,President,,Bristol,4,Greene-Hills School
Cenk Uygur,Democratic Party,President,,Bristol,0,Greene-Hills School
Joe Biden,Democratic Party,President,,Bristol,59,Greene-Hills School
Uncommitted,Democratic Party,President,,Bristol,13,Greene-Hills School
Marianne Williamson,Democratic Party,President,,Bristol,4,Mountain View School
Dean Phillips,Democratic Party,President,,Bristol,0,Mountain View School
Cenk Uygur,Democratic Party,President,,Bristol,0,Mountain View School
Joe Biden,Democratic Party,President,,Bristol,92,Mountain View School
Uncommitted,Democratic Party,President,,Bristol,11,Mountain View School
Marianne Williamson,Democratic Party,President,,Bristol,3,Northeast School
Dean Phillips,Democratic Party,President,,Bristol,3,Northeast School
Cenk Uygur,Democratic Party,President,,Bristol,1,Northeast School
Joe Biden,Democratic Party,President,,Bristol,88,Northeast School
Uncommitted,Democratic Party,President,,Bristol,17,Northeast School
Marianne Williamson,Democratic Party,President,,Bristol,1,Southside School
Dean Phillips,Democratic Party,President,,Bristol,1,Southside School
Cenk Uygur,Democratic Party,President,,Bristol,1,Southside School
Joe Biden,Democratic Party,President,,Bristol,56,Southside School
Uncommitted,Democratic Party,President,,Bristol,15,Southside School
Marianne Williamson,Democratic Party,President,,Bristol,0,West Bristol School
Dean Phillips,Democratic Party,President,,Bristol,1,West Bristol School
