county,town,office,district,party,candidate,votes
Tolland,Andover,President,,Rep,John McCain,745
Tolland,Andover,President,,Dem,Barack Obama,1090
Tolland,Andover,President,,Ind,Ralph Nader,31
Tolland,Andover,President,,write-in,Chuck Baldwin,0
Tolland,Andover,President,,write-in,Roger Calero,0
Tolland,Andover,President,,write-in,Cynthia McKinney,0
Tolland,Andover,President,,write-in,Stewart Moore,0
Tolland,Andover,US House,2,Rep,Sean Sullivan,563
Tolland,Andover,US House,2,Dem,Joe Courtney,1030
Tolland,Andover,US House,2,Green,Scott Deshefy,38
Tolland,Andover,US House,2,WF,Joe Courtney,93
Tolland,Andover,US House,2,write-in,Todd Vachon,0
Tolland,Andover,State Senate,19,Dem,Edith G. Prague,1177
Tolland,Andover,State Senate,19,WF,Edith G. Prague,139
Tolland,Andover,State House,55,Rep,Pamela Z. Sawyer,1339
New Haven,Ansonia,President,,Rep,John McCain,2918
New Haven,Ansonia,President,,Dem,Barack Obama,4616
New Haven,Ansonia,President,,Ind,Ralph Nader,124
New Haven,Ansonia,President,,write-in,Chuck Baldwin,0
New Haven,Ansonia,President,,write-in,Roger Calero,0
New Haven,Ansonia,President,,write-in,Cynthia McKinney,0
New Haven,Ansonia,President,,write-in,Stewart Moore,0
New Haven,Ansonia,US House,3,Rep,Bo Itshaky,1256
New Haven,Ansonia,US House,3,Dem,Rosa DeLauro,5077
New Haven,Ansonia,US House,3,Green,Ralph Ferrucci,153
New Haven,Ansonia,US House,3,WF,Rosa DeLauro,470
New Haven,Ansonia,State Senate,17,Rep,Tamath K. Rossi,1950
New Haven,Ansonia,State Senate,17,Dem,Joe Crisco,4457
New Haven,Ansonia,State Senate,17,WF,Joe Crisco,345
New Haven,Ansonia Part,State House,104,Dem,Linda M. Gentile,4984
New Haven,Ansonia Part,State House,104,PC,Mary E. Porter,695
New Haven,Ansonia Part,State House,105,Rep,Brian F. Koskelowski,207
New Haven,Ansonia Part,State House,105,Dem,Theresa W. Conroy,416
Windham,Ashford,President,,Rep,John McCain,837
Windham,Ashford,President,,Dem,Barack Obama,1422
Windham,Ashford,President,,Ind,Ralph Nader,57
Windham,Ashford,President,,write-in,Chuck Baldwin,1
Windham,Ashford,President,,write-in,Roger Calero,0
Windham,Ashford,President,,write-in,Cynthia McKinney,0
Windham,Ashford,President,,write-in,Stewart Moore,0
Windham,Ashford,US House,2,Rep,Sean Sullivan,660
