county,town,office,district,party,candidate,votes
Tolland,Andover,Governor,,Rep,Jodi Rell,924
Tolland,Andover,Governor,,Dem,John DeStefano,510
Tolland,Andover,Governor,,CC,Joseph Zdonczyk,10
Tolland,Andover,Governor,,Green,Clifford Thornton,15
Tolland,Andover,Secretary of State,,Rep,Richard Abbate,271
Tolland,Andover,Secretary of State,,Dem,Susan Bysiewicz,1071
Tolland,Andover,Secretary of State,,Lbt,Ken Mosher,33
Tolland,Andover,Secretary of State,,CC,Jean Marie Burness,15
Tolland,Andover,Secretary of State,,Green,Michael Derosa,25
Tolland,Andover,Treasurer,,Rep,Linda Roberts,380
Tolland,Andover,Treasurer,,Dem,Denise Nappier,925
Tolland,Andover,Treasurer,,Lbt,Steven Edelman,25
Tolland,Andover,Treasurer,,CC,Mimi Knibbs,16
Tolland,Andover,Treasurer,,Green,David Bue,16
Tolland,Andover,Attorney General,,Rep,Robert Farr,323
Tolland,Andover,US Senate,,Rep,Alan Schlesinger,170
Tolland,Andover,Attorney General,,Dem,Richard Blumenthal,1060
Tolland,Andover,US Senate,,Dem,Ned Lamont,632
Tolland,Andover,Attorney General,,Green,Nancy Burton,26
Tolland,Andover,US Senate,,CC,Timothy Knibbs,10
Tolland,Andover,US Senate,,Green,Ralph Ferrucci,9
Tolland,Andover,US Senate,,CFL,Joe Lieberman,645
Tolland,Andover,US House 2,,Rep,Rob Simmons,700
Tolland,Andover,US House 2,,Dem,Joe Courtney,719
Tolland,Andover,State Senate,19,Rep,Matthew Daly,514
Tolland,Andover,State Senate,19,Dem,Edith G. Prague,881
Tolland,Andover,State House,55,Rep,Pamela Z. Sawyer,967
Tolland,Andover,State House,55,Dem,Mark Stuart,454
Tolland,Andover,State House,55,WF,Mark Stuart,13
New Haven,Ansonia,Governor,,Rep,Jodi Rell,3441
New Haven,Ansonia,Governor,,Dem,John DeStefano,1766
New Haven,Ansonia,Governor,,CC,Joseph Zdonczyk,25
New Haven,Ansonia,Governor,,Green,Clifford Thornton,26
New Haven,Ansonia,Secretary of State,,Rep,Richard Abbate,1055
New Haven,Ansonia,Secretary of State,,Dem,Susan Bysiewicz,3361
New Haven,Ansonia,Secretary of State,,Lbt,Ken Mosher,49
New Haven,Ansonia,Secretary of State,,CC,Jean Marie Burness,44
New Haven,Ansonia,Secretary of State,,Green,Michael Derosa,96
New Haven,Ansonia,Treasurer,,Rep,Linda Roberts,1285
New Haven,Ansonia,Treasurer,,Dem,Denise Nappier,3141
New Haven,Ansonia,Treasurer,,Lbt,Steven Edelman,90
New Haven,Ansonia,Treasurer,,CC,Mimi Knibbs,49
New Haven,Ansonia,Treasurer,,Green,David Bue,53
New Haven,Ansonia,Attorney General,,Rep,Robert Farr,864
New Haven,Ansonia,US Senate,,Rep,Alan Schlesinger,658
New Haven,Ansonia,Attorney General,,Dem,Richard Blumenthal,3760
New Haven,Ansonia,US Senate,,Dem,Ned Lamont,1729
New Haven,Ansonia,Attorney General,,Green,Nancy Burton,53
New Haven,Ansonia,US Senate,,CC,Timothy Knibbs,20
New Haven,Ansonia,US Senate,,Green,Ralph Ferrucci,29
New Haven,Ansonia,US Senate,,CFL,Joe Lieberman,2811
New Haven,Ansonia,US House 3,,Rep,Joseph Vollano,979
New Haven,Ansonia,US House 3,,Dem,Rosa DeLauro,3696
New Haven,Ansonia,US House 3,,Green,Daniel Sumrall,40
New Haven,Ansonia,State Senate,17,Rep,Boaz Itshaky,936
New Haven,Ansonia,State Senate,17,Dem,Joe Crisco,3335
