candidate,party,office,district,town,votes,precinct
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,454,Bendheim Western Greenwich Civic Center
Ryan Fazio,Republican Party,State Senate,36,Greenwich,504,Bendheim Western Greenwich Civic Center
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,36,Bendheim Western Greenwich Civic Center
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,375,Central Middle School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,689,Central Middle School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,710,Central Middle School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,522,Central Middle School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,34,Central Middle School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,24,Central Middle School
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,223,Cloonan Middle School -Side
Ryan Fazio,Republican Party,State Senate,36,Stamford,108,Cloonan Middle School -Side
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,9,Cloonan Middle School -Side
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,448,Davenport Ridge School
Ryan Fazio,Republican Party,State Senate,36,Stamford,417,Davenport Ridge School
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,12,Davenport Ridge School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,308,Glenville School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,Glenville School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,527,Glenville School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,Glenville School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,28,Glenville School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,Glenville School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,Greenwich High School 7a
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,Greenwich High School 7a
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,Greenwich High School 7a
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,310,Greenwich Town Hall
Ryan Fazio,Republican Party,State Senate,36,Greenwich,401,Greenwich Town Hall
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,32,Greenwich Town Hall
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,437,Julian Curtiss School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,370,Julian Curtiss School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,41,Julian Curtiss School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,Julian Curtiss School 1a
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,Julian Curtiss School 1a
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,Julian Curtiss School 1a
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,318,Long Ridge Fire Dept
Ryan Fazio,Republican Party,State Senate,36,Stamford,186,Long Ridge Fire Dept
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,6,Long Ridge Fire Dept
Alexis Gevanter,Democratic Party,State Senate,36,New Canaan,746,New Canaan High School Gym
Ryan Fazio,Republican Party,State Senate,36,New Canaan,1116,New Canaan High School Gym
John H. Blankley,Petitioning Candidate,State Senate,36,New Canaan,17,New Canaan High School Gym
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,304,New Lebanon School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,299,New Lebanon School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,24,New Lebanon School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,New Lebanon School 4a
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,New Lebanon School 4a
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,New Lebanon School 4a
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,611,North Mianus School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,706,North Mianus School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,21,North Mianus School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,402,North Street School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,667,North Street School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,25,North Street School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,North Street School 11a
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,North Street School 11a
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,North Street School 11a
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,662,Old Greenwich School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,541,Old Greenwich School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,21,Old Greenwich School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,Old Greenwich School 6a
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,Old Greenwich School 6a
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,Old Greenwich School 6a
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,525,Riverside School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,605,Riverside School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,18,Riverside School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,0,Riverside School 5a
Ryan Fazio,Republican Party,State Senate,36,Greenwich,0,Riverside School 5a
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,0,Riverside School 5a
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,554,Roxbury School
Ryan Fazio,Republican Party,State Senate,36,Stamford,501,Roxbury School
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,24,Roxbury School
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,681,Scofield Middle School
Ryan Fazio,Republican Party,State Senate,36,Stamford,438,Scofield Middle School
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,21,Scofield Middle School
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,208,Stillmeadow School
Alexis Gevanter,Democratic Party,State Senate,36,Stamford,30,Stillmeadow School
Ryan Fazio,Republican Party,State Senate,36,Stamford,120,Stillmeadow School
Ryan Fazio,Republican Party,State Senate,36,Stamford,15,Stillmeadow School
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,6,Stillmeadow School
John H. Blankley,Petitioning Candidate,State Senate,36,Stamford,0,Stillmeadow School
Alexis Gevanter,Democratic Party,State Senate,36,Greenwich,175,Western Middle School
Ryan Fazio,Republican Party,State Senate,36,Greenwich,160,Western Middle School
John H. Blankley,Petitioning Candidate,State Senate,36,Greenwich,9,Western Middle School
