county,town,office,district,party,candidate,votes
New.Haven,Ansonia,US House,3,Green,Charles Pillsbury,71
New.Haven,Ansonia,State Senate,17,Dem,Joe Crisco,3313
New.Haven,"Ansonia, part of",State House,104,Dem,Vincent J. Tonucci,3037
New.Haven,"Ansonia, part of",State House,105,Dem,"John J. Harkins, Jr.",195
New.Haven,"Ansonia, part of",State House,104,Rep,Brad R. Tobin,1141
New.Haven,"Ansonia, part of",State House,105,Rep,Len Greene,67
Windham,Ashford,Governor,,Rep,John Rowland,665
Windham,Ashford,Governor,,Dem,Bill Curry,865
Windham,Ashford,Secretary of State,,Rep,Ronald San Angelo,366
Windham,Ashford,Secretary of State,,Dem,Susan Bysiewcz,1074
Windham,Ashford,Secretary of State,,Lbt,Darlene Nicholas,25
Windham,Ashford,Treasurer,,Rep,Ross Garber,528
Windham,Ashford,Treasurer,,Dem,Denise Nappier,877
Windham,Ashford,Treasurer,,CC,Timothy Knibbs,20
Windham,Ashford,Treasurer,,Lbt,Ken Mosher,26
Windham,Ashford,Comptroller,,Rep,Steven Mullins,374
Windham,Ashford,Comptroller,,Dem,Nancy Wyman,1088
Windham,Ashford,Comptroller,,Lbt,Leonard Rasch,24
Windham,Ashford,Attorney General,,Rep,Martha Dean,442
Windham,Ashford,Attorney General,,Dem,Richard Blumenthal,1028
Windham,Ashford,US House,2,Rep,Rob Simmons,686
Windham,Ashford,US House,2,Dem,Joe Courtney,832
Windham,Ashford,State Senate,35,Rep,Tony Guglielmo,901
Windham,Ashford,State Senate,35,Dem,Patrick J. Flaherty,606
Windham,Ashford,State House,53,Dem,Michael J. Cardin,1004
Windham,Ashford,State House,53,WF,Patrick John Mullen,56
Hartford,Avon,Governor,,Rep,John Rowland,4816
Hartford,Avon,Governor,,Dem,Bill Curry,2446
Hartford,Avon,Secretary of State,,Rep,Ronald San Angelo,2833
Hartford,Avon,Secretary of State,,Dem,Susan Bysiewcz,4160
Hartford,Avon,Secretary of State,,Lbt,Darlene Nicholas,64
Hartford,Avon,Treasurer,,Rep,Ross Garber,3563
Hartford,Avon,Treasurer,,Dem,Denise Nappier,3317
Hartford,Avon,Treasurer,,CC,Timothy Knibbs,60
Hartford,Avon,Treasurer,,Lbt,Ken Mosher,63
Hartford,Avon,Comptroller,,Rep,Steven Mullins,3127
Hartford,Avon,Comptroller,,Dem,Nancy Wyman,3716
Hartford,Avon,Comptroller,,Lbt,Leonard Rasch,65
Hartford,Avon,Attorney General,,Rep,Martha Dean,3772
Hartford,Avon,Attorney General,,Dem,Richard Blumenthal,3375
Hartford,Avon,US House,5,Rep,Nancy Johnson,4743
Hartford,Avon,US House,5,Dem,Jim Maloney,2390
Hartford,Avon,US House,5,CC,Joseph Zdonczyk,55
Hartford,Avon,US House,5,Lbt,Walter Gengarelly,46
Hartford,Avon,State Senate,8,Rep,Thomas J. Herlihy,4470
Hartford,Avon,State Senate,8,Dem,Kelvin Hecht,2338
Hartford,Avon,State Senate,8,Green,Thomas J. Sevigny,167
Hartford,"Avon, part of",State House,17,Dem,Jessie Stratton,3047
Hartford,"Avon, part of",State House,19,Dem,Jack S. Opinsky,419
Hartford,"Avon, part of",State House,17,Rep,Kevin Witkos,2845
Hartford,"Avon, part of",State House,19,Rep,Robert Farr,801
Litchfield,Barkhamsted,Governor,,Rep,John Rowland,880
Litchfield,Barkhamsted,Governor,,Dem,Bill Curry,572
Litchfield,Barkhamsted,Secretary of State,,Rep,Ronald San Angelo,503
Litchfield,Barkhamsted,Secretary of State,,Dem,Susan Bysiewcz,847
Litchfield,Barkhamsted,Secretary of State,,Lbt,Darlene Nicholas,12
Litchfield,Barkhamsted,Treasurer,,Rep,Ross Garber,651
Litchfield,Barkhamsted,Treasurer,,Dem,Denise Nappier,673
Litchfield,Barkhamsted,Treasurer,,CC,Timothy Knibbs,13
Litchfield,Barkhamsted,Treasurer,,Lbt,Ken Mosher,13
Litchfield,Barkhamsted,Comptroller,,Rep,Steven Mullins,544
Litchfield,Barkhamsted,Comptroller,,Dem,Nancy Wyman,753
Litchfield,Barkhamsted,Comptroller,,Lbt,Leonard Rasch,16
Litchfield,Barkhamsted,Attorney General,,Rep,Martha Dean,587
Litchfield,Barkhamsted,Attorney General,,Dem,Richard Blumenthal,780
Litchfield,Barkhamsted,US House,1,Rep,Phil Steele,663
Litchfield,Barkhamsted,US House,1,Dem,John Larson,690
Litchfield,Barkhamsted,State Senate,8,Rep,Thomas J. Herlihy,819
Litchfield,Barkhamsted,State Senate,8,Dem,Kelvin Hecht,452
Litchfield,Barkhamsted,State Senate,8,Green,Thomas J. Sevigny,60
Litchfield,"Barkhamsted, part of",State House,63,Dem,George M. Wilber,431
Litchfield,"Barkhamsted, part of",State House,62,Rep,Richard F. Ferrari,297
Litchfield,"Barkhamsted, part of",State House,63,Rep,David A. Cappabianca,495
Litchfield,"Barkhamsted, part of",State House,62,WF,Paul J. Nyerick,18
Litchfield,"Barkhamsted, part of",State House,63,WF,Cynthia E. Vines,14
New.Haven,Beacon Falls,Governor,,Rep,John Rowland,1460
New.Haven,Beacon Falls,Governor,,Dem,Bill Curry,685
New.Haven,Beacon Falls,Secretary of State,,Rep,Ronald San Angelo,863
New.Haven,Beacon Falls,Secretary of State,,Dem,Susan Bysiewcz,1100
New.Haven,Beacon Falls,Secretary of State,,Lbt,Darlene Nicholas,38
New.Haven,Beacon Falls,Treasurer,,Rep,Ross Garber,900
New.Haven,Beacon Falls,Treasurer,,Dem,Denise Nappier,944
New.Haven,Beacon Falls,Treasurer,,CC,Timothy Knibbs,46
New.Haven,Beacon Falls,Treasurer,,Lbt,Ken Mosher,29
New.Haven,Beacon Falls,Comptroller,,Rep,Steven Mullins,809
New.Haven,Beacon Falls,Comptroller,,Dem,Nancy Wyman,1054
New.Haven,Beacon Falls,Comptroller,,Lbt,Leonard Rasch,37
New.Haven,Beacon Falls,Attorney General,,Rep,Martha Dean,716
New.Haven,Beacon Falls,Attorney General,,Dem,Richard Blumenthal,1253
New.Haven,Beacon Falls,US House,3,Rep,Richard Elser,761
New.Haven,Beacon Falls,US House,3,Dem,Rosa DeLauro,1163
New.Haven,Beacon Falls,US House,3,Green,Charles Pillsbury,77
New.Haven,Beacon Falls,State Senate,17,Dem,Joe Crisco,1210
New.Haven,Beacon Falls,State House,105,Dem,"John J. Harkins, Jr.",527
New.Haven,Beacon Falls,State House,105,Rep,Len Greene,1506
Hartford,Berlin,Governor,,Rep,John Rowland,4423
Hartford,Berlin,Governor,,Dem,Bill Curry,3057
Hartford,Berlin,Secretary of State,,Rep,Ronald San Angelo,1983
Hartford,Berlin,Secretary of State,,Dem,Susan Bysiewcz,4815
Hartford,Berlin,Secretary of State,,Lbt,Darlene Nicholas,69
Hartford,Berlin,Treasurer,,Rep,Ross Garber,2730
Hartford,Berlin,Treasurer,,Dem,Denise Nappier,3859
Hartford,Berlin,Treasurer,,CC,Timothy Knibbs,50
Hartford,Berlin,Treasurer,,Lbt,Ken Mosher,100
Hartford,Berlin,Comptroller,,Rep,Steven Mullins,2189
Hartford,Berlin,Comptroller,,Dem,Nancy Wyman,4353
Hartford,Berlin,Comptroller,,Lbt,Leonard Rasch,62
Hartford,Berlin,Attorney General,,Rep,Martha Dean,2382
Hartford,Berlin,Attorney General,,Dem,Richard Blumenthal,4530
Hartford,Berlin,US House,1,Rep,Phil Steele,2661
Hartford,Berlin,US House,1,Dem,John Larson,4117
Hartford,Berlin,State Senate,6,Rep,Thomas A. Bozek,3808
Hartford,Berlin,State Senate,6,Dem,Donald J. DeFronzo,3338
Hartford,"Berlin, part of",State House,30,Dem,Fred Jortner,2298
Hartford,"Berlin, part of",State House,83,Dem,Jim Abrams,1360
Hartford,"Berlin, part of",State House,30,Rep,Bob Peters,2065
Hartford,"Berlin, part of",State House,83,Rep,Tom Estabrook,1054
Hartford,"Berlin, part of",State House,30,WF,Lindsey D. Ellis,29
New.Haven,Bethany,Governor,,Rep,John Rowland,1306
New.Haven,Bethany,Governor,,Dem,Bill Curry,897
New.Haven,Bethany,Secretary of State,,Rep,Ronald San Angelo,795
New.Haven,Bethany,Secretary of State,,Dem,Susan Bysiewcz,1220
New.Haven,Bethany,Secretary of State,,Lbt,Darlene Nicholas,35
New.Haven,Bethany,Treasurer,,Rep,Ross Garber,878
New.Haven,Bethany,Treasurer,,Dem,Denise Nappier,1108
New.Haven,Bethany,Treasurer,,CC,Timothy Knibbs,28
New.Haven,Bethany,Treasurer,,Lbt,Ken Mosher,31
New.Haven,Bethany,Comptroller,,Rep,Steven Mullins,799
New.Haven,Bethany,Comptroller,,Dem,Nancy Wyman,1153
New.Haven,Bethany,Comptroller,,Lbt,Leonard Rasch,33
New.Haven,Bethany,Attorney General,,Rep,Martha Dean,778
New.Haven,Bethany,Attorney General,,Dem,Richard Blumenthal,1319
New.Haven,Bethany,US House,3,Rep,Richard Elser,767
New.Haven,Bethany,US House,3,Dem,Rosa DeLauro,1187
New.Haven,Bethany,US House,3,Green,Charles Pillsbury,161
New.Haven,Bethany,State Senate,17,Dem,Joe Crisco,1438
New.Haven,Bethany,State House,89,Dem,Vicki Orsini Nardello,1407
Fairfield,Bethel,Governor,,Rep,John Rowland,3680
Fairfield,Bethel,Governor,,Dem,Bill Curry,2053
Fairfield,Bethel,Secretary of State,,Rep,Ronald San Angelo,2325
Fairfield,Bethel,Secretary of State,,Dem,Susan Bysiewcz,2828
Fairfield,Bethel,Secretary of State,,Lbt,Darlene Nicholas,93
Fairfield,Bethel,Treasurer,,Rep,Ross Garber,2528
Fairfield,Bethel,Treasurer,,Dem,Denise Nappier,2478
Fairfield,Bethel,Treasurer,,CC,Timothy Knibbs,96
Fairfield,Bethel,Treasurer,,Lbt,Ken Mosher,79
Fairfield,Bethel,Comptroller,,Rep,Steven Mullins,2381
Fairfield,Bethel,Comptroller,,Dem,Nancy Wyman,2697
Fairfield,Bethel,Comptroller,,Lbt,Leonard Rasch,74
Fairfield,Bethel,Attorney General,,Rep,Martha Dean,2155
Fairfield,Bethel,Attorney General,,Dem,Richard Blumenthal,3167
Fairfield,Bethel,US House,5,Rep,Nancy Johnson,2990
Fairfield,Bethel,US House,5,Dem,Jim Maloney,2598
Fairfield,Bethel,US House,5,CC,Joseph Zdonczyk,74
Fairfield,Bethel,US House,5,Lbt,Walter Gengarelly,49
Fairfield,"Bethel, part of",State Senate,24,Rep,David J. Cappiello,1365
Fairfield,"Bethel, part of",State Senate,26,Rep,Judith G. Freedman,2116
Fairfield,"Bethel, part of",State House,2,Dem,Jason W. Bartlett,1607
Fairfield,"Bethel, part of",State House,2,Ind,Robert Fand,146
Fairfield,"Bethel, part of",State House,107,Rep,David A. Scribner,1419
Fairfield,"Bethel, part of",State House,2,Rep,Hank Bielawa,1704
Litchfield,Bethlehem,Governor,,Rep,John Rowland,1195
Litchfield,Bethlehem,Governor,,Dem,Bill Curry,455
Litchfield,Bethlehem,Secretary of State,,Rep,Ronald San Angelo,767
Litchfield,Bethlehem,Secretary of State,,Dem,Susan Bysiewcz,734
Litchfield,Bethlehem,Secretary of State,,Lbt,Darlene Nicholas,31
Litchfield,Bethlehem,Treasurer,,Rep,Ross Garber,803
Litchfield,Bethlehem,Treasurer,,Dem,Denise Nappier,642
Litchfield,Bethlehem,Treasurer,,CC,Timothy Knibbs,26
Litchfield,Bethlehem,Treasurer,,Lbt,Ken Mosher,26
Litchfield,Bethlehem,Comptroller,,Rep,Steven Mullins,717
Litchfield,Bethlehem,Comptroller,,Dem,Nancy Wyman,742
Litchfield,Bethlehem,Comptroller,,Lbt,Leonard Rasch,20
Litchfield,Bethlehem,Attorney General,,Rep,Martha Dean,723
Litchfield,Bethlehem,Attorney General,,Dem,Richard Blumenthal,815
Litchfield,Bethlehem,US House,5,Rep,Nancy Johnson,973
Litchfield,Bethlehem,US House,5,Dem,Jim Maloney,576
Litchfield,Bethlehem,US House,5,CC,Joseph Zdonczyk,39
Litchfield,Bethlehem,US House,5,Lbt,Walter Gengarelly,23
Litchfield,Bethlehem,State Senate,32,Rep,Louis C. DeLuca,1043
Litchfield,Bethlehem,State Senate,32,Dem,Patricia L. Reilly,496
Litchfield,Bethlehem,State House,66,Rep,Craig Miner,1062
Litchfield,Bethlehem,State House,66,WF,Dennis B. O'Neil,106
Hartford,Bloomfield,Governor,,Rep,John Rowland,2397
Hartford,Bloomfield,Governor,,Dem,Bill Curry,4839
Hartford,Bloomfield,Secretary of State,,Rep,Ronald San Angelo,1095
Hartford,Bloomfield,Secretary of State,,Dem,Susan Bysiewcz,5603
Hartford,Bloomfield,Secretary of State,,Lbt,Darlene Nicholas,65
Hartford,Bloomfield,Treasurer,,Rep,Ross Garber,1448
Hartford,Bloomfield,Treasurer,,Dem,Denise Nappier,5457
Hartford,Bloomfield,Treasurer,,CC,Timothy Knibbs,43
Hartford,Bloomfield,Treasurer,,Lbt,Ken Mosher,47
Hartford,Bloomfield,Comptroller,,Rep,Steven Mullins,1176
Hartford,Bloomfield,Comptroller,,Dem,Nancy Wyman,5489
Hartford,Bloomfield,Comptroller,,Lbt,Leonard Rasch,46
Hartford,Bloomfield,Attorney General,,Rep,Martha Dean,1380
Hartford,Bloomfield,Attorney General,,Dem,Richard Blumenthal,5502
Hartford,Bloomfield,US House,1,Rep,Phil Steele,1394
Hartford,Bloomfield,US House,1,Dem,John Larson,5444
Hartford,"Bloomfield, part of",State Senate,2,Rep,Joseph Q. Fleeting,949
Hartford,"Bloomfield, part of",State Senate,2,Dem,Eric D. Coleman,3855
Hartford,"Bloomfield, part of",State Senate,5,Rep,Douglas T. Putnam,597
Hartford,"Bloomfield, part of",State Senate,5,Dem,Kevin B. Sullivan,1349
Hartford,"Bloomfield, part of",State Senate,5,WF,Abraham J. Walker,24
Hartford,"Bloomfield, part of",State House,1,Dem,Kenneth P. Green,1875
Hartford,"Bloomfield, part of",State House,15,Dem,Faith McMahon,3572
Hartford,"Bloomfield, part of",State House,15,Rep,Ronald C. Eleveld,1160
Tolland,Bolton,Governor,,Rep,John Rowland,1318
Tolland,Bolton,Governor,,Dem,Bill Curry,855
Tolland,Bolton,Secretary of State,,Rep,Ronald San Angelo,701
Tolland,Bolton,Secretary of State,,Dem,Susan Bysiewcz,1340
Tolland,Bolton,Secretary of State,,Lbt,Darlene Nicholas,24
Tolland,Bolton,Treasurer,,Rep,Ross Garber,1014
Tolland,Bolton,Treasurer,,Dem,Denise Nappier,995
Tolland,Bolton,Treasurer,,CC,Timothy Knibbs,23
Tolland,Bolton,Treasurer,,Lbt,Ken Mosher,22
Tolland,Bolton,Comptroller,,Rep,Steven Mullins,783
Tolland,Bolton,Comptroller,,Dem,Nancy Wyman,1226
Tolland,Bolton,Comptroller,,Lbt,Leonard Rasch,20
Tolland,Bolton,Attorney General,,Rep,Martha Dean,823
Tolland,Bolton,Attorney General,,Dem,Richard Blumenthal,1266
Tolland,Bolton,US House,2,Rep,Rob Simmons,1190
Tolland,Bolton,US House,2,Dem,Joe Courtney,911
Tolland,Bolton,State Senate,4,Rep,David Odegard,812
Tolland,Bolton,State Senate,4,Dem,Mary Ann Handley,1245
Tolland,Bolton,State House,55,Rep,Pamela Z. Sawyer,1598
New London,Bozrah,Governor,,Rep,John Rowland,528
New London,Bozrah,Governor,,Dem,Bill Curry,511
New London,Bozrah,Secretary of State,,Rep,Ronald San Angelo,283
New London,Bozrah,Secretary of State,,Dem,Susan Bysiewcz,684
New London,Bozrah,Secretary of State,,Lbt,Darlene Nicholas,20
New London,Bozrah,Treasurer,,Rep,Ross Garber,367
New London,Bozrah,Treasurer,,Dem,Denise Nappier,554
New London,Bozrah,Treasurer,,CC,Timothy Knibbs,20
New London,Bozrah,Treasurer,,Lbt,Ken Mosher,21
New London,Bozrah,Comptroller,,Rep,Steven Mullins,291
New London,Bozrah,Comptroller,,Dem,Nancy Wyman,654
New London,Bozrah,Comptroller,,Lbt,Leonard Rasch,18
New London,Bozrah,Attorney General,,Rep,Martha Dean,309
New London,Bozrah,Attorney General,,Dem,Richard Blumenthal,686
New London,Bozrah,US House,2,Rep,Rob Simmons,576
New London,Bozrah,US House,2,Dem,Joe Courtney,448
New London,Bozrah,State Senate,19,Rep,Peter A. Nystrom,490
New London,Bozrah,State Senate,19,Dem,Edith G. Prague,546
New London,Bozrah,State House,139,Dem,Kevin Ryan,501
New London,Bozrah,State House,139,Rep,Michael J. O'Connor,510
New.Haven,Branford,Governor,,Rep,John Rowland,4953
New.Haven,Branford,Governor,,Dem,Bill Curry,4767
New.Haven,Branford,Secretary of State,,Rep,Ronald San Angelo,2673
New.Haven,Branford,Secretary of State,,Dem,Susan Bysiewcz,5842
New.Haven,Branford,Secretary of State,,Lbt,Darlene Nicholas,102
New.Haven,Branford,Treasurer,,Rep,Ross Garber,3371
New.Haven,Branford,Treasurer,,Dem,Denise Nappier,5363
New.Haven,Branford,Treasurer,,CC,Timothy Knibbs,72
New.Haven,Branford,Treasurer,,Lbt,Ken Mosher,96
New.Haven,Branford,Comptroller,,Rep,Steven Mullins,2909
New.Haven,Branford,Comptroller,,Dem,Nancy Wyman,5775
New.Haven,Branford,Comptroller,,Lbt,Leonard Rasch,109
New.Haven,Branford,Attorney General,,Rep,Martha Dean,2600
New.Haven,Branford,Attorney General,,Dem,Richard Blumenthal,6649
New.Haven,Branford,US House,3,Rep,Richard Elser,2705
New.Haven,Branford,US House,3,Dem,Rosa DeLauro,6224
New.Haven,Branford,US House,3,Green,Charles Pillsbury,509
New.Haven,Branford,State Senate,12,Dem,Catherine S. Jackson,4258
New.Haven,Branford,State Senate,12,Rep,William A. Aniskovich,5216
New.Haven,"Branford, part of",State House,102,Dem,"Peter J. Panaroni, Jr.",4747
New.Haven,"Branford, part of",State House,98,Dem,Patricia M. Widlitz,1537
New.Haven,"Branford, part of",State House,102,Rep,Carol Bryan,2240
Fairfield,Bridgeport,Governor,,Rep,John Rowland,6094
Fairfield,Bridgeport,Governor,,Dem,Bill Curry,12452
Fairfield,Bridgeport,Secretary of State,,Rep,Ronald San Angelo,3888
Fairfield,Bridgeport,Secretary of State,,Dem,Susan Bysiewcz,12624
Fairfield,Bridgeport,Secretary of State,,Lbt,Darlene Nicholas,238
Fairfield,Bridgeport,Treasurer,,Rep,Ross Garber,4004
Fairfield,Bridgeport,Treasurer,,Dem,Denise Nappier,12479
Fairfield,Bridgeport,Treasurer,,CC,Timothy Knibbs,224
Fairfield,Bridgeport,Treasurer,,Lbt,Ken Mosher,139
Fairfield,Bridgeport,Comptroller,,Rep,Steven Mullins,3930
Fairfield,Bridgeport,Comptroller,,Dem,Nancy Wyman,12207
Fairfield,Bridgeport,Comptroller,,Lbt,Leonard Rasch,175
Fairfield,Bridgeport,Attorney General,,Rep,Martha Dean,3946
Fairfield,Bridgeport,Attorney General,,Dem,Richard Blumenthal,13081
Fairfield,Bridgeport,US House,4,Rep,Christopher Shays,6814
Fairfield,Bridgeport,US House,4,Dem,Stephanie Sanchez,10779
Fairfield,"Bridgeport, part of",State Senate,22,Rep,Elaine S. Hammers,2927
Fairfield,"Bridgeport, part of",State Senate,23,Rep,Jerry A. Blackwell,1816
Fairfield,"Bridgeport, part of",State Senate,22,Dem,Bill Finch,6143
Fairfield,"Bridgeport, part of",State Senate,23,Dem,Alvin W. Penn,6366
Fairfield,"Bridgeport, part of",State Senate,23,WF,Heather Partlow,246
Fairfield,"Bridgeport, part of",State House,124,Dem,Ernest E. Newton II,2093
Fairfield,"Bridgeport, part of",State House,126,Dem,Christopher L. Caruso,3253
Fairfield,"Bridgeport, part of",State House,127,Dem,Jacqueline M. Cocco,3145
Fairfield,"Bridgeport, part of",State House,128,Dem,Lydia N. Martinez,1213
Fairfield,"Bridgeport, part of",State House,129,Dem,"Robert T. Keeley, Jr.",2080
Fairfield,"Bridgeport, part of",State House,130,Dem,Felipe Reinoso,1575
Fairfield,"Bridgeport, part of",State House,124,Rep,Juan Hernandez,703
Fairfield,"Bridgeport, part of",State House,126,Rep,Will Smith,603
Fairfield,"Bridgeport, part of",State House,127,Rep,Acacio Vaz,938
Fairfield,"Bridgeport, part of",State House,128,Rep,Ramona Marquez,218
Fairfield,"Bridgeport, part of",State House,129,Rep,Donna Curran,1512
Fairfield,"Bridgeport, part of",State House,130,Rep,Jose L. Quiroga,369
Fairfield,"Bridgeport, part of",State House,124,WF,Donald L. Graham,79
Fairfield,"Bridgeport, part of",State House,128,WF,Elizabeth M. Ratliff,37
Fairfield,"Bridgeport, part of",State House,130,WF,Janiese Void,65
Litchfield,Bridgewater,Governor,,Rep,John Rowland,563
Litchfield,Bridgewater,Governor,,Dem,Bill Curry,263
Litchfield,Bridgewater,Secretary of State,,Rep,Ronald San Angelo,373
Litchfield,Bridgewater,Secretary of State,,Dem,Susan Bysiewcz,390
Litchfield,Bridgewater,Secretary of State,,Lbt,Darlene Nicholas,9
Litchfield,Bridgewater,Treasurer,,Rep,Ross Garber,411
Litchfield,Bridgewater,Treasurer,,Dem,Denise Nappier,322
Litchfield,Bridgewater,Treasurer,,CC,Timothy Knibbs,12
Litchfield,Bridgewater,Treasurer,,Lbt,Ken Mosher,7
Litchfield,Bridgewater,Comptroller,,Rep,Steven Mullins,378
Litchfield,Bridgewater,Comptroller,,Dem,Nancy Wyman,355
Litchfield,Bridgewater,Comptroller,,Lbt,Leonard Rasch,9
Litchfield,Bridgewater,Attorney General,,Rep,Martha Dean,346
Litchfield,Bridgewater,Attorney General,,Dem,Richard Blumenthal,446
Litchfield,Bridgewater,US House,5,Rep,Nancy Johnson,509
Litchfield,Bridgewater,US House,5,Dem,Jim Maloney,295
Litchfield,Bridgewater,US House,5,CC,Joseph Zdonczyk,11
Litchfield,Bridgewater,US House,5,Lbt,Walter Gengarelly,5
Litchfield,Bridgewater,State Senate,32,Rep,Louis C. DeLuca,459
Litchfield,Bridgewater,State Senate,32,Dem,Patricia L. Reilly,318
Litchfield,Bridgewater,State House,69,Dem,Bob Tendler,271
Litchfield,Bridgewater,State House,69,Rep,Arthur J. O'Neill,511
Hartford,Bristol,Governor,,Rep,John Rowland,8993
Hartford,Bristol,Governor,,Dem,Bill Curry,7341
Hartford,Bristol,Secretary of State,,Rep,Ronald San Angelo,3853
Hartford,Bristol,Secretary of State,,Dem,Susan Bysiewcz,11316
Hartford,Bristol,Secretary of State,,Lbt,Darlene Nicholas,175
Hartford,Bristol,Treasurer,,Rep,Ross Garber,5554
Hartford,Bristol,Treasurer,,Dem,Denise Nappier,9304
Hartford,Bristol,Treasurer,,CC,Timothy Knibbs,238
Hartford,Bristol,Treasurer,,Lbt,Ken Mosher,151
Hartford,Bristol,Comptroller,,Rep,Steven Mullins,4225
Hartford,Bristol,Comptroller,,Dem,Nancy Wyman,10595
Hartford,Bristol,Comptroller,,Lbt,Leonard Rasch,152
Hartford,Bristol,Attorney General,,Rep,Martha Dean,4402
Hartford,Bristol,Attorney General,,Dem,Richard Blumenthal,10996
Hartford,Bristol,US House,1,Rep,Phil Steele,5318
Hartford,Bristol,US House,1,Dem,John Larson,9952
Hartford,Bristol,State Senate,31,Rep,"Andrew J. Kasznay, Jr.",4938
Hartford,Bristol,State Senate,31,Dem,Tom Colapietro,10458
Hartford,"Bristol, part of",State House,77,Dem,Roger B. Michele,5009
Hartford,"Bristol, part of",State House,79,Dem,Kosta Diamantis,3580
Hartford,"Bristol, part of",State House,22,Dem,"Elizabeth ""Betty"" Boukus",229
Hartford,"Bristol, part of",State House,77,Rep,Michael J. Uchalid,1868
Hartford,"Bristol, part of",State House,78,Rep,William A. Hamzy,2003
Hartford,"Bristol, part of",State House,79,Rep,"Derek R. Jerome, Sr.",1679
Hartford,"Bristol, part of",State House,22,Rep,Anthony A. Cane,96
Fairfield,Brookfield,Governor,,Rep,John Rowland,4099
Fairfield,Brookfield,Governor,,Dem,Bill Curry,1587
Fairfield,Brookfield,Secretary of State,,Rep,Ronald San Angelo,2699
Fairfield,Brookfield,Secretary of State,,Dem,Susan Bysiewcz,2412
Fairfield,Brookfield,Secretary of State,,Lbt,Darlene Nicholas,67
Fairfield,Brookfield,Treasurer,,Rep,Ross Garber,2896
Fairfield,Brookfield,Treasurer,,Dem,Denise Nappier,2111
Fairfield,Brookfield,Treasurer,,CC,Timothy Knibbs,60
Fairfield,Brookfield,Treasurer,,Lbt,Ken Mosher,46
Fairfield,Brookfield,Comptroller,,Rep,Steven Mullins,2743
Fairfield,Brookfield,Comptroller,,Dem,Nancy Wyman,2282
Fairfield,Brookfield,Comptroller,,Lbt,Leonard Rasch,53
Fairfield,Brookfield,Attorney General,,Rep,Martha Dean,2434
Fairfield,Brookfield,Attorney General,,Dem,Richard Blumenthal,2864
Fairfield,Brookfield,US House,5,Rep,Nancy Johnson,3325
Fairfield,Brookfield,US House,5,Dem,Jim Maloney,2219
Fairfield,Brookfield,US House,5,CC,Joseph Zdonczyk,45
Fairfield,Brookfield,US House,5,Lbt,Walter Gengarelly,31
Fairfield,Brookfield,State Senate,30,Rep,Andrew Roraback,3218
Fairfield,Brookfield,State Senate,30,Dem,Robert L. Marconi,1973
Fairfield,Brookfield,State House,107,Rep,David A. Scribner,3986
Windham,Brooklyn,Governor,,Rep,John Rowland,930
Windham,Brooklyn,Governor,,Dem,Bill Curry,1129
Windham,Brooklyn,Secretary of State,,Rep,Ronald San Angelo,557
Windham,Brooklyn,Secretary of State,,Dem,Susan Bysiewcz,1331
Windham,Brooklyn,Secretary of State,,Lbt,Darlene Nicholas,40
Windham,Brooklyn,Treasurer,,Rep,Ross Garber,717
