county,town,office,district,party,candidate,votes
Tolland,Andover,Governor,,Rep,John Rowland,668
Tolland,Andover,Governor,,Dem,Bill Curry,579
Tolland,Andover,Secretary of State,,Rep,Ronald San Angelo,325
Tolland,Andover,Secretary of State,,Dem,Susan Bysiewcz,828
Tolland,Andover,Secretary of State,,Lbt,Darlene Nicholas,22
Tolland,Andover,Treasurer,,Rep,Ross Garber,475
Tolland,Andover,Treasurer,,Dem,Denise Nappier,587
Tolland,Andover,Treasurer,,CC,Timothy Knibbs,20
Tolland,Andover,Treasurer,,Lbt,Ken Mosher,33
Tolland,Andover,Comptroller,,Rep,Steven Mullins,358
Tolland,Andover,Comptroller,,Dem,Nancy Wyman,787
Tolland,Andover,Comptroller,,Lbt,Leonard Rasch,22
Tolland,Andover,Attorney General,,Rep,Martha Dean,374
Tolland,Andover,Attorney General,,Dem,Richard Blumenthal,780
Tolland,Andover,US House,2,Rep,Rob Simmons,613
Tolland,Andover,US House,2,Dem,Joe Courtney,594
Tolland,Andover,State Senate,19,Rep,Peter A. Nystrom,523
Tolland,Andover,State Senate,19,Dem,Edith G. Prague,697
Tolland,Andover,State House,55,Rep,Pamela Z. Sawyer,862
New.Haven,Ansonia,Governor,,Rep,John Rowland,2552
New.Haven,Ansonia,Governor,,Dem,Bill Curry,2136
New.Haven,Ansonia,Secretary of State,,Rep,Ronald San Angelo,1207
New.Haven,Ansonia,Secretary of State,,Dem,Susan Bysiewcz,3121
New.Haven,Ansonia,Secretary of State,,Lbt,Darlene Nicholas,54
New.Haven,Ansonia,Treasurer,,Rep,Ross Garber,1437
New.Haven,Ansonia,Treasurer,,Dem,Denise Nappier,2708
New.Haven,Ansonia,Treasurer,,CC,Timothy Knibbs,41
New.Haven,Ansonia,Treasurer,,Lbt,Ken Mosher,44
New.Haven,Ansonia,Comptroller,,Rep,Steven Mullins,1227
New.Haven,Ansonia,Comptroller,,Dem,Nancy Wyman,2925
New.Haven,Ansonia,Comptroller,,Lbt,Leonard Rasch,51
New.Haven,Ansonia,Attorney General,,Rep,Martha Dean,1127
New.Haven,Ansonia,Attorney General,,Dem,Richard Blumenthal,3529
New.Haven,Ansonia,US House,3,Rep,Richard Elser,1268
New.Haven,Ansonia,US House,3,Dem,Rosa DeLauro,3098
