candidate,party,office,district,town,votes,precinct
Joe Ganim,DEM,Governor,,Andover,32,Andover Town Hall
Ned Lamont,DEM,Governor,,Andover,218,Andover Town Hall
Susan Bysiewicz,DEM,Lieutenant Governor,,Andover,155,Andover Town Hall
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Andover,95,Andover Town Hall
Dita Bhargava,DEM,Treasurer,,Andover,121,Andover Town Hall
Shawn Wooden,DEM,Treasurer,,Andover,121,Andover Town Hall
Paul R Doyle,DEM,Attorney General,,Andover,42,Andover Town Hall
Chris Mattei,DEM,Attorney General,,Andover,74,Andover Town Hall
William Tong,DEM,Attorney General,,Andover,126,Andover Town Hall
Joe Ganim,DEM,Governor,,Ansonia,50,Ward 1 Ansonia Armory
Ned Lamont,DEM,Governor,,Ansonia,78,Ward 1 Ansonia Armory
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,77,Ward 1 Ansonia Armory
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,47,Ward 1 Ansonia Armory
Jorge Cabrera,DEM,State Senate,17,Ansonia,36,Ward 1 Ansonia Armory
Sean Grace,DEM,State Senate,17,Ansonia,44,Ward 1 Ansonia Armory
Valerie Horsley,DEM,State Senate,17,Ansonia,43,Ward 1 Ansonia Armory
Dita Bhargava,DEM,Treasurer,,Ansonia,62,Ward 1 Ansonia Armory
Shawn Wooden,DEM,Treasurer,,Ansonia,64,Ward 1 Ansonia Armory
Paul R Doyle,DEM,Attorney General,,Ansonia,29,Ward 1 Ansonia Armory
Chris Mattei,DEM,Attorney General,,Ansonia,32,Ward 1 Ansonia Armory
William Tong,DEM,Attorney General,,Ansonia,61,Ward 1 Ansonia Armory
Joe Ganim,DEM,Governor,,Ansonia,40,Ward 2 Ansonia Armory
Ned Lamont,DEM,Governor,,Ansonia,66,Ward 2 Ansonia Armory
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,60,Ward 2 Ansonia Armory
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,48,Ward 2 Ansonia Armory
Jorge Cabrera,DEM,State Senate,17,Ansonia,50,Ward 2 Ansonia Armory
Sean Grace,DEM,State Senate,17,Ansonia,34,Ward 2 Ansonia Armory
Valerie Horsley,DEM,State Senate,17,Ansonia,24,Ward 2 Ansonia Armory
Dita Bhargava,DEM,Treasurer,,Ansonia,33,Ward 2 Ansonia Armory
Shawn Wooden,DEM,Treasurer,,Ansonia,71,Ward 2 Ansonia Armory
Paul R Doyle,DEM,Attorney General,,Ansonia,36,Ward 2 Ansonia Armory
Chris Mattei,DEM,Attorney General,,Ansonia,21,Ward 2 Ansonia Armory
William Tong,DEM,Attorney General,,Ansonia,49,Ward 2 Ansonia Armory
Joe Ganim,DEM,Governor,,Ansonia,40,Ward 3 Holy Rosary Church
Ned Lamont,DEM,Governor,,Ansonia,79,Ward 3 Holy Rosary Church
Susan Bysiewicz,DEM,Lieutenant Governor,,Ansonia,77,Ward 3 Holy Rosary Church
Eva Bermudez Zimmerman,DEM,Lieutenant Governor,,Ansonia,36,Ward 3 Holy Rosary Church
Jorge Cabrera,DEM,State Senate,17,Ansonia,57,Ward 3 Holy Rosary Church
Sean Grace,DEM,State Senate,17,Ansonia,25,Ward 3 Holy Rosary Church
Valerie Horsley,DEM,State Senate,17,Ansonia,32,Ward 3 Holy Rosary Church
Dita Bhargava,DEM,Treasurer,,Ansonia,41,Ward 3 Holy Rosary Church
Shawn Wooden,DEM,Treasurer,,Ansonia,68,Ward 3 Holy Rosary Church
Paul R Doyle,DEM,Attorney General,,Ansonia,18,Ward 3 Holy Rosary Church
Chris Mattei,DEM,Attorney General,,Ansonia,35,Ward 3 Holy Rosary Church
William Tong,DEM,Attorney General,,Ansonia,58,Ward 3 Holy Rosary Church
Joe Ganim,DEM,Governor,,Ansonia,32,Ward 4 Ansonia Middle School
