candidate,party,office,district,town,votes,precinct
William Tong,Democratic Party,Attorney General,,Andover,649,Andover Town Hall
Sue Hatfield,Republican Party,Attorney General,,Andover,855,Andover Town Hall
William Tong,Working Families Party,Attorney General,,Andover,37,Andover Town Hall
Sue Hatfield,Independent Party,Attorney General,,Andover,37,Andover Town Hall
Peter D Goselin,Green Party,Attorney General,,Andover,32,Andover Town Hall
William Tong,Democratic Party,Attorney General,,Ansonia,427,Ward 1 Ansonia Armory
Sue Hatfield,Republican Party,Attorney General,,Ansonia,317,Ward 1 Ansonia Armory
William Tong,Working Families Party,Attorney General,,Ansonia,32,Ward 1 Ansonia Armory
Sue Hatfield,Independent Party,Attorney General,,Ansonia,26,Ward 1 Ansonia Armory
Peter D Goselin,Green Party,Attorney General,,Ansonia,11,Ward 1 Ansonia Armory
William Tong,Democratic Party,Attorney General,,Ansonia,380,Ward 2 Ansonia Armory
Sue Hatfield,Republican Party,Attorney General,,Ansonia,367,Ward 2 Ansonia Armory
William Tong,Working Families Party,Attorney General,,Ansonia,24,Ward 2 Ansonia Armory
Sue Hatfield,Independent Party,Attorney General,,Ansonia,20,Ward 2 Ansonia Armory
Peter D Goselin,Green Party,Attorney General,,Ansonia,8,Ward 2 Ansonia Armory
William Tong,Democratic Party,Attorney General,,Ansonia,361,Ward 3 Holy Rosary Church
Sue Hatfield,Republican Party,Attorney General,,Ansonia,350,Ward 3 Holy Rosary Church
William Tong,Working Families Party,Attorney General,,Ansonia,17,Ward 3 Holy Rosary Church
Sue Hatfield,Independent Party,Attorney General,,Ansonia,25,Ward 3 Holy Rosary Church
Peter D Goselin,Green Party,Attorney General,,Ansonia,8,Ward 3 Holy Rosary Church
William Tong,Democratic Party,Attorney General,,Ansonia,276,Ward 4 Ansonia Middle School
Sue Hatfield,Republican Party,Attorney General,,Ansonia,203,Ward 4 Ansonia Middle School
William Tong,Working Families Party,Attorney General,,Ansonia,17,Ward 4 Ansonia Middle School
Sue Hatfield,Independent Party,Attorney General,,Ansonia,11,Ward 4 Ansonia Middle School
Peter D Goselin,Green Party,Attorney General,,Ansonia,8,Ward 4 Ansonia Middle School
William Tong,Democratic Party,Attorney General,,Ansonia,397,Ward 5 Ansonia Middle School
Sue Hatfield,Republican Party,Attorney General,,Ansonia,382,Ward 5 Ansonia Middle School
William Tong,Working Families Party,Attorney General,,Ansonia,23,Ward 5 Ansonia Middle School
Sue Hatfield,Independent Party,Attorney General,,Ansonia,26,Ward 5 Ansonia Middle School
Peter D Goselin,Green Party,Attorney General,,Ansonia,11,Ward 5 Ansonia Middle School
William Tong,Democratic Party,Attorney General,,Ansonia,397,Ward 6 Prendergast School
Sue Hatfield,Republican Party,Attorney General,,Ansonia,640,Ward 6 Prendergast School
William Tong,Working Families Party,Attorney General,,Ansonia,19,Ward 6 Prendergast School
Sue Hatfield,Independent Party,Attorney General,,Ansonia,30,Ward 6 Prendergast School
Peter D Goselin,Green Party,Attorney General,,Ansonia,14,Ward 6 Prendergast School
William Tong,Democratic Party,Attorney General,,Ansonia,466,Ward 7 Mead School
Sue Hatfield,Republican Party,Attorney General,,Ansonia,678,Ward 7 Mead School
William Tong,Working Families Party,Attorney General,,Ansonia,16,Ward 7 Mead School
Sue Hatfield,Independent Party,Attorney General,,Ansonia,24,Ward 7 Mead School
Peter D Goselin,Green Party,Attorney General,,Ansonia,11,Ward 7 Mead School
William Tong,Democratic Party,Attorney General,,Ashford,923,Knowlton Memorial Hall
Sue Hatfield,Republican Party,Attorney General,,Ashford,989,Knowlton Memorial Hall
William Tong,Working Families Party,Attorney General,,Ashford,55,Knowlton Memorial Hall
Sue Hatfield,Independent Party,Attorney General,,Ashford,32,Knowlton Memorial Hall
Peter D Goselin,Green Party,Attorney General,,Ashford,27,Knowlton Memorial Hall
William Tong,Democratic Party,Attorney General,,Avon,1842,Avon High School - Gymnasium
Sue Hatfield,Republican Party,Attorney General,,Avon,1937,Avon High School - Gymnasium
William Tong,Working Families Party,Attorney General,,Avon,46,Avon High School - Gymnasium
Sue Hatfield,Independent Party,Attorney General,,Avon,77,Avon High School - Gymnasium
Peter D Goselin,Green Party,Attorney General,,Avon,31,Avon High School - Gymnasium
William Tong,Democratic Party,Attorney General,,Avon,1304,Firehouse Company #1
Sue Hatfield,Republican Party,Attorney General,,Avon,1166,Firehouse Company #1
William Tong,Working Families Party,Attorney General,,Avon,43,Firehouse Company #1
Sue Hatfield,Independent Party,Attorney General,,Avon,28,Firehouse Company #1
Peter D Goselin,Green Party,Attorney General,,Avon,17,Firehouse Company #1
William Tong,Democratic Party,Attorney General,,Avon,1445,Roaring Brook School
Sue Hatfield,Republican Party,Attorney General,,Avon,1526,Roaring Brook School
William Tong,Working Families Party,Attorney General,,Avon,32,Roaring Brook School
Sue Hatfield,Independent Party,Attorney General,,Avon,59,Roaring Brook School
Peter D Goselin,Green Party,Attorney General,,Avon,22,Roaring Brook School
William Tong,Democratic Party,Attorney General,,Barkhamsted,755,Barkhamsted Elementary School
Sue Hatfield,Republican Party,Attorney General,,Barkhamsted,1095,Barkhamsted Elementary School
William Tong,Working Families Party,Attorney General,,Barkhamsted,30,Barkhamsted Elementary School
Sue Hatfield,Independent Party,Attorney General,,Barkhamsted,53,Barkhamsted Elementary School
Peter D Goselin,Green Party,Attorney General,,Barkhamsted,23,Barkhamsted Elementary School
William Tong,Democratic Party,Attorney General,,Beacon Falls,922,Laurel Ledge School
Sue Hatfield,Republican Party,Attorney General,,Beacon Falls,1757,Laurel Ledge School
William Tong,Working Families Party,Attorney General,,Beacon Falls,47,Laurel Ledge School
Sue Hatfield,Independent Party,Attorney General,,Beacon Falls,65,Laurel Ledge School
Peter D Goselin,Green Party,Attorney General,,Beacon Falls,27,Laurel Ledge School
William Tong,Democratic Party,Attorney General,,Berlin,983,American Legion
Sue Hatfield,Republican Party,Attorney General,,Berlin,1168,American Legion
William Tong,Working Families Party,Attorney General,,Berlin,39,American Legion
Sue Hatfield,Independent Party,Attorney General,,Berlin,59,American Legion
Peter D Goselin,Green Party,Attorney General,,Berlin,38,American Legion
William Tong,Democratic Party,Attorney General,,Berlin,1032,Griswold School
Sue Hatfield,Republican Party,Attorney General,,Berlin,1533,Griswold School
William Tong,Working Families Party,Attorney General,,Berlin,44,Griswold School
Sue Hatfield,Independent Party,Attorney General,,Berlin,50,Griswold School
Peter D Goselin,Green Party,Attorney General,,Berlin,33,Griswold School
William Tong,Democratic Party,Attorney General,,Berlin,767,Hubbard School
Sue Hatfield,Republican Party,Attorney General,,Berlin,1058,Hubbard School
William Tong,Working Families Party,Attorney General,,Berlin,24,Hubbard School
Sue Hatfield,Independent Party,Attorney General,,Berlin,52,Hubbard School
Peter D Goselin,Green Party,Attorney General,,Berlin,21,Hubbard School
William Tong,Democratic Party,Attorney General,,Berlin,567,Senior Center
Sue Hatfield,Republican Party,Attorney General,,Berlin,990,Senior Center
William Tong,Working Families Party,Attorney General,,Berlin,18,Senior Center
Sue Hatfield,Independent Party,Attorney General,,Berlin,22,Senior Center
Peter D Goselin,Green Party,Attorney General,,Berlin,19,Senior Center
William Tong,Democratic Party,Attorney General,,Berlin,443,Willard School
Sue Hatfield,Republican Party,Attorney General,,Berlin,617,Willard School
William Tong,Working Families Party,Attorney General,,Berlin,17,Willard School
Sue Hatfield,Independent Party,Attorney General,,Berlin,18,Willard School
Peter D Goselin,Green Party,Attorney General,,Berlin,12,Willard School
William Tong,Democratic Party,Attorney General,,Bethany,1287,Town Hall
Sue Hatfield,Republican Party,Attorney General,,Bethany,1613,Town Hall
William Tong,Working Families Party,Attorney General,,Bethany,63,Town Hall
Sue Hatfield,Independent Party,Attorney General,,Bethany,41,Town Hall
Peter D Goselin,Green Party,Attorney General,,Bethany,35,Town Hall
William Tong,Democratic Party,Attorney General,,Bethel,629,Bethel Municipal Center 1
Sue Hatfield,Republican Party,Attorney General,,Bethel,445,Bethel Municipal Center 1
William Tong,Working Families Party,Attorney General,,Bethel,23,Bethel Municipal Center 1
Sue Hatfield,Independent Party,Attorney General,,Bethel,24,Bethel Municipal Center 1
Peter D Goselin,Green Party,Attorney General,,Bethel,9,Bethel Municipal Center 1
William Tong,Democratic Party,Attorney General,,Bethel,1083,Bethel Municipal Center 4
Sue Hatfield,Republican Party,Attorney General,,Bethel,931,Bethel Municipal Center 4
William Tong,Working Families Party,Attorney General,,Bethel,44,Bethel Municipal Center 4
Sue Hatfield,Independent Party,Attorney General,,Bethel,59,Bethel Municipal Center 4
Peter D Goselin,Green Party,Attorney General,,Bethel,24,Bethel Municipal Center 4
William Tong,Democratic Party,Attorney General,,Bethel,1304,Frank A. Berry School - 3
Sue Hatfield,Republican Party,Attorney General,,Bethel,1440,Frank A. Berry School - 3
William Tong,Working Families Party,Attorney General,,Bethel,56,Frank A. Berry School - 3
Sue Hatfield,Independent Party,Attorney General,,Bethel,83,Frank A. Berry School - 3
Peter D Goselin,Green Party,Attorney General,,Bethel,28,Frank A. Berry School - 3
William Tong,Democratic Party,Attorney General,,Bethel,139,Frank A. Berry School - 5
Sue Hatfield,Republican Party,Attorney General,,Bethel,225,Frank A. Berry School - 5
William Tong,Working Families Party,Attorney General,,Bethel,11,Frank A. Berry School - 5
Sue Hatfield,Independent Party,Attorney General,,Bethel,8,Frank A. Berry School - 5
Peter D Goselin,Green Party,Attorney General,,Bethel,2,Frank A. Berry School - 5
William Tong,Democratic Party,Attorney General,,Bethel,860,Stony Hill Fire House -2
Sue Hatfield,Republican Party,Attorney General,,Bethel,963,Stony Hill Fire House -2
William Tong,Working Families Party,Attorney General,,Bethel,30,Stony Hill Fire House -2
Sue Hatfield,Independent Party,Attorney General,,Bethel,47,Stony Hill Fire House -2
Peter D Goselin,Green Party,Attorney General,,Bethel,13,Stony Hill Fire House -2
William Tong,Democratic Party,Attorney General,,Bethlehem,696,Bethlehem Town Office Building
Sue Hatfield,Republican Party,Attorney General,,Bethlehem,1252,Bethlehem Town Office Building
William Tong,Working Families Party,Attorney General,,Bethlehem,25,Bethlehem Town Office Building
Sue Hatfield,Independent Party,Attorney General,,Bethlehem,39,Bethlehem Town Office Building
Peter D Goselin,Green Party,Attorney General,,Bethlehem,17,Bethlehem Town Office Building
William Tong,Democratic Party,Attorney General,,Bloomfield,1709,Bloomfield High School
Sue Hatfield,Republican Party,Attorney General,,Bloomfield,342,Bloomfield High School
William Tong,Working Families Party,Attorney General,,Bloomfield,32,Bloomfield High School
Sue Hatfield,Independent Party,Attorney General,,Bloomfield,23,Bloomfield High School
Peter D Goselin,Green Party,Attorney General,,Bloomfield,16,Bloomfield High School
William Tong,Democratic Party,Attorney General,,Bloomfield,1490,Carmen Arace Middle School
Sue Hatfield,Republican Party,Attorney General,,Bloomfield,103,Carmen Arace Middle School
William Tong,Working Families Party,Attorney General,,Bloomfield,25,Carmen Arace Middle School
Sue Hatfield,Independent Party,Attorney General,,Bloomfield,14,Carmen Arace Middle School
Peter D Goselin,Green Party,Attorney General,,Bloomfield,15,Carmen Arace Middle School
William Tong,Democratic Party,Attorney General,,Bloomfield,1957,Laurel Elementary School
Sue Hatfield,Republican Party,Attorney General,,Bloomfield,338,Laurel Elementary School
William Tong,Working Families Party,Attorney General,,Bloomfield,41,Laurel Elementary School
