candidate,party,office,district,town,votes,precinct
Sue Hatfield,Independent Party,Attorney General,,Bloomfield,24,Laurel Elementary School
Peter D Goselin,Green Party,Attorney General,,Bloomfield,25,Laurel Elementary School
William Tong,Democratic Party,Attorney General,,Bloomfield,1240,Leisure Services Gym
Sue Hatfield,Republican Party,Attorney General,,Bloomfield,610,Leisure Services Gym
William Tong,Working Families Party,Attorney General,,Bloomfield,41,Leisure Services Gym
Sue Hatfield,Independent Party,Attorney General,,Bloomfield,27,Leisure Services Gym
Peter D Goselin,Green Party,Attorney General,,Bloomfield,22,Leisure Services Gym
William Tong,Democratic Party,Attorney General,,Bloomfield,1547,Metacomet Elementary School
Sue Hatfield,Republican Party,Attorney General,,Bloomfield,442,Metacomet Elementary School
William Tong,Working Families Party,Attorney General,,Bloomfield,40,Metacomet Elementary School
Sue Hatfield,Independent Party,Attorney General,,Bloomfield,22,Metacomet Elementary School
Peter D Goselin,Green Party,Attorney General,,Bloomfield,18,Metacomet Elementary School
William Tong,Democratic Party,Attorney General,,Bolton,1131,Town Hall
Sue Hatfield,Republican Party,Attorney General,,Bolton,1413,Town Hall
William Tong,Working Families Party,Attorney General,,Bolton,39,Town Hall
Sue Hatfield,Independent Party,Attorney General,,Bolton,48,Town Hall
Peter D Goselin,Green Party,Attorney General,,Bolton,35,Town Hall
William Tong,Democratic Party,Attorney General,,Bozrah,411,Fields Memorial School
Sue Hatfield,Republican Party,Attorney General,,Bozrah,672,Fields Memorial School
William Tong,Working Families Party,Attorney General,,Bozrah,16,Fields Memorial School
Sue Hatfield,Independent Party,Attorney General,,Bozrah,51,Fields Memorial School
Peter D Goselin,Green Party,Attorney General,,Bozrah,12,Fields Memorial School
William Tong,Democratic Party,Attorney General,,Branford,1345,Branford Fire Headquarters
Sue Hatfield,Republican Party,Attorney General,,Branford,1060,Branford Fire Headquarters
William Tong,Working Families Party,Attorney General,,Branford,48,Branford Fire Headquarters
Sue Hatfield,Independent Party,Attorney General,,Branford,51,Branford Fire Headquarters
Peter D Goselin,Green Party,Attorney General,,Branford,25,Branford Fire Headquarters
William Tong,Democratic Party,Attorney General,,Branford,1276,Branford High School
Sue Hatfield,Republican Party,Attorney General,,Branford,1208,Branford High School
William Tong,Working Families Party,Attorney General,,Branford,41,Branford High School
Sue Hatfield,Independent Party,Attorney General,,Branford,51,Branford High School
Peter D Goselin,Green Party,Attorney General,,Branford,14,Branford High School
William Tong,Democratic Party,Attorney General,,Branford,1236,Indian Neck School
Sue Hatfield,Republican Party,Attorney General,,Branford,1066,Indian Neck School
William Tong,Working Families Party,Attorney General,,Branford,43,Indian Neck School
Sue Hatfield,Independent Party,Attorney General,,Branford,37,Indian Neck School
Peter D Goselin,Green Party,Attorney General,,Branford,17,Indian Neck School
William Tong,Democratic Party,Attorney General,,Branford,700,Mary R. Tisko School
Sue Hatfield,Republican Party,Attorney General,,Branford,750,Mary R. Tisko School
William Tong,Working Families Party,Attorney General,,Branford,18,Mary R. Tisko School
Sue Hatfield,Independent Party,Attorney General,,Branford,23,Mary R. Tisko School
Peter D Goselin,Green Party,Attorney General,,Branford,9,Mary R. Tisko School
William Tong,Democratic Party,Attorney General,,Branford,911,Mary T. Murphy School
Sue Hatfield,Republican Party,Attorney General,,Branford,942,Mary T. Murphy School
William Tong,Working Families Party,Attorney General,,Branford,37,Mary T. Murphy School
Sue Hatfield,Independent Party,Attorney General,,Branford,47,Mary T. Murphy School
Peter D Goselin,Green Party,Attorney General,,Branford,19,Mary T. Murphy School
William Tong,Democratic Party,Attorney General,,Branford,903,Orchard House
Sue Hatfield,Republican Party,Attorney General,,Branford,533,Orchard House
William Tong,Working Families Party,Attorney General,,Branford,25,Orchard House
Sue Hatfield,Independent Party,Attorney General,,Branford,29,Orchard House
Peter D Goselin,Green Party,Attorney General,,Branford,18,Orchard House
William Tong,Democratic Party,Attorney General,,Branford,762,St. Therese Church Hall
Sue Hatfield,Republican Party,Attorney General,,Branford,600,St. Therese Church Hall
William Tong,Working Families Party,Attorney General,,Branford,26,St. Therese Church Hall
Sue Hatfield,Independent Party,Attorney General,,Branford,10,St. Therese Church Hall
Peter D Goselin,Green Party,Attorney General,,Branford,8,St. Therese Church Hall
William Tong,Democratic Party,Attorney General,,Bridgeport,650,Barnum School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,37,Barnum School
William Tong,Working Families Party,Attorney General,,Bridgeport,5,Barnum School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,0,Barnum School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,5,Barnum School
William Tong,Democratic Party,Attorney General,,Bridgeport,416,Bassick High School
William Tong,Democratic Party,Attorney General,,Bridgeport,718,Bassick High School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,53,Bassick High School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,72,Bassick High School
William Tong,Working Families Party,Attorney General,,Bridgeport,6,Bassick High School
William Tong,Working Families Party,Attorney General,,Bridgeport,8,Bassick High School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,4,Bassick High School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,7,Bassick High School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,5,Bassick High School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,7,Bassick High School
William Tong,Democratic Party,Attorney General,,Bridgeport,194,Beardsley School
William Tong,Democratic Party,Attorney General,,Bridgeport,215,Beardsley School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,33,Beardsley School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,35,Beardsley School
William Tong,Working Families Party,Attorney General,,Bridgeport,3,Beardsley School
William Tong,Working Families Party,Attorney General,,Bridgeport,6,Beardsley School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,2,Beardsley School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,2,Beardsley School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,1,Beardsley School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,2,Beardsley School
William Tong,Democratic Party,Attorney General,,Bridgeport,1570,Black Rock School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,582,Black Rock School
William Tong,Working Families Party,Attorney General,,Bridgeport,51,Black Rock School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,31,Black Rock School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,34,Black Rock School
William Tong,Democratic Party,Attorney General,,Bridgeport,2108,Blackham School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,735,Blackham School
William Tong,Working Families Party,Attorney General,,Bridgeport,44,Blackham School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,23,Blackham School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,22,Blackham School
William Tong,Democratic Party,Attorney General,,Bridgeport,941,Cesar Batalla School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,148,Cesar Batalla School
William Tong,Working Families Party,Attorney General,,Bridgeport,20,Cesar Batalla School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,11,Cesar Batalla School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,12,Cesar Batalla School
William Tong,Democratic Party,Attorney General,,Bridgeport,392,City Hall
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,43,City Hall
William Tong,Working Families Party,Attorney General,,Bridgeport,12,City Hall
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,3,City Hall
Peter D Goselin,Green Party,Attorney General,,Bridgeport,6,City Hall
William Tong,Democratic Party,Attorney General,,Bridgeport,1232,Dunbar School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,76,Dunbar School
William Tong,Working Families Party,Attorney General,,Bridgeport,22,Dunbar School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,5,Dunbar School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,10,Dunbar School
William Tong,Democratic Party,Attorney General,,Bridgeport,1266,Geraldine Johnson School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,124,Geraldine Johnson School
William Tong,Working Families Party,Attorney General,,Bridgeport,26,Geraldine Johnson School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,7,Geraldine Johnson School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,8,Geraldine Johnson School
William Tong,Democratic Party,Attorney General,,Bridgeport,1062,Hallen School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,144,Hallen School
William Tong,Working Families Party,Attorney General,,Bridgeport,19,Hallen School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,12,Hallen School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,3,Hallen School
William Tong,Democratic Party,Attorney General,,Bridgeport,1062,Harding High School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,129,Harding High School
William Tong,Working Families Party,Attorney General,,Bridgeport,14,Harding High School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,8,Harding High School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,6,Harding High School
William Tong,Democratic Party,Attorney General,,Bridgeport,1318,John F. Kennedy Campus
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,195,John F. Kennedy Campus
William Tong,Working Families Party,Attorney General,,Bridgeport,16,John F. Kennedy Campus
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,10,John F. Kennedy Campus
Peter D Goselin,Green Party,Attorney General,,Bridgeport,8,John F. Kennedy Campus
William Tong,Democratic Party,Attorney General,,Bridgeport,1585,John Winthrop School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,650,John Winthrop School
William Tong,Working Families Party,Attorney General,,Bridgeport,40,John Winthrop School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,28,John Winthrop School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,20,John Winthrop School
William Tong,Democratic Party,Attorney General,,Bridgeport,1024,Luis Munoz Marin School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,120,Luis Munoz Marin School
William Tong,Working Families Party,Attorney General,,Bridgeport,14,Luis Munoz Marin School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,10,Luis Munoz Marin School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,6,Luis Munoz Marin School
William Tong,Democratic Party,Attorney General,,Bridgeport,482,Madison School
William Tong,Democratic Party,Attorney General,,Bridgeport,1311,Madison School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,77,Madison School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,393,Madison School
William Tong,Working Families Party,Attorney General,,Bridgeport,8,Madison School
William Tong,Working Families Party,Attorney General,,Bridgeport,28,Madison School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,8,Madison School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,18,Madison School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,5,Madison School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,15,Madison School
William Tong,Democratic Party,Attorney General,,Bridgeport,1023,Park City Magnet School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,235,Park City Magnet School
William Tong,Working Families Party,Attorney General,,Bridgeport,34,Park City Magnet School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,12,Park City Magnet School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,7,Park City Magnet School
William Tong,Democratic Party,Attorney General,,Bridgeport,109,Read Middle School
William Tong,Democratic Party,Attorney General,,Bridgeport,431,Read Middle School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,31,Read Middle School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,69,Read Middle School
William Tong,Working Families Party,Attorney General,,Bridgeport,0,Read Middle School
William Tong,Working Families Party,Attorney General,,Bridgeport,11,Read Middle School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,1,Read Middle School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,4,Read Middle School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,0,Read Middle School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,5,Read Middle School
William Tong,Democratic Party,Attorney General,,Bridgeport,725,The Aquaculture Center
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,118,The Aquaculture Center
William Tong,Working Families Party,Attorney General,,Bridgeport,16,The Aquaculture Center
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,6,The Aquaculture Center
Peter D Goselin,Green Party,Attorney General,,Bridgeport,9,The Aquaculture Center
William Tong,Democratic Party,Attorney General,,Bridgeport,1203,Thomas Hooker School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,303,Thomas Hooker School
William Tong,Working Families Party,Attorney General,,Bridgeport,34,Thomas Hooker School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,16,Thomas Hooker School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,13,Thomas Hooker School
William Tong,Democratic Party,Attorney General,,Bridgeport,1356,Wilbur Cross School
Sue Hatfield,Republican Party,Attorney General,,Bridgeport,105,Wilbur Cross School
William Tong,Working Families Party,Attorney General,,Bridgeport,24,Wilbur Cross School
Sue Hatfield,Independent Party,Attorney General,,Bridgeport,11,Wilbur Cross School
Peter D Goselin,Green Party,Attorney General,,Bridgeport,10,Wilbur Cross School
William Tong,Democratic Party,Attorney General,,Bridgewater,472,Bridgewater Senior Center
Sue Hatfield,Republican Party,Attorney General,,Bridgewater,535,Bridgewater Senior Center
William Tong,Working Families Party,Attorney General,,Bridgewater,10,Bridgewater Senior Center
Sue Hatfield,Independent Party,Attorney General,,Bridgewater,20,Bridgewater Senior Center
Peter D Goselin,Green Party,Attorney General,,Bridgewater,10,Bridgewater Senior Center
William Tong,Democratic Party,Attorney General,,Bristol,609,Bristol Eastern High School
Sue Hatfield,Republican Party,Attorney General,,Bristol,695,Bristol Eastern High School
William Tong,Working Families Party,Attorney General,,Bristol,20,Bristol Eastern High School
Sue Hatfield,Independent Party,Attorney General,,Bristol,27,Bristol Eastern High School
Peter D Goselin,Green Party,Attorney General,,Bristol,21,Bristol Eastern High School
William Tong,Democratic Party,Attorney General,,Bristol,975,Bristol Elks Club
Sue Hatfield,Republican Party,Attorney General,,Bristol,821,Bristol Elks Club
William Tong,Working Families Party,Attorney General,,Bristol,36,Bristol Elks Club
Sue Hatfield,Independent Party,Attorney General,,Bristol,52,Bristol Elks Club
Peter D Goselin,Green Party,Attorney General,,Bristol,32,Bristol Elks Club
William Tong,Democratic Party,Attorney General,,Bristol,899,Chippens Hill Middle School
Sue Hatfield,Republican Party,Attorney General,,Bristol,1439,Chippens Hill Middle School
William Tong,Working Families Party,Attorney General,,Bristol,21,Chippens Hill Middle School
Sue Hatfield,Independent Party,Attorney General,,Bristol,45,Chippens Hill Middle School
Peter D Goselin,Green Party,Attorney General,,Bristol,18,Chippens Hill Middle School
William Tong,Democratic Party,Attorney General,,Bristol,1090,Edgewood School
Sue Hatfield,Republican Party,Attorney General,,Bristol,1343,Edgewood School
William Tong,Working Families Party,Attorney General,,Bristol,31,Edgewood School
Sue Hatfield,Independent Party,Attorney General,,Bristol,52,Edgewood School
Peter D Goselin,Green Party,Attorney General,,Bristol,36,Edgewood School
William Tong,Democratic Party,Attorney General,,Bristol,1349,Greene-Hills School
Sue Hatfield,Republican Party,Attorney General,,Bristol,1454,Greene-Hills School
William Tong,Working Families Party,Attorney General,,Bristol,56,Greene-Hills School
Sue Hatfield,Independent Party,Attorney General,,Bristol,80,Greene-Hills School
Peter D Goselin,Green Party,Attorney General,,Bristol,33,Greene-Hills School
William Tong,Democratic Party,Attorney General,,Bristol,1148,Mountain View School
Sue Hatfield,Republican Party,Attorney General,,Bristol,1230,Mountain View School
William Tong,Working Families Party,Attorney General,,Bristol,32,Mountain View School
Sue Hatfield,Independent Party,Attorney General,,Bristol,70,Mountain View School
Peter D Goselin,Green Party,Attorney General,,Bristol,36,Mountain View School
William Tong,Democratic Party,Attorney General,,Bristol,1137,Northeast School
Sue Hatfield,Republican Party,Attorney General,,Bristol,1471,Northeast School
William Tong,Working Families Party,Attorney General,,Bristol,40,Northeast School
Sue Hatfield,Independent Party,Attorney General,,Bristol,65,Northeast School
Peter D Goselin,Green Party,Attorney General,,Bristol,39,Northeast School
William Tong,Democratic Party,Attorney General,,Bristol,1087,Southside School
Sue Hatfield,Republican Party,Attorney General,,Bristol,1186,Southside School
William Tong,Working Families Party,Attorney General,,Bristol,34,Southside School
Sue Hatfield,Independent Party,Attorney General,,Bristol,59,Southside School
Peter D Goselin,Green Party,Attorney General,,Bristol,29,Southside School
William Tong,Democratic Party,Attorney General,,Bristol,863,West Bristol School
