county,town,precinct,office,district,candidate,party,votes
New London,Colchester,Colchester 1,Governor,,Thomas Foley,Rep,1288
New London,Colchester,Colchester 2,Governor,,Thomas Foley,Rep,813
New London,Colchester,Colchester 3,Governor,,Thomas Foley,Rep,736
New London,Colchester,Colchester 4,Governor,,Thomas Foley,Rep,263
New London,Colchester,Colchester 1,Governor,,Dannel Malloy,Dem,1023
New London,Colchester,Colchester 2,Governor,,Dannel Malloy,Dem,568
New London,Colchester,Colchester 3,Governor,,Dannel Malloy,Dem,660
New London,Colchester,Colchester 4,Governor,,Dannel Malloy,Dem,190
New London,Colchester,Colchester 1,Governor,,Dannel Malloy,WF,78
New London,Colchester,Colchester 2,Governor,,Dannel Malloy,WF,51
New London,Colchester,Colchester 3,Governor,,Dannel Malloy,WF,41
New London,Colchester,Colchester 4,Governor,,Dannel Malloy,WF,15
New London,Colchester,Colchester 1,Governor,,Thomas Foley,Ind,78
New London,Colchester,Colchester 2,Governor,,Thomas Foley,Ind,51
New London,Colchester,Colchester 3,Governor,,Thomas Foley,Ind,30
New London,Colchester,Colchester 4,Governor,,Thomas Foley,Ind,13
New London,Colchester,Colchester 1,Governor,,Joe Visconti,Pet,54
New London,Colchester,Colchester 2,Governor,,Joe Visconti,Pet,36
New London,Colchester,Colchester 3,Governor,,Joe Visconti,Pet,24
New London,Colchester,Colchester 4,Governor,,Joe Visconti,Pet,4
New London,Colchester,Colchester 1,Governor,,Jonathan Pelto,write-in,1
New London,Colchester,Colchester 2,Governor,,Jonathan Pelto,write-in,1
New London,Colchester,Colchester 3,Governor,,Jonathan Pelto,write-in,2
New London,Colchester,Colchester 4,Governor,,Jonathan Pelto,write-in,0
New London,Colchester,Colchester 4,Governor,,Gaita,write-in,3
New London,Colchester,Colchester 1,US House,2,Lori Hopkins-Cavanagh,Rep,870
New London,Colchester,Colchester 2,US House,2,Lori Hopkins-Cavanagh,Rep,558
New London,Colchester,Colchester 3,US House,2,Lori Hopkins-Cavanagh,Rep,524
New London,Colchester,Colchester 4,US House,2,Lori Hopkins-Cavanagh,Rep,172
New London,Colchester,Colchester 1,US House,2,Joe Courtney,Dem,1396
New London,Colchester,Colchester 2,US House,2,Joe Courtney,Dem,796
New London,Colchester,Colchester 3,US House,2,Joe Courtney,Dem,855
New London,Colchester,Colchester 4,US House,2,Joe Courtney,Dem,260
New London,Colchester,Colchester 1,US House,2,Joe Courtney,WF,151
New London,Colchester,Colchester 2,US House,2,Joe Courtney,WF,85
New London,Colchester,Colchester 3,US House,2,Joe Courtney,WF,67
New London,Colchester,Colchester 4,US House,2,Joe Courtney,WF,27
New London,Colchester,Colchester 1,US House,2,William Clyde,Green,36
New London,Colchester,Colchester 2,US House,2,William Clyde,Green,28
New London,Colchester,Colchester 3,US House,2,William Clyde,Green,9
New London,Colchester,Colchester 4,US House,2,William Clyde,Green,5
New London,Colchester,Colchester 1,US House,2,Daniel Reale,Lbt,31
New London,Colchester,Colchester 2,US House,2,Daniel Reale,Lbt,22
New London,Colchester,Colchester 3,US House,2,Daniel Reale,Lbt,15
New London,Colchester,Colchester 4,US House,2,Daniel Reale,Lbt,4
New London,Colchester,Colchester 1,State Senate,33,Art Linares,Rep,1285
New London,Colchester,Colchester 2,State Senate,33,Art Linares,Rep,803
New London,Colchester,Colchester 3,State Senate,33,Art Linares,Rep,747
New London,Colchester,Colchester 4,State Senate,33,Art Linares,Rep,256
New London,Colchester,Colchester 1,State Senate,33,Emily Bjournberg,Dem,935
New London,Colchester,Colchester 2,State Senate,33,Emily Bjournberg,Dem,529
New London,Colchester,Colchester 3,State Senate,33,Emily Bjournberg,Dem,605
New London,Colchester,Colchester 4,State Senate,33,Emily Bjournberg,Dem,172
New London,Colchester,Colchester 1,State Senate,33,Emily Bjournberg,WF,88
New London,Colchester,Colchester 2,State Senate,33,Emily Bjournberg,WF,48
New London,Colchester,Colchester 3,State Senate,33,Emily Bjournberg,WF,41
New London,Colchester,Colchester 4,State Senate,33,Emily Bjournberg,WF,18
New London,Colchester,Colchester 1,State Senate,33,Art Linares,Ind,96
New London,Colchester,Colchester 2,State Senate,33,Art Linares,Ind,69
New London,Colchester,Colchester 3,State Senate,33,Art Linares,Ind,54
New London,Colchester,Colchester 4,State Senate,33,Art Linares,Ind,20
New London,Colchester,Colchester 1,State Senate,33,Colin Bennett,Green,45
New London,Colchester,Colchester 2,State Senate,33,Colin Bennett,Green,29
New London,Colchester,Colchester 3,State Senate,33,Colin Bennett,Green,19
New London,Colchester,Colchester 4,State Senate,33,Colin Bennett,Green,3
New London,Colchester,Colchester 1,State House,48,Evan Evans,Rep,1061
