county,precinct,office,district,party,candidate,poll,abs,unknown,votes
Hartford,Hartford City 01,Governor,,Rep,Thomas Foley,2,1,0,3
Hartford,Hartford City 02,Governor,,Rep,Thomas Foley,31,0,0,31
Hartford,Hartford City 03,Governor,,Rep,Thomas Foley,114,2,0,116
Hartford,Hartford City 04,Governor,,Rep,Thomas Foley,158,20,0,178
Hartford,Hartford City 05,Governor,,Rep,Thomas Foley,130,3,0,133
Hartford,Hartford City 06,Governor,,Rep,Thomas Foley,25,0,0,25
Hartford,Hartford City 07,Governor,,Rep,Thomas Foley,37,0,0,37
Hartford,Hartford City 08,Governor,,Rep,Thomas Foley,40,1,0,41
Hartford,Hartford City 09,Governor,,Rep,Thomas Foley,31,3,0,34
Hartford,Hartford City 10,Governor,,Rep,Thomas Foley,11,3,0,14
Hartford,Hartford City 11,Governor,,Rep,Thomas Foley,39,1,0,40
Hartford,Hartford City 12,Governor,,Rep,Thomas Foley,64,5,0,69
Hartford,Hartford City 13,Governor,,Rep,Thomas Foley,70,1,0,71
Hartford,Hartford City 14,Governor,,Rep,Thomas Foley,104,3,1,108
Hartford,Hartford City 15,Governor,,Rep,Thomas Foley,175,2,0,177
Hartford,Hartford City 16,Governor,,Rep,Thomas Foley,129,1,0,130
Hartford,Hartford City 17,Governor,,Rep,Thomas Foley,84,2,0,86
Hartford,Hartford City 18,Governor,,Rep,Thomas Foley,134,1,1,136
Hartford,Hartford City 19,Governor,,Rep,Thomas Foley,77,2,0,79
Hartford,Hartford City 20,Governor,,Rep,Thomas Foley,51,1,0,52
Hartford,Hartford City 21,Governor,,Rep,Thomas Foley,74,2,0,76
Hartford,Hartford City 22,Governor,,Rep,Thomas Foley,76,3,0,79
Hartford,Hartford City 23,Governor,,Rep,Thomas Foley,7,1,0,8
Hartford,Hartford City 24,Governor,,Rep,Thomas Foley,47,0,0,47
Hartford,Hartford City CT,Governor,,Rep,Thomas Foley,1710,58,2,1770
Hartford,Hartford City 01,Governor,,Ind,Thomas Foley,0,0,0,0
Hartford,Hartford City 02,Governor,,Ind,Thomas Foley,4,0,0,4
Hartford,Hartford City 03,Governor,,Ind,Thomas Foley,8,0,2,10
Hartford,Hartford City 04,Governor,,Ind,Thomas Foley,9,2,0,11
Hartford,Hartford City 05,Governor,,Ind,Thomas Foley,9,1,0,10
Hartford,Hartford City 06,Governor,,Ind,Thomas Foley,3,0,0,3
Hartford,Hartford City 07,Governor,,Ind,Thomas Foley,2,0,0,2
Hartford,Hartford City 08,Governor,,Ind,Thomas Foley,4,0,0,4
Hartford,Hartford City 09,Governor,,Ind,Thomas Foley,7,0,0,7
Hartford,Hartford City 10,Governor,,Ind,Thomas Foley,5,0,0,5
Hartford,Hartford City 11,Governor,,Ind,Thomas Foley,3,0,0,3
Hartford,Hartford City 12,Governor,,Ind,Thomas Foley,2,0,0,2
Hartford,Hartford City 13,Governor,,Ind,Thomas Foley,3,0,0,3
Hartford,Hartford City 14,Governor,,Ind,Thomas Foley,6,0,0,6
Hartford,Hartford City 15,Governor,,Ind,Thomas Foley,5,0,0,5
Hartford,Hartford City 16,Governor,,Ind,Thomas Foley,7,0,0,7
Hartford,Hartford City 17,Governor,,Ind,Thomas Foley,6,0,0,6
Hartford,Hartford City 18,Governor,,Ind,Thomas Foley,15,0,0,15
Hartford,Hartford City 19,Governor,,Ind,Thomas Foley,6,0,0,6
Hartford,Hartford City 20,Governor,,Ind,Thomas Foley,7,0,0,7
Hartford,Hartford City 21,Governor,,Ind,Thomas Foley,3,0,0,3
Hartford,Hartford City 22,Governor,,Ind,Thomas Foley,10,0,0,10
Hartford,Hartford City 23,Governor,,Ind,Thomas Foley,2,0,0,2
Hartford,Hartford City 24,Governor,,Ind,Thomas Foley,10,0,0,10
Hartford,Hartford City CT,Governor,,Ind,Thomas Foley,136,3,2,141
Hartford,Hartford City 01,Governor,,Dem,Dannel Malloy,60,2,0,62
Hartford,Hartford City 02,Governor,,Dem,Dannel Malloy,978,72,7,1057
Hartford,Hartford City 03,Governor,,Dem,Dannel Malloy,898,20,2,920
Hartford,Hartford City 04,Governor,,Dem,Dannel Malloy,543,53,1,597
Hartford,Hartford City 05,Governor,,Dem,Dannel Malloy,762,47,1,810
Hartford,Hartford City 06,Governor,,Dem,Dannel Malloy,636,30,3,669
Hartford,Hartford City 07,Governor,,Dem,Dannel Malloy,1237,38,6,1281
Hartford,Hartford City 08,Governor,,Dem,Dannel Malloy,1039,18,6,1063
Hartford,Hartford City 09,Governor,,Dem,Dannel Malloy,280,11,2,293
Hartford,Hartford City 10,Governor,,Dem,Dannel Malloy,374,105,2,481
Hartford,Hartford City 11,Governor,,Dem,Dannel Malloy,199,3,0,202
Hartford,Hartford City 12,Governor,,Dem,Dannel Malloy,642,59,0,701
Hartford,Hartford City 13,Governor,,Dem,Dannel Malloy,506,12,0,518
Hartford,Hartford City 14,Governor,,Dem,Dannel Malloy,798,30,3,831
Hartford,Hartford City 15,Governor,,Dem,Dannel Malloy,731,10,0,741
Hartford,Hartford City 16,Governor,,Dem,Dannel Malloy,795,15,0,810
Hartford,Hartford City 17,Governor,,Dem,Dannel Malloy,607,12,0,619
