county,precinct,office,dist,candidate,party,vote
Fairfield,Westport 136-2,US House,1,Jim Himes,Dem,1255
Fairfield,Westport 136-3,US House,1,Jim Himes,Dem,1328
Fairfield,Westport 136-4,US House,1,Jim Himes,Dem,476
Fairfield,Westport 136-5,US House,1,Jim Himes,Dem,744
Fairfield,Westport 136-6,US House,1,Jim Himes,Dem,668
Fairfield,Westport 143-1,US House,1,Jim Himes,Dem,395
Fairfield,Westport Total,US House,1,Jim Himes,Dem,5596
Fairfield,Westport 136-1,US House,1,Jim Himes,WF,28
Fairfield,Westport 136-2,US House,1,Jim Himes,WF,56
Fairfield,Westport 136-3,US House,1,Jim Himes,WF,29
Fairfield,Westport 136-4,US House,1,Jim Himes,WF,14
Fairfield,Westport 136-5,US House,1,Jim Himes,WF,26
Fairfield,Westport 136-6,US House,1,Jim Himes,WF,26
Fairfield,Westport 143-1,US House,1,Jim Himes,WF,13
Fairfield,Westport Total,US House,1,Jim Himes,WF,192
Fairfield,Westport 136-1,US House,4,Dan Debicella,Ind,24
Fairfield,Westport 136-2,US House,4,Dan Debicella,Ind,45
Fairfield,Westport 136-3,US House,4,Dan Debicella,Ind,41
Fairfield,Westport 136-4,US House,4,Dan Debicella,Ind,9
Fairfield,Westport 136-5,US House,4,Dan Debicella,Ind,27
Fairfield,Westport 136-6,US House,4,Dan Debicella,Ind,18
Fairfield,Westport 143-1,US House,4,Dan Debicella,Ind,12
Fairfield,Westport Total,US House,4,Dan Debicella,Ind,176
Fairfield,Westport 136-1,State Senate,26,Toni Boucher,Rep,811
Fairfield,Westport 136-2,State Senate,26,Toni Boucher,Rep,1189
Fairfield,Westport 136-3,State Senate,26,Toni Boucher,Rep,1269
Fairfield,Westport 136-4,State Senate,26,Toni Boucher,Rep,443
Fairfield,Westport 136-5,State Senate,28,Tony Hwang,Rep,561
Fairfield,Westport 136-6,State Senate,26,Toni Boucher,Rep,536
Fairfield,Westport 143-1,State Senate,26,Toni Boucher,Rep,432
Fairfield,Westport Total,State Senate,26,Toni Boucher,Rep,4680
Fairfield,Westport Total,State Senate,28,Tony Hwang,Rep,561
Fairfield,Westport 136-1,State Senate,26,Philip Sharlach,Dem,526
Fairfield,Westport 136-2,State Senate,26,Philip Sharlach,Dem,909
Fairfield,Westport 136-3,State Senate,26,Philip Sharlach,Dem,988
Fairfield,Westport 136-4,State Senate,26,Philip Sharlach,Dem,343
Fairfield,Westport 136-5,State Senate,28,Kim Fawcett,Dem,695
Fairfield,Westport 136-6,State Senate,26,Philip Sharlach,Dem,492
Fairfield,Westport 143-1,State Senate,26,Philip Sharlach,Dem,277
Fairfield,Westport Total,State Senate,26,Philip Sharlach,Dem,3535
Fairfield,Westport Total,State Senate,26,Kim Fawcett,Dem,695
Fairfield,Westport 136-1,State Senate,26,Philip Sharlach,WF,21
Fairfield,Westport 136-2,State Senate,26,Philip Sharlach,WF,40
Fairfield,Westport 136-3,State Senate,26,Philip Sharlach,WF,24
Fairfield,Westport 136-4,State Senate,26,Philip Sharlach,WF,10
Fairfield,Westport 136-5,State Senate,28,Kim Fawcett,WF,26
Fairfield,Westport 136-6,State Senate,26,Philip Sharlach,WF,25
Fairfield,Westport 143-1,State Senate,26,Philip Sharlach,WF,11
Fairfield,Westport Total,State Senate,26,Philip Sharlach,WF,3555
Fairfield,Westport Total,State Senate,28,Kim Fawcett,WF,26
Fairfield,Westport 136-5,State Senate,28,Tony Hwang,Ind,32
Fairfield,Westport Total,State Senate,28,Tony Hwang,Ind,32
Fairfield,Westport 136-1,State House,136,Brandi Briggs,Rep,662
Fairfield,Westport 136-2,State House,136,Brandi Briggs,Rep,875
Fairfield,Westport 136-3,State House,136,Brandi Briggs,Rep,1025
Fairfield,Westport 136-4,State House,136,Brandi Briggs,Rep,357
Fairfield,Westport 136-5,State House,136,Brandi Briggs,Rep,550
Fairfield,Westport 136-6,State House,136,Brandi Briggs,Rep,418
Fairfield,Westport Total,State House,136,Brandi Briggs,Rep,3887
Fairfield,Westport 136-1,State House,136,Jonathan Steinberg,Dem,65
Fairfield,Westport 136-2,State House,136,Jonathan Steinberg,Dem,1248
Fairfield,Westport 136-3,State House,136,Jonathan Steinberg,Dem,1241
Fairfield,Westport 136-4,State House,136,Jonathan Steinberg,Dem,455
Fairfield,Westport 136-5,State House,136,Jonathan Steinberg,Dem,731
Fairfield,Westport 136-6,State Senate,136,Jonathan Steinberg,Dem,639
Fairfield,Westport Total,State House,136,Jonathan Steinberg,Dem,5009
Fairfield,Westport 136-1,State House,136,Brandi Briggs,Ind,26
Fairfield,Westport 136-2,State House,136,Brandi Briggs,Ind,59
Fairfield,Westport 136-3,State House,136,Brandi Briggs,Ind,59
Fairfield,Westport 136-4,State House,136,Brandi Briggs,Ind,16
Fairfield,Westport 136-5,State House,136,Brandi Briggs,Ind,37
Fairfield,Westport 136-6,State Senate,136,Brandi Briggs,Ind,18
Fairfield,Westport Total,State House,136,Brandi Briggs,Ind,215
Fairfield,Westport 143-1,State House,143,Gail Lavielle,Rep,434
Fairfield,Westport 143-1,State House,143,Keith Rodgerson,Dem,282
Fairfield,Westport Total,State House,143,Gail Lavielle,Rep,434
Fairfield,Westport Total,State House,143,Keith Rodgerson,Dem,282
Fairfield,Westport 136-1,Secretary of State,,Peter Lumaj,Rep,644
Fairfield,Westport 136-2,Secretary of State,,Peter Lumaj,Rep,903
Fairfield,Westport 136-3,Secretary of State,,Peter Lumaj,Rep,979
Fairfield,Westport 136-4,Secretary of State,,Peter Lumaj,Rep,360
Fairfield,Westport 136-5,Secretary of State,,Peter Lumaj,Rep,540
Fairfield,Westport 136-6,Secretary of State,,Peter Lumaj,Rep,402
Fairfield,Westport 143-1,Secretary of State,,Peter Lumaj,Rep,342
Fairfield,Westport Total,Secretary of State,,Peter Lumaj,Rep,4170
Fairfield,Westport 136-1,Secretary of State,,Denise Merrill,Dem,630
Fairfield,Westport 136-2,Secretary of State,,Denise Merrill,Dem,1096
Fairfield,Westport 136-3,Secretary of State,,Denise Merrill,Dem,1166
Fairfield,Westport 136-4,Secretary of State,,Denise Merrill,Dem,406
Fairfield,Westport 136-5,Secretary of State,,Denise Merrill,Dem,669
Fairfield,Westport 136-6,Secretary of State,,Denise Merrill,Dem,593
Fairfield,Westport 143-1,Secretary of State,,Denise Merrill,Dem,329
Fairfield,Westport Total,Secretary of State,,Denise Merrill,Dem,4889
Fairfield,Westport 136-1,Secretary of State,,Denise Merrill,WF,24
Fairfield,Westport 136-2,Secretary of State,,Denise Merrill,WF,35
Fairfield,Westport 136-3,Secretary of State,,Denise Merrill,WF,35
Fairfield,Westport 136-4,Secretary of State,,Denise Merrill,WF,3
Fairfield,Westport 136-5,Secretary of State,,Denise Merrill,WF,27
Fairfield,Westport 136-6,Secretary of State,,Denise Merrill,WF,16
Fairfield,Westport 143-1,Secretary of State,,Denise Merrill,WF,13
Fairfield,Westport Total,Secretary of State,,Denise Merrill,WF,153
Fairfield,Westport 1,Secretary of State,,Peter Lumaj,Ind,27
Fairfield,Westport 2,Secretary of State,,Peter Lumaj,Ind,41
Fairfield,Westport 136-1,Secretary of State,,Peter Lumaj,Ind,53
Fairfield,Westport 136-2,Secretary of State,,Peter Lumaj,Ind,16
Fairfield,Westport 136-3,Secretary of State,,Peter Lumaj,Ind,25
Fairfield,Westport 136-4,Secretary of State,,Peter Lumaj,Ind,13
Fairfield,Westport 136-5,Secretary of State,,Peter Lumaj,Ind,7
Fairfield,Westport 136-6,Secretary of State,,Peter Lumaj,Ind,182
Fairfield,Westport 136-1,Secretary of State,,Michael DeRosa,Green,17
Fairfield,Westport 136-2,Secretary of State,,Michael DeRosa,Green,33
Fairfield,Westport 136-3,Secretary of State,,Michael DeRosa,Green,31
Fairfield,Westport 136-4,Secretary of State,,Michael DeRosa,Green,16
Fairfield,Westport 136-5,Secretary of State,,Michael DeRosa,Green,17
Fairfield,Westport 136-6,Secretary of State,,Michael DeRosa,Green,14
Fairfield,Westport 143-1,Secretary of State,,Michael DeRosa,Green,15
Fairfield,Westport Total,Secretary of State,,Michael DeRosa,Green,143
Fairfield,Westport 136-1,State Treasurer,,Tim Herbst,Rep,677
Fairfield,Westport 136-2,State Treasurer,,Tim Herbst,Rep,962
Fairfield,Westport 136-3,State Treasurer,,Tim Herbst,Rep,1047
Fairfield,Westport 136-4,State Treasurer,,Tim Herbst,Rep,379
Fairfield,Westport 136-5,State Treasurer,,Tim Herbst,Rep,578
Fairfield,Westport 136-6,State Treasurer,,Tim Herbst,Rep,427
Fairfield,Westport 143-1,State Treasurer,,Tim Herbst,Rep,353
Fairfield,Westport Total,State Treasurer,,Tim Herbst,Rep,4423
Fairfield,Westport 136-1,State Treasurer,,Denise Nappier,Dem,607
Fairfield,Westport 136-2,State Treasurer,,Denise Nappier,Dem,1053
Fairfield,Westport 136-3,State Treasurer,,Denise Nappier,Dem,1135
Fairfield,Westport 136-4,State Treasurer,,Denise Nappier,Dem,390
Fairfield,Westport 136-5,State Treasurer,,Denise Nappier,Dem,649
Fairfield,Westport 136-6,State Treasurer,,Denise Nappier,Dem,576
Fairfield,Westport 143-1,State Treasurer,,Denise Nappier,Dem,333
Fairfield,Westport Total,State Treasurer,,Denise Nappier,Dem,4743
Fairfield,Westport 136-1,State Treasurer,,Denise Nappier,WF,25
Fairfield,Westport 136-2,State Treasurer,,Denise Nappier,WF,44
Fairfield,Westport 136-3,State Treasurer,,Denise Nappier,WF,30
Fairfield,Westport 136-4,State Treasurer,,Denise Nappier,WF,10
Fairfield,Westport 136-5,State Treasurer,,Denise Nappier,WF,24
Fairfield,Westport 136-6,State Treasurer,,Denise Nappier,WF,22
Fairfield,Westport 143-1,State Treasurer,,Denise Nappier,WF,10
Fairfield,Westport Total,State Treasurer,,Denise Nappier,WF,165
Fairfield,Westport 136-1,State Treasurer,,Tim Herbst,Ind,30
Fairfield,Westport 136-2,State Treasurer,,Tim Herbst,Ind,51
Fairfield,Westport 136-3,State Treasurer,,Tim Herbst,Ind,53
Fairfield,Westport 136-4,State Treasurer,,Tim Herbst,Ind,17
Fairfield,Westport 136-5,State Treasurer,,Tim Herbst,Ind,30
Fairfield,Westport 136-6,State Treasurer,,Tim Herbst,Ind,19
Fairfield,Westport 143-1,State Treasurer,,Tim Herbst,Ind,10
Fairfield,Westport Total,State Treasurer,,Tim Herbst,Ind,210
Fairfield,Westport 136-1,Comptroller,,Sharon McLaughlin,Rep,671
Fairfield,Westport 136-2,Comptroller,,Sharon McLaughlin,Rep,923
Fairfield,Westport 136-3,Comptroller,,Sharon McLaughlin,Rep,1031
Fairfield,Westport 136-4,Comptroller,,Sharon McLaughlin,Rep,383
Fairfield,Westport 136-5,Comptroller,,Sharon McLaughlin,Rep,565
Fairfield,Westport 136-6,Comptroller,,Sharon McLaughlin,Rep,423
Fairfield,Westport 143-1,Comptroller,,Sharon McLaughlin,Rep,353
Fairfield,Westport Total,Comptroller,,Sharon McLaughlin,Rep,4349
Fairfield,Westport 136-1,Comptroller,,Kevin Lembo,Dem,592
Fairfield,Westport 136-2,Comptroller,,Kevin Lembo,Dem,1045
Fairfield,Westport 136-3,Comptroller,,Kevin Lembo,Dem,1119
Fairfield,Westport 136-4,Comptroller,,Kevin Lembo,Dem,374
Fairfield,Westport 136-5,Comptroller,,Kevin Lembo,Dem,639
Fairfield,Westport 136-6,Comptroller,,Kevin Lembo,Dem,554
Fairfield,Westport 143-1,Comptroller,,Kevin Lembo,Dem,320
Fairfield,Westport Total,Comptroller,,Kevin Lembo,Dem,4643
Fairfield,Westport 136-1,Comptroller,,Kevin Lembo,WF,19
Fairfield,Westport 136-2,Comptroller,,Kevin Lembo,WF,36
Fairfield,Westport 136-3,Comptroller,,Kevin Lembo,WF,26
Fairfield,Westport 136-4,Comptroller,,Kevin Lembo,WF,7
Fairfield,Westport 136-5,Comptroller,,Kevin Lembo,WF,21
Fairfield,Westport 136-6,Comptroller,,Kevin Lembo,WF,18
Fairfield,Westport 143-1,Comptroller,,Kevin Lembo,WF,8
Fairfield,Westport Total,Comptroller,,Kevin Lembo,WF,135
Fairfield,Westport 136-1,Comptroller,,Sharon McLaughlin,Ind,27
Fairfield,Westport 136-2,Comptroller,,Sharon McLaughlin,Ind,54
Fairfield,Westport 136-3,Comptroller,,Sharon McLaughlin,Ind,56
Fairfield,Westport 136-4,Comptroller,,Sharon McLaughlin,Ind,17
Fairfield,Westport 136-5,Comptroller,,Sharon McLaughlin,Ind,33
Fairfield,Westport 136-6,Comptroller,,Sharon McLaughlin,Ind,26
Fairfield,Westport 143-1,Comptroller,,Sharon McLaughlin,Ind,10
Fairfield,Westport Total,Comptroller,,Sharon McLaughlin,Ind,223
Fairfield,Westport 136-1,Comptroller,,Rolf Maurer,Green,14
Fairfield,Westport 136-2,Comptroller,,Rolf Maurer,Green,24
Fairfield,Westport 136-3,Comptroller,,Rolf Maurer,Green,18
Fairfield,Westport 136-4,Comptroller,,Rolf Maurer,Green,12
Fairfield,Westport 136-5,Comptroller,,Rolf Maurer,Green,12
Fairfield,Westport 136-6,Comptroller,,Rolf Maurer,Green,15
Fairfield,Westport 143-1,Comptroller,,Rolf Maurer,Green,10
Fairfield,Westport Total,Comptroller,,Rolf Maurer,Green,105
Fairfield,Westport 136-1,Attorney General,,Kie Westby,Rep,639
Fairfield,Westport 136-2,Attorney General,,Kie Westby,Rep,856
Fairfield,Westport 136-3,Attorney General,,Kie Westby,Rep,943
Fairfield,Westport 136-4,Attorney General,,Kie Westby,Rep,343
Fairfield,Westport 136-5,Attorney General,,Kie Westby,Rep,529
Fairfield,Westport 136-6,Attorney General,,Kie Westby,Rep,386
Fairfield,Westport 143-1,Attorney General,,Kie Westby,Rep,326
Fairfield,Westport Total,Attorney General,,Kie Westby,Rep,4022
Fairfield,Westport 136-1,Attorney General,,George Jepsen,Dem,644
Fairfield,Westport 136-2,Attorney General,,George Jepsen,Dem,1145
Fairfield,Westport 136-3,Attorney General,,George Jepsen,Dem,1216
Fairfield,Westport 136-4,Attorney General,,George Jepsen,Dem,427
Fairfield,Westport 136-5,Attorney General,,George Jepsen,Dem,688
Fairfield,Westport 136-6,Attorney General,,George Jepsen,Dem,593
Fairfield,Westport 143-1,Attorney General,,George Jepsen,Dem,343
Fairfield,Westport Total,Attorney General,,George Jepsen,Dem,5056
Fairfield,Westport 136-1,Attorney General,,George Jepsen,WF,19
Fairfield,Westport 136-2,Attorney General,,George Jepsen,WF,36
Fairfield,Westport 136-3,Attorney General,,George Jepsen,WF,35
Fairfield,Westport 136-4,Attorney General,,George Jepsen,WF,7
Fairfield,Westport 136-5,Attorney General,,George Jepsen,WF,23
Fairfield,Westport 136-6,Attorney General,,George Jepsen,WF,25
Fairfield,Westport 143-1,Attorney General,,George Jepsen,WF,12
Fairfield,Westport Total,Attorney General,,George Jepsen,WF,157
Fairfield,Westport 136-1,Attorney General,,Kie Westby,Ind,24
Fairfield,Westport 136-2,Attorney General,,Kie Westby,Ind,48
Fairfield,Westport 136-3,Attorney General,,Kie Westby,Ind,56
Fairfield,Westport 136-4,Attorney General,,Kie Westby,Ind,13
Fairfield,Westport 136-5,Attorney General,,Kie Westby,Ind,28
Fairfield,Westport 136-6,Attorney General,,Kie Westby,Ind,15
Fairfield,Westport 143-1,Attorney General,,Kie Westby,Ind,8
Fairfield,Westport Total,Attorney General,,Kie Westby,Ind,192
Fairfield,Westport 136-1,Attorney General,,Stephen Fournier,Green,14
Fairfield,Westport 136-2,Attorney General,,Stephen Fournier,Green,30
Fairfield,Westport 136-3,Attorney General,,Stephen Fournier,Green,24
Fairfield,Westport 136-4,Attorney General,,Stephen Fournier,Green,11
Fairfield,Westport 136-5,Attorney General,,Stephen Fournier,Green,17
Fairfield,Westport 136-6,Attorney General,,Stephen Fournier,Green,14
Fairfield,Westport 143-1,Attorney General,,Stephen Fournier,Green,13
Fairfield,Westport Total,Attorney General,,Stephen Fournier,Green,123
