county,precinct,office,dist,candidate,party,vote
Fairfield,Westport 136-1,Governor,,Thomas Foley,Rep,694
Fairfield,Westport 136-2,Governor,,Thomas Foley,Rep,937
Fairfield,Westport 136-3,Governor,,Thomas Foley,Rep,1021
Fairfield,Westport 136-4,Governor,,Thomas Foley,Rep,373
Fairfield,Westport 136-5,Governor,,Thomas Foley,Rep,575
Fairfield,Westport 136-6,Governor,,Thomas Foley,Rep,409
Fairfield,Westport 143-1,Governor,,Thomas Foley,Rep,349
Fairfield,Westport Total,Governor,,Thomas Foley,Rep,4358
Fairfield,Westport 136-1,Governor,,Dannel Malloy,Dem,667
Fairfield,Westport 136-2,Governor,,Dannel Malloy,Dem,1182
Fairfield,Westport 136-3,Governor,,Dannel Malloy,Dem,1250
Fairfield,Westport 136-4,Governor,,Dannel Malloy,Dem,455
Fairfield,Westport 136-5,Governor,,Dannel Malloy,Dem,715
Fairfield,Westport 136-6,Governor,,Dannel Malloy,Dem,634
Fairfield,Westport 143-1,Governor,,Dannel Malloy,Dem,369
Fairfield,Westport Total,Governor,,Dannel Malloy,Dem,5272
Fairfield,Westport 136-1,Governor,,Dannel Malloy,WF,20
Fairfield,Westport 136-2,Governor,,Dannel Malloy,WF,42
Fairfield,Westport 136-3,Governor,,Dannel Malloy,WF,23
Fairfield,Westport 136-4,Governor,,Dannel Malloy,WF,7
Fairfield,Westport 136-5,Governor,,Dannel Malloy,WF,19
Fairfield,Westport 136-6,Governor,,Dannel Malloy,WF,22
Fairfield,Westport 143-1,Governor,,Dannel Malloy,WF,11
Fairfield,Westport Total,Governor,,Dannel Malloy,WF,144
Fairfield,Westport 136-1,Governor,,Thomas Foley,Ind,26
Fairfield,Westport 136-2,Governor,,Thomas Foley,Ind,40
Fairfield,Westport 136-3,Governor,,Thomas Foley,Ind,47
Fairfield,Westport 136-4,Governor,,Thomas Foley,Ind,12
Fairfield,Westport 136-5,Governor,,Thomas Foley,Ind,25
Fairfield,Westport 136-6,Governor,,Thomas Foley,Ind,18
Fairfield,Westport 143-1,Governor,,Thomas Foley,Ind,8
Fairfield,Westport Total,Governor,,Thomas Foley,Ind,176
Fairfield,Westport 136-1,Governor,,Joe Visconti,Pet,3
Fairfield,Westport 136-2,Governor,,Joe Visconti,Pet,7
Fairfield,Westport 136-3,Governor,,Joe Visconti,Pet,5
Fairfield,Westport 136-4,Governor,,Joe Visconti,Pet,1
Fairfield,Westport 136-5,Governor,,Joe Visconti,Pet,4
Fairfield,Westport 136-6,Governor,,Joe Visconti,Pet,3
Fairfield,Westport 143-1,Governor,,Joe Visconti,Pet,1
Fairfield,Westport Total,Governor,,Joe Visconti,Pet,24
Fairfield,Westport 136-5,Governor,,Jonathan Pelto,write-in,2
Fairfield,Westport Total,Governor,,Jonathan Pelto,write-in,2
Fairfield,Westport 136-1,US House,4,Dan Debicella,Rep,610
Fairfield,Westport 136-2,US House,4,Dan Debicella,Rep,843
Fairfield,Westport 136-3,US House,4,Dan Debicella,Rep,937
Fairfield,Westport 136-4,US House,4,Dan Debicella,Rep,333
Fairfield,Westport 136-5,US House,4,Dan Debicella,Rep,536
Fairfield,Westport 136-6,US House,4,Dan Debicella,Rep,366
Fairfield,Westport 143-1,US House,4,Dan Debicella,Rep,312
Fairfield,Westport Total,US House,4,Dan Debicella,Rep,3937
Fairfield,Westport 136-1,US House,1,Jim Himes,Dem,730
