town,office,district,party,candidate,votes
Ashford,Governor,,REP,Thomas C. Foley,755
Ashford,Governor,,DEM,Dannel P. Malloy,821
Ashford,Governor,,WOR,Dannel P. Malloy,42
Ashford,Governor,,IND,Thomas C. Foley,40
Ashford,Governor,,,Joe Visconti,28
Ashford,Governor,,,Jonathan Pelto,4
Ashford,Governor,,,John Renjilian,0
Ashford,Governor,,,John Traceski,0
Ashford,Governor,,,Daniel R. Galta,0
Ashford,U.S. House,2,REP,Lori Hopkins-Cavanagh,536
Ashford,U.S. House,2,DEM,Joe Courtney,964
Ashford,U.S. House,2,WOR,Joe Courtney,95
Ashford,U.S. House,2,GRN,William C. Clyde,22
Ashford,U.S. House,2,LIB,Daniel Reale,32
Ashford,State Senate,35,REP,Tony Guglielmo,1077
Ashford,State Senate,35,WOR,Andrea Penta,269
Ashford,State House,53,REP,Sam Belsito,729
Ashford,State House,53,DEM,Rick Field,816
Ashford,State House,53,IND,Sam Belsito,78
Ashford,Secretary of State,,REP,Peter Lumaj,690
Ashford,Secretary of State,,DEM,Denise W. Merrill,794
Ashford,Secretary of State,,WOR,Denise W. Merrill,68
Ashford,Secretary of State,,IND,Peter Lumaj,47
Ashford,Secretary of State,,GRN,S. Michael DeRosa,52
Ashford,Treasurer,,REP,Timothy M. Herbst,727
Ashford,Treasurer,,DEM,Denise L. Nappler,778
Ashford,Treasurer,,WOR,Denise L. Nappler,63
Ashford,Treasurer,,IND,Timothy M. Herbst,69
Ashford,Treasurer,,,Rolf Maurer,0
Ashford,Comptroller,,REP,Sharon J. McLaughlin,659
Ashford,Comptroller,,DEM,Kevin Lembo,813
Ashford,Comptroller,,WOR,Kevin Lembo,56
Ashford,Comptroller,,IND,Sharon J. McLaughlin,53
Ashford,Comptroller,,GRN,Rolf Maurer,36
Ashford,Registered Voters,,,,2658
Ashford,Ballots Cast,,,,1706
