county,town,office,district,party,candidate,poll,absentee,edr,votes
Middlesex,Middletown 01,Governor,,REP,Thomas C. Foley,168,12,4,184
Middlesex,Middletown 01,Governor,,IND,Thomas C. Foley,12,0,1,13
Middlesex,Middletown 01,Governor,,UNK,Thomas C. Foley,3,0,0,3
Middlesex,Middletown 01,Governor,,DEM,Dannel P. Malloy,432,25,21,478
Middlesex,Middletown 01,Governor,,WF,Dannel P. Malloy,58,2,5,65
Middlesex,Middletown 01,Governor,,UNK,Dannel P. Malloy,32,0,0,32
Middlesex,Middletown 01,Governor,,PC,Joe Visconti,8,0,0,8
Middlesex,Middletown 01,U.S. House,3,REP,James Brown,142,8,4,154
Middlesex,Middletown 01,U.S. House,3,DEM,Rosa DeLauro,465,27,18,510
Middlesex,Middletown 01,U.S. House,3,WF,Rosa DeLauro,75,1,7,83
Middlesex,Middletown 01,U.S. House,3,UNK,Rosa DeLauro,13,0,0,13
Middlesex,Middletown 01,State Senate,9,REP,Earle Roberts,154,5,3,162
Middlesex,Middletown 01,State Senate,9,DEM,Paul Doyle,512,30,25,567
Middlesex,Middletown 01,State Assembly,100,REP,Angel Fernandez,139,6,3,148
Middlesex,Middletown 01,State Assembly,100,DEM,Matt Lesser,449,28,19,496
Middlesex,Middletown 01,State Assembly,100,WF,Matt Lesser,76,2,7,85
Middlesex,Middletown 01,State Assembly,100,UNK,Matt Lesser,10,0,0,10
Middlesex,Middletown 01,Secretary of State,,REP,Peter Lumaj,152,11,5,168
Middlesex,Middletown 01,Secretary of State,,IND,Peter Lumaj,10,0,0,10
Middlesex,Middletown 01,Secretary of State,,UNK,Peter Lumaj,2,0,0,2
Middlesex,Middletown 01,Secretary of State,,DEM,Denise Merrill,412,25,17,454
Middlesex,Middletown 01,Secretary of State,,WF,Denise Merrill,52,2,1,55
Middlesex,Middletown 01,Secretary of State,,UNK,Denise Merrill,10,0,0,10
Middlesex,Middletown 01,Secretary of State,,Green,Michael DeRosa,39,0,5,44
Middlesex,Middletown 01,State Treasurer,,REP,Tim Herbst,156,10,5,171
