county,town,precinct,office,district,candidate,party,votes
Hartford,Bristol,Bristol 77-01,Governor,,Thomas Foley,Rep,1089
Hartford,Bristol,Bristol 77-01,Governor,,Thomas Foley,Ind,63
Hartford,Bristol,Bristol 77-02,Governor,,Thomas Foley,Rep,1217
Hartford,Bristol,Bristol 77-02,Governor,,Thomas Foley,Ind,39
Hartford,Bristol,Bristol 77-03,Governor,,Thomas Foley,Rep,965
Hartford,Bristol,Bristol 77-03,Governor,,Thomas Foley,Ind,33
Hartford,Bristol,Bristol 77-04,Governor,,Thomas Foley,Rep,555
Hartford,Bristol,Bristol 77-04,Governor,,Thomas Foley,Ind,26
Hartford,Bristol,Bristol 78-01,Governor,,Thomas Foley,Rep,1254
Hartford,Bristol,Bristol 78-01,Governor,,Thomas Foley,Ind,45
Hartford,Bristol,Bristol 78-02,Governor,,Thomas Foley,Rep,944
Hartford,Bristol,Bristol 78-02,Governor,,Thomas Foley,Ind,39
Hartford,Bristol,Bristol 79-01,Governor,,Thomas Foley,Rep,892
Hartford,Bristol,Bristol 79-01,Governor,,Thomas Foley,Ind,64
Hartford,Bristol,Bristol 79-02,Governor,,Thomas Foley,Rep,668
Hartford,Bristol,Bristol 79-02,Governor,,Thomas Foley,Ind,27
Hartford,Bristol,Bristol 79-03,Governor,,Thomas Foley,Rep,1144
Hartford,Bristol,Bristol 79-03,Governor,,Thomas Foley,Ind,60
Hartford,Bristol,Bristol Total,Governor,,Thomas Foley,Rep,8728
Hartford,Bristol,Bristol Total,Governor,,Thomas Foley,Ind,396
Hartford,Bristol,Bristol 77-01,Governor,,Dannel Malloy,Dem,955
Hartford,Bristol,Bristol 77-01,Governor,,Dannel Malloy,WF,39
Hartford,Bristol,Bristol 77-02,Governor,,Dannel Malloy,Dem,1173
Hartford,Bristol,Bristol 77-02,Governor,,Dannel Malloy,WF,47
Hartford,Bristol,Bristol 77-03,Governor,,Dannel Malloy,Dem,1024
Hartford,Bristol,Bristol 77-03,Governor,,Dannel Malloy,WF,41
Hartford,Bristol,Bristol 77-04,Governor,,Dannel Malloy,Dem,548
Hartford,Bristol,Bristol 77-04,Governor,,Dannel Malloy,WF,23
Hartford,Bristol,Bristol 78-01,Governor,,Dannel Malloy,Dem,805
Hartford,Bristol,Bristol 78-01,Governor,,Dannel Malloy,WF,27
Hartford,Bristol,Bristol 78-02,Governor,,Dannel Malloy,Dem,693
Hartford,Bristol,Bristol 78-02,Governor,,Dannel Malloy,WF,38
Hartford,Bristol,Bristol 79-01,Governor,,Dannel Malloy,Dem,935
Hartford,Bristol,Bristol 79-01,Governor,,Dannel Malloy,WF,54
Hartford,Bristol,Bristol 79-02,Governor,,Dannel Malloy,Dem,780
Hartford,Bristol,Bristol 79-02,Governor,,Dannel Malloy,WF,40
Hartford,Bristol,Bristol 79-03,Governor,,Dannel Malloy,Dem,1015
Hartford,Bristol,Bristol 79-03,Governor,,Dannel Malloy,WF,45
Hartford,Bristol,Bristol Total,Governor,,Dannel Malloy,Dem,7928
Hartford,Bristol,Bristol Total,Governor,,Dannel Malloy,WF,354
Hartford,Bristol,Bristol 77-01,Governor,,Joe Visconti,Pet,30
Hartford,Bristol,Bristol 77-02,Governor,,Joe Visconti,Pet,28
Hartford,Bristol,Bristol 77-03,Governor,,Joe Visconti,Pet,36
Hartford,Bristol,Bristol 77-04,Governor,,Joe Visconti,Pet,22
Hartford,Bristol,Bristol 78-01,Governor,,Joe Visconti,Pet,23
Hartford,Bristol,Bristol 78-02,Governor,,Joe Visconti,Pet,26
Hartford,Bristol,Bristol 79-01,Governor,,Joe Visconti,Pet,43
Hartford,Bristol,Bristol 79-02,Governor,,Joe Visconti,Pet,22
Hartford,Bristol,Bristol 79-03,Governor,,Joe Visconti,Pet,36
Hartford,Bristol,Bristol Total,Governor,,Joe Visconti,Pet,266
Hartford,Bristol,Bristol 77-01,Governor,,Jonathan Pelto,write-in,1
Hartford,Bristol,Bristol 77-03,Governor,,Gaita,write-in,1
Hartford,Bristol,Bristol 77-03,Governor,,Jonathan Pelto,write-in,3
Hartford,Bristol,Bristol 78-01,Governor,,Gaita,write-in,1
Hartford,Bristol,Bristol 79-01,Governor,,Jonathan Pelto,write-in,3
Hartford,Bristol,Bristol 79-02,Governor,,Jonathan Pelto,write-in,3
Hartford,Bristol,Bristol Total,Governor,,Gaita,write-in,2
Hartford,Bristol,Bristol Total,Governor,,Jonathan Pelto,write-in,10
