county,precinct,office,district,party,candidate,votes,poll,abs,edr,unkown
Hartford,East Hartford 1,Governor,,Rep,Foley/Scott,400,369,19,4,8
Hartford,East Hartford 1,Governor,,Dem,Malloy/Wyman,1181,961,21,45,154
Hartford,East Hartford 1,Governor,,WF,Malloy/Wyman,46,36,1,3,6
Hartford,East Hartford 1,Governor,,Ind,Foley/Scott,20,19,,1,
Hartford,East Hartford 1,Governor,,PC,Visconti/Harris,11,11,,,
Hartford,East Hartford 2,Governor,,Rep,Foley/Scott,465,443,9,2,11
Hartford,East Hartford 2,Governor,,Dem,Malloy/Wyman,824,718,14,19,73
Hartford,East Hartford 2,Governor,,WF,Malloy/Wyman,40,35,,1,4
Hartford,East Hartford 2,Governor,,Ind,Foley/Scott,26,25,1,,
Hartford,East Hartford 2,Governor,,PC,Visconti/Harris,23,21,2,,
Hartford,East Hartford 3,Governor,,Rep,Foley/Scott,324,308,8,5,3
Hartford,East Hartford 3,Governor,,Dem,Malloy/Wyman,739,657,8,13,61
Hartford,East Hartford 3,Governor,,WF,Malloy/Wyman,30,28,,,2
Hartford,East Hartford 3,Governor,,Ind,Foley/Scott,17,15,1,1,
Hartford,East Hartford 3,Governor,,PC,Visconti/Harris,17,14,2,1,
Hartford,East Hartford 4,Governor,,Rep,Foley/Scott,410,366,27,9,8
Hartford,East Hartford 4,Governor,,Dem,Malloy/Wyman,1396,"1,118",78,40,160
Hartford,East Hartford 4,Governor,,WF,Malloy/Wyman,45,37,2,1,5
Hartford,East Hartford 4,Governor,,Ind,Foley/Scott,28,22,3,2,1
Hartford,East Hartford 4,Governor,,PC,Visconti/Harris,19,16,2,1,
Hartford,East Hartford 5,Governor,,Rep,Foley/Scott,507,476,12,12,7
Hartford,East Hartford 5,Governor,,Dem,Malloy/Wyman,1027,903,23,21,80
Hartford,East Hartford 5,Governor,,WF,Malloy/Wyman,53,48,,1,4
Hartford,East Hartford 5,Governor,,Ind,Foley/Scott,22,20,1,1,
Hartford,East Hartford 5,Governor,,PC,Visconti/Harris,19,18,1,,
Hartford,East Hartford 6,Governor,,Rep,Foley/Scott,804,776,14,2,12
Hartford,East Hartford 6,Governor,,Dem,Malloy/Wyman,1167,"1,062",31,11,63
Hartford,East Hartford 6,Governor,,WF,Malloy/Wyman,59,54,1,1,3
Hartford,East Hartford 6,Governor,,Ind,Foley/Scott,33,30,2,1,
Hartford,East Hartford 6,Governor,,PC,Visconti/Harris,25,25,,,
Hartford,East Hartford 7,Governor,,Rep,Foley/Scott,954,911,23,11,9
Hartford,East Hartford 7,Governor,,Dem,Malloy/Wyman,1191,"1,094",30,21,46
Hartford,East Hartford 7,Governor,,WF,Malloy/Wyman,89,79,3,4,3
Hartford,East Hartford 7,Governor,,Ind,Foley/Scott,34,34,,,
Hartford,East Hartford 7,Governor,,PC,Visconti/Harris,24,24,,,
Hartford,East Hartford 6,Governor,,write-in,Pelto/Murphy,3,3,,,
Hartford,East Hartford 7,Governor,,write-in,Pelto/Murphy,1,1,,,
Hartford,East Hartford 1,US House,1,Rep,Matthew Corey,310,291,15,4,0
Hartford,East Hartford 1,US House,1,Dem,John Larson,1211,"1,032",23,44,109
Hartford,East Hartford 1,US House,1,WF,John Larson,62,54,1,4,6
Hartford,East Hartford 1,US House,1,Green,Jeffrey Russell,15,14,1,,0
Hartford,East Hartford 2,US House,1,Rep,Matthew Corey,333,323,7,3,0
