county,precinct,office,district,party,candidate,votes,poll,abs,edr
Middlesex,Middletown 1,Governor,,Rep,Tom Foley,187,171,12,4
Middlesex,Middletown 1,Governor,,Ind,Tom Foley,13,12,0,1
Middlesex,Middletown 1,Governor,,Dem,Dan Malloy,506,460,25,21
Middlesex,Middletown 1,Governor,,WF,Dan Malloy,69,62,2,5
Middlesex,Middletown 1,Governor,,PC,Joe Visconti,8,8,0,0
Middlesex,Middletown 1,US House,3,Rep,James Brown,154,142,8,4
Middlesex,Middletown 1,US House,3,Dem,Rosa DeLauro,521,476,27,18
Middlesex,Middletown 1,US House,3,WF,Rosa DeLauro,85,77,1,7
Middlesex,Middletown 1,State Senate,9,Rep,Earle Roberts,162,154,5,3
Middlesex,Middletown 1,State Senate,9,Dem,Paul Doyle,567,512,30,25
Middlesex,Middletown 1,State Assembly,100,Rep,Angel Fernandez,148,139,6,3
Middlesex,Middletown 1,State Assembly,100,Dem,Matt Lesser,504,457,28,19
Middlesex,Middletown 1,State Assembly,100,WF,Matt Lesser,87,78,2,7
Middlesex,Middletown 1,Secretary of State,,Rep,Peter Lumaj,170,154,11,5
Middlesex,Middletown 1,Secretary of State,,Ind,Peter Lumaj,10,10,0,0
Middlesex,Middletown 1,Secretary of State,,Dem,Denise Merrill,462,420,25,17
Middlesex,Middletown 1,Secretary of State,,WF,Denise Merrill,57,54,2,1
Middlesex,Middletown 1,Secretary of State,,Green,Michael DeRosa,44,39,0,5
Middlesex,Middletown 1,Treasurer,,Rep,Tim Herbst,172,157,10,5
Middlesex,Middletown 1,Treasurer,,Ind,Tim Herbst,23,20,1,2
Middlesex,Middletown 1,Treasurer,,Dem,Denise Nappier,483,441,27,15
Middlesex,Middletown 1,Treasurer,,WF,Denise Nappier,69,65,0,4
Middlesex,Middletown 1,Comptroller,,Rep,Sharon McLaughlin,156,143,10,3
Middlesex,Middletown 1,Comptroller,,Ind,Sharon McLaughlin,23,21,2,0
Middlesex,Middletown 1,Comptroller,,Dem,Kevin Lembo,465,420,26,19
Middlesex,Middletown 1,Comptroller,,WF,Kevin Lembo,52,47,2,3
Middlesex,Middletown 1,Comptroller,,Green,Rolf Maurer,34,31,0,3
Middlesex,Middletown 1,Attorney General,,Rep,Kie Westby,135,123,8,4
Middlesex,Middletown 1,Attorney General,,Ind,Kie Westby,15,14,0,1
Middlesex,Middletown 1,Attorney General,,Dem,George Jepsen,493,447,28,18
Middlesex,Middletown 1,Attorney General,,WF,George Jepsen,56,51,2,3
Middlesex,Middletown 1,Attorney General,,Green,Stephen Fournier,38,34,2,2
Middlesex,Middletown 2,Governor,,Rep,Tom Foley,55,52,2,1
Middlesex,Middletown 2,Governor,,Ind,Tom Foley,6,5,1,0
Middlesex,Middletown 2,Governor,,Dem,Dan Malloy,181,166,8,7
Middlesex,Middletown 2,Governor,,WF,Dan Malloy,6,6,0,0
Middlesex,Middletown 2,Governor,,PC,Joe Visconti,3,3,0,0
Middlesex,Middletown 2,US House,3,Rep,James Brown,51,48,3,0
Middlesex,Middletown 2,US House,3,Dem,Rosa DeLauro,172,158,6,8
Middlesex,Middletown 2,US House,3,WF,Rosa DeLauro,14,13,1,0
Middlesex,Middletown 2,State Senate,9,Rep,Earle Roberts,51,48,2,1
Middlesex,Middletown 2,State Senate,9,Dem,Paul Doyle,184,170,8,6
Middlesex,Middletown 2,State Assembly,100,Rep,Angel Fernandez,44,42,2,0
Middlesex,Middletown 2,State Assembly,100,Dem,Matt Lesser,177,163,7,7
Middlesex,Middletown 2,State Assembly,100,WF,Matt Lesser,16,15,1,0
Middlesex,Middletown 2,Secretary of State,,Rep,Peter Lumaj,52,50,2,0
Middlesex,Middletown 2,Secretary of State,,Ind,Peter Lumaj,6,6,0,0
Middlesex,Middletown 2,Secretary of State,,Dem,Denise Merrill,162,149,7,6
Middlesex,Middletown 2,Secretary of State,,WF,Denise Merrill,11,9,2,0
Middlesex,Middletown 2,Secretary of State,,Green,Michael DeRosa,5,4,0,1
Middlesex,Middletown 2,Treasurer,,Rep,Tim Herbst,59,57,2,0
Middlesex,Middletown 2,Treasurer,,Ind,Tim Herbst,5,5,0,0
Middlesex,Middletown 2,Treasurer,,Dem,Denise Nappier,161,147,7,7
Middlesex,Middletown 2,Treasurer,,WF,Denise Nappier,13,12,1,0
Middlesex,Middletown 2,Comptroller,,Rep,Sharon McLaughlin,52,50,2,0
Middlesex,Middletown 2,Comptroller,,Ind,Sharon McLaughlin,6,6,0,0
Middlesex,Middletown 2,Comptroller,,Dem,Kevin Lembo,163,151,6,6
