County,Precinct,Office,District,Party,Candidate,Poll,Abs,Unknown
New London,Groton 1,Governor,,REP,Thomas C. Foley,501,65,3
New London,Groton 1,Governor,,IND,Thomas C. Foley,26,7,1
New London,Groton 1,Governor,,UNK,Thomas C. Foley,0,0,0
New London,Groton 1,Governor,,DEM,Dannel P. Malloy,646,77,33
New London,Groton 1,Governor,,WF,Dannel P. Malloy,27,4,1
New London,Groton 1,Governor,,UNK,Dannel P. Malloy,0,0,0
New London,Groton 1,Governor,,PC,Joe Visconti,15,3,0
New London,Groton 1,Governor,,write-in,Jonathan Pelto,1,0,0
New London,Groton 1,U.S. House,2,REP,Lori Hopkins-Cavanagh,345,48,0
New London,Groton 1,U.S. House,2,DEM,Joe Courtney,780,92,26
New London,Groton 1,U.S. House,2,WF,Joe Courtney,52,9,2
New London,Groton 1,U.S. House,2,LBT,William Clyde,9,2,0
New London,Groton 1,U.S. House,2,Green,Daniel Reale,15,1,0
New London,Groton 1,State Senate,18,REP,Kevin Trejo,458,62,0
New London,Groton 1,State Senate,18,DEM,Andrew Maynard,717,89,0
New London,Groton 1,State Assembly,41,REP,Aundre Bumgardner,513,43,7
New London,Groton 1,State Assembly,41,DEM,Elissa Wright,619,50,0
New London,Groton 1,State Assembly,41,IND,Aundre Bumgardner,61,4,1
New London,Groton 1,Secretary of State,,REP,Peter Lumaj,460,57,1
New London,Groton 1,Secretary of State,,IND,Peter Lumaj,30,40,0
New London,Groton 1,Secretary of State,,UNK,Peter Lumaj,0,0,0
New London,Groton 1,Secretary of State,,DEM,Denise Merrill,618,73,8
New London,Groton 1,Secretary of State,,WF,Denise Merrill,33,2,1
New London,Groton 1,Secretary of State,,UNK,Denise Merrill,0,0,0
New London,Groton 1,Secretary of State,,Green,Michael DeRosa,32,5,0
New London,Groton 1,State Treasurer,,REP,Tim Herbst,454,55,1
New London,Groton 1,State Treasurer,,IND,Tim Herbst,42,7,0
New London,Groton 1,State Treasurer,,UNK,Tim Herbst,0,0,0
New London,Groton 1,State Treasurer,,DEM,Denise Nappier,641,81,10
New London,Groton 1,State Treasurer,,WF,Denise Nappier,36,5,1
New London,Groton 1,State Treasurer,,UNK,Denise Nappier,0,0,0
New London,Groton 1,Comptroller,,REP,Sharon McLaughlin,444,61,1
New London,Groton 1,Comptroller,,IND,Sharon McLaughlin,36,8,1
