town,office,district,party,candidate,votes
Ansonia,Governor,,REP,Thomas C. Foley,2183
Ansonia,Governor,,DEM,Dannel P. Malloy,2350
Ansonia,Governor,,WOR,Dannel P. Malloy,104
Ansonia,Governor,,IND,Thomas C. Foley,108
Ansonia,Governor,,,Joe Visconti,62
Ansonia,Governor,,,Jonathan Pelto,0
Ansonia,Governor,,,John Renjilian,0
Ansonia,Governor,,,John Traceski,0
Ansonia,Governor,,,Daniel R. Galta,0
Ansonia,U.S. House,3,REP,James E. Brown,1673
Ansonia,U.S. House,3,DEM,Rosa DeLauro,2718
Ansonia,U.S. House,3,WOR,Rosa DeLauro,290
Ansonia,State Senate,17,REP,Philip Tripp,2302
Ansonia,State Senate,17,DEM,Joe Crisco,2090
Ansonia,State Senate,17,WOR,Joe Crisco,165
Ansonia,State Senate,17,IND,Philip Tripp,175
Ansonia,State House,104,REP,Frederick Picroski,1577
Ansonia,State House,104,DEM,Linda M. Gentile,2810
Ansonia,State House,104,WOR,Linda M. Gentile,281
Ansonia,Secretary of State,,REP,Peter Lumaj,1977
Ansonia,Secretary of State,,DEM,Denise W. Merrill,2170
Ansonia,Secretary of State,,WOR,Denise W. Merrill,178
Ansonia,Secretary of State,,IND,Peter Lumaj,143
Ansonia,Secretary of State,,GRN,S. Michael DeRosa,108
Ansonia,Attorney General,,REP,Kie Westby,1669
Ansonia,Attorney General,,DEM,George Jepsen,2474
Ansonia,Attorney General,,WOR,George Jepsen,191
Ansonia,Attorney General,,IND,Kie Westby,105
Ansonia,Attorney General,,GRN,Stephen E. Fournier,122
Ansonia,Registered Voters,,,,9454
Ansonia,Ballots Cast,,,,4858
Ansonia,Treasurer,,REP,Timothy M. Herbst,1984
Ansonia,Treasurer,,DEM,Denise L. Nappler,2277
Ansonia,Treasurer,,WOR,Denise L. Nappler,192
Ansonia,Treasurer,,IND,Timothy M. Herbst,139
Ansonia,Treasurer,,,Rolf Maurer,0
Ansonia,Comptroller,,REP,Sharon J. McLaughlin,1824
Ansonia,Comptroller,,DEM,Kevin Lembo,2318
Ansonia,Comptroller,,WOR,Kevin Lembo,179
Ansonia,Comptroller,,IND,Sharon J. McLaughlin,129
Ansonia,Comptroller,,GRN,Rolf Maurer,80
