county,town,precinct,office,district,candidate,party,votes
Fairfield,Darien,Darien 1,Governor,,Thomas Foley,Rep,998
Fairfield,Darien,Darien 2,Governor,,Thomas Foley,Rep,800
Fairfield,Darien,Darien 3,Governor,,Thomas Foley,Rep,723
Fairfield,Darien,Darien 4,Governor,,Thomas Foley,Rep,773
Fairfield,Darien,Darien 5,Governor,,Thomas Foley,Rep,693
Fairfield,Darien,Darien 6,Governor,,Thomas Foley,Rep,781
Fairfield,Darien,Darien 1,Governor,,Dannel Malloy,Dem,247
Fairfield,Darien,Darien 2,Governor,,Dannel Malloy,Dem,327
Fairfield,Darien,Darien 3,Governor,,Dannel Malloy,Dem,364
Fairfield,Darien,Darien 4,Governor,,Dannel Malloy,Dem,413
Fairfield,Darien,Darien 5,Governor,,Dannel Malloy,Dem,417
Fairfield,Darien,Darien 6,Governor,,Dannel Malloy,Dem,420
Fairfield,Darien,Darien 1,Governor,,Dannel Malloy,WF,5
Fairfield,Darien,Darien 2,Governor,,Dannel Malloy,WF,7
Fairfield,Darien,Darien 3,Governor,,Dannel Malloy,WF,8
Fairfield,Darien,Darien 4,Governor,,Dannel Malloy,WF,3
Fairfield,Darien,Darien 5,Governor,,Dannel Malloy,WF,7
Fairfield,Darien,Darien 6,Governor,,Dannel Malloy,WF,8
Fairfield,Darien,Darien 1,Governor,,Thomas Foley,Ind,14
Fairfield,Darien,Darien 2,Governor,,Thomas Foley,Ind,23
Fairfield,Darien,Darien 3,Governor,,Thomas Foley,Ind,16
Fairfield,Darien,Darien 4,Governor,,Thomas Foley,Ind,16
Fairfield,Darien,Darien 5,Governor,,Thomas Foley,Ind,20
Fairfield,Darien,Darien 6,Governor,,Thomas Foley,Ind,15
Fairfield,Darien,Darien 1,Governor,,Joe Visconti,Pet,0
Fairfield,Darien,Darien 2,Governor,,Joe Visconti,Pet,2
Fairfield,Darien,Darien 3,Governor,,Joe Visconti,Pet,0
Fairfield,Darien,Darien 4,Governor,,Joe Visconti,Pet,3
Fairfield,Darien,Darien 5,Governor,,Joe Visconti,Pet,7
Fairfield,Darien,Darien 6,Governor,,Joe Visconti,Pet,3
Fairfield,Darien,Darien 1,US House,4,Dan Debicella,Rep,928
Fairfield,Darien,Darien 2,US House,4,Dan Debicella,Rep,716
Fairfield,Darien,Darien 3,US House,4,Dan Debicella,Rep,666
Fairfield,Darien,Darien 4,US House,4,Dan Debicella,Rep,729
Fairfield,Darien,Darien 5,US House,4,Dan Debicella,Rep,657
Fairfield,Darien,Darien 6,US House,4,Dan Debicella,Rep,724
Fairfield,Darien,Darien 1,US House,4,Jim Himes,Dem,305
Fairfield,Darien,Darien 2,US House,4,Jim Himes,Dem,381
Fairfield,Darien,Darien 3,US House,4,Jim Himes,Dem,405
Fairfield,Darien,Darien 4,US House,4,Jim Himes,Dem,449
Fairfield,Darien,Darien 5,US House,4,Jim Himes,Dem,437
Fairfield,Darien,Darien 6,US House,4,Jim Himes,Dem,464
Fairfield,Darien,Darien 1,US House,4,Jim Himes,WF,8
Fairfield,Darien,Darien 2,US House,4,Jim Himes,WF,13
Fairfield,Darien,Darien 3,US House,4,Jim Himes,WF,13
Fairfield,Darien,Darien 4,US House,4,Jim Himes,WF,9
Fairfield,Darien,Darien 5,US House,4,Jim Himes,WF,15
Fairfield,Darien,Darien 6,US House,4,Jim Himes,WF,8
Fairfield,Darien,Darien 1,US House,4,Dan Debicella,Ind,14
Fairfield,Darien,Darien 2,US House,4,Dan Debicella,Ind,26
Fairfield,Darien,Darien 3,US House,4,Dan Debicella,Ind,18
Fairfield,Darien,Darien 4,US House,4,Dan Debicella,Ind,15
Fairfield,Darien,Darien 5,US House,4,Dan Debicella,Ind,21
Fairfield,Darien,Darien 6,US House,4,Dan Debicella,Ind,13
Fairfield,Darien,Darien 1,State Senate,25,Bill Dunne,Rep,943
Fairfield,Darien,Darien 2,State Senate,27,Eva Maldonado,Rep,769
Fairfield,Darien,Darien 3,State Senate,25,Bill Dunne,Rep,698
Fairfield,Darien,Darien 4,State Senate,27,Eva Maldonado,Rep,786
Fairfield,Darien,Darien 5,State Senate,25,Bill Dunne,Rep,663
Fairfield,Darien,Darien 6,State Senate,25,Bill Dunne,Rep,738
Fairfield,Darien,Darien 1,State Senate,25,Bob Duff,Dem,305
Fairfield,Darien,Darien 2,State Senate,27,Carlo Leone,Dem,280
Fairfield,Darien,Darien 3,State Senate,25,Bob Duff,Dem,390
Fairfield,Darien,Darien 4,State Senate,27,Carlo Leone,Dem,342
Fairfield,Darien,Darien 5,State Senate,25,Bob Duff,Dem,456
Fairfield,Darien,Darien 6,State Senate,25,Bob Duff,Dem,467
Fairfield,Darien,Darien 2,State Senate,27,Eva Maldonado,Ind,34
Fairfield,Darien,Darien 4,State Senate,27,Eva Maldonado,Ind,26
Fairfield,Darien,Darien 2,State Senate,27,David Michel,Green,6
Fairfield,Darien,Darien 4,State Senate,27,David Michel,Green,10
Fairfield,Darien,Darien 1,State House,141,Terrie Wood,Rep,1114
Fairfield,Darien,Darien 2,State House,141,Terrie Wood,Rep,954
Fairfield,Darien,Darien 3,State House,147,Dennis Mahoney,Rep,712
Fairfield,Darien,Darien 4,State House,141,Terrie Wood,Rep,972
Fairfield,Darien,Darien 5,State House,141,Terrie Wood,Rep,855
Fairfield,Darien,Darien 6,State House,141,Terrie Wood,Rep,972
Fairfield,Darien,Darien 3,State House,147,William Tong,Dem,349
Fairfield,Darien,Darien 3,State House,147,Dennis Mahoney,Ind,23
Fairfield,,Darien 1,Secretary of State,,Peter Lumaj,Rep,962
Fairfield,,Darien 2,Secretary of State,,Peter Lumaj,Rep,747
Fairfield,,Darien 3,Secretary of State,,Peter Lumaj,Rep,700
Fairfield,,Darien 4,Secretary of State,,Peter Lumaj,Rep,754
Fairfield,,Darien 5,Secretary of State,,Peter Lumaj,Rep,682
Fairfield,,Darien 6,Secretary of State,,Peter Lumaj,Rep,768
Fairfield,,Darien 1,Secretary of State,,Denise Merrill,Dem,232
Fairfield,,Darien 2,Secretary of State,,Denise Merrill,Dem,276
Fairfield,,Darien 3,Secretary of State,,Denise Merrill,Dem,312
Fairfield,,Darien 4,Secretary of State,,Denise Merrill,Dem,351
Fairfield,,Darien 5,Secretary of State,,Denise Merrill,Dem,351
Fairfield,,Darien 6,Secretary of State,,Denise Merrill,Dem,365
Fairfield,,Darien 1,Secretary of State,,Denise Merrill,WF,6
Fairfield,,Darien 2,Secretary of State,,Denise Merrill,WF,7
Fairfield,,Darien 3,Secretary of State,,Denise Merrill,WF,8
Fairfield,,Darien 4,Secretary of State,,Denise Merrill,WF,4
Fairfield,,Darien 5,Secretary of State,,Denise Merrill,WF,14
Fairfield,,Darien 6,Secretary of State,,Denise Merrill,WF,5
Fairfield,,Darien 1,Secretary of State,,Peter Lumaj,Ind,13
Fairfield,,Darien 2,Secretary of State,,Peter Lumaj,Ind,33
Fairfield,,Darien 3,Secretary of State,,Peter Lumaj,Ind,17
Fairfield,,Darien 4,Secretary of State,,Peter Lumaj,Ind,21
Fairfield,,Darien 5,Secretary of State,,Peter Lumaj,Ind,20
Fairfield,,Darien 6,Secretary of State,,Peter Lumaj,Ind,17
Fairfield,,Darien 1,Secretary of State,,Michael DeRosa,Green,12
Fairfield,,Darien 2,Secretary of State,,Michael DeRosa,Green,11
Fairfield,,Darien 3,Secretary of State,,Michael DeRosa,Green,10
Fairfield,,Darien 4,Secretary of State,,Michael DeRosa,Green,14
Fairfield,,Darien 5,Secretary of State,,Michael DeRosa,Green,17
Fairfield,,Darien 6,Secretary of State,,Michael DeRosa,Green,18
Fairfield,,Darien 1,State Treasurer,,Tim Herbst,Rep,991
Fairfield,,Darien 2,State Treasurer,,Tim Herbst,Rep,766
Fairfield,,Darien 3,State Treasurer,,Tim Herbst,Rep,729
Fairfield,,Darien 4,State Treasurer,,Tim Herbst,Rep,783
Fairfield,,Darien 5,State Treasurer,,Tim Herbst,Rep,690
Fairfield,,Darien 6,State Treasurer,,Tim Herbst,Rep,794
Fairfield,,Darien 1,State Treasurer,,Denise Nappier,Dem,218
Fairfield,,Darien 2,State Treasurer,,Denise Nappier,Dem,270
Fairfield,,Darien 3,State Treasurer,,Denise Nappier,Dem,290
Fairfield,,Darien 4,State Treasurer,,Denise Nappier,Dem,337
Fairfield,,Darien 5,State Treasurer,,Denise Nappier,Dem,349
Fairfield,,Darien 6,State Treasurer,,Denise Nappier,Dem,349
Fairfield,,Darien 1,State Treasurer,,Denise Nappier,WF,5
Fairfield,,Darien 2,State Treasurer,,Denise Nappier,WF,6
Fairfield,,Darien 3,State Treasurer,,Denise Nappier,WF,7
Fairfield,,Darien 4,State Treasurer,,Denise Nappier,WF,7
Fairfield,,Darien 5,State Treasurer,,Denise Nappier,WF,11
Fairfield,,Darien 6,State Treasurer,,Denise Nappier,WF,10
Fairfield,,Darien 1,State Treasurer,,Tim Herbst,Ind,12
Fairfield,,Darien 2,State Treasurer,,Tim Herbst,Ind,30
Fairfield,,Darien 3,State Treasurer,,Tim Herbst,Ind,19
Fairfield,,Darien 4,State Treasurer,,Tim Herbst,Ind,26
Fairfield,,Darien 5,State Treasurer,,Tim Herbst,Ind,28
Fairfield,,Darien 6,State Treasurer,,Tim Herbst,Ind,22
Fairfield,,Darien 1,Comptroller,,Sharon McLaughlin,Rep,983
Fairfield,,Darien 2,Comptroller,,Sharon McLaughlin,Rep,771
Fairfield,,Darien 3,Comptroller,,Sharon McLaughlin,Rep,715
Fairfield,,Darien 4,Comptroller,,Sharon McLaughlin,Rep,781
Fairfield,,Darien 5,Comptroller,,Sharon McLaughlin,Rep,692
Fairfield,,Darien 6,Comptroller,,Sharon McLaughlin,Rep,789
Fairfield,,Darien 1,Comptroller,,Kevin Lembo,Dem,206
Fairfield,,Darien 2,Comptroller,,Kevin Lembo,Dem,248
