county,precinct,office,district,candidate,party,votes,poll,abs,edr
Tolland,Griswold 1,Governor,,Thomas Foley,Rep,589,565,10,14
Tolland,Griswold 2,Governor,,Thomas Foley,Rep,1261,1212,20,29
Tolland,Griswold 1,Governor,,Thomas Foley,Ind,38,38,0,0
Tolland,Griswold 2,Governor,,Thomas Foley,Ind,75,74,0,1
Tolland,Griswold 1,Governor,,Dannel Malloy,Dem,570,549,15,6
Tolland,Griswold 2,Governor,,Dannel Malloy,Dem,950,917,22,11
Tolland,Griswold 1,Governor,,Dannel Malloy,WF,41,35,2,4
Tolland,Griswold 2,Governor,,Dannel Malloy,WF,49,43,0,6
Tolland,Griswold 1,Governor,,Joe Visconti,Pet,28,28,0,0
Tolland,Griswold 2,Governor,,Joe Visconti,Pet,48,44,3,1
Tolland,Griswold 2,Governor,,Jonathan Pelto,write-in,1,1,0,0
Tolland,Griswold 1,US House,2,Lori Hopkins-Cavanagh,Rep,343,325,7,11
Tolland,Griswold 2,US House,2,Lori Hopkins-Cavanagh,Rep,790,755,12,23
Tolland,Griswold 1,US House,2,Joe Courtney,Dem,764,735,18,11
Tolland,Griswold 2,US House,2,Joe Courtney,Dem,1314,1265,32,17
Tolland,Griswold 1,US House,2,Joe Courtney,WF,91,86,2,3
Tolland,Griswold 2,US House,2,Joe Courtney,WF,156,151,1,4
Tolland,Griswold 1,US House,2,William Clyde,Green,14,14,0,0
Tolland,Griswold 2,US House,2,William Clyde,Green,19,19,0,0
Tolland,Griswold 1,US House,2,Daniel Reale,Lbt,14,14,0,0
Tolland,Griswold 2,US House,2,Daniel Reale,Lbt,31,31,0,0
Tolland,Griswold 1,State Senate,18,Kevin Trejo,Rep,465,442,9,14
Tolland,Griswold 2,State Senate,18,Kevin Trejo,Rep,1008,967,15,26
Tolland,Griswold 1,State Senate,18,Andrew Maynard,Dem,697,673,16,8
Tolland,Griswold 2,State Senate,18,Andrew Maynard,Dem,1166,1120,30,16
Tolland,Griswold 1,State House,45,Stuart Norman,Rep,591,572,5,14
Tolland,Griswold 2,State House,45,Stuart Norman,Rep,1139,1091,22,26
Tolland,Griswold 1,State House,45,Paul Brycki,Dem,655,624,23,8
Tolland,Griswold 2,State House,45,Paul Brycki,Dem,1209,1170,21,18
Tolland,Griswold 1,Secretary of State,,Peter Lumaj,Rep,495,477,5,13
Tolland,Griswold 2,Secretary of State,,Peter Lumaj,Rep,1064,1021,16,27
Tolland,Griswold 1,Secretary of State,,Peter Lumaj,Ind,47,46,0,1
Tolland,Griswold 2,Secretary of State,,Peter Lumaj,Ind,76,75,0,1
Tolland,Griswold 1,Secretary of State,,Denise Merrill,Dem,560,535,18,7
Tolland,Griswold 2,Secretary of State,,Denise Merrill,Dem,946,906,28,12
Tolland,Griswold 1,Secretary of State,,Denise Merrill,WF,38,34,2,2
Tolland,Griswold 2,Secretary of State,,Denise Merrill,WF,73,69,1,3
Tolland,Griswold 1,Secretary of State,,Michael DeRosa,Green,38,36,1,1
Tolland,Griswold 2,Secretary of State,,Michael DeRosa,Green,66,66,0,0
Tolland,Griswold 1,State Treasurer,,Tim Herbst,Rep,467,447,6,14
Tolland,Griswold 2,State Treasurer,,Tim Herbst,Rep,1062,1017,19,26
Tolland,Griswold 1,State Treasurer,,Tim Herbst,Ind,57,56,0,1
Tolland,Griswold 2,State Treasurer,,Tim Herbst,Ind,74,73,0,1
Tolland,Griswold 1,State Treasurer,,Denise Nappier,Dem,595,571,17,7
Tolland,Griswold 2,State Treasurer,,Denise Nappier,Dem,1000,963,24,13
Tolland,Griswold 1,State Treasurer,,Denise Nappier,WF,52,48,2,2
Tolland,Griswold 2,State Treasurer,,Denise Nappier,WF,85,82,1,2
Tolland,Griswold 1,Comptroller,,Sharon McLaughlin,Rep,473,452,8,13
Tolland,Griswold 2,Comptroller,,Sharon McLaughlin,Rep,1044,1000,20,24
Tolland,Griswold 1,Comptroller,,Sharon McLaughlin,Ind,55,55,0,0
Tolland,Griswold 2,Comptroller,,Sharon McLaughlin,Ind,85,82,2,1
Tolland,Griswold 1,Comptroller,,Kevin Lembo,Dem,559,537,15,7
Tolland,Griswold 2,Comptroller,,Kevin Lembo,Dem,927,891,23,13
Tolland,Griswold 1,Comptroller,,Kevin Lembo,WF,38,35,1,2
Tolland,Griswold 2,Comptroller,,Kevin Lembo,WF,62,59,0,3
Tolland,Griswold 1,Comptroller,,Rolf Maurer,Green,22,21,0,1
Tolland,Griswold 2,Comptroller,,Rolf Maurer,Green,46,46,0,0
Tolland,Griswold 1,Attorney General,,Kie Westby,Rep,418,398,7,13
Tolland,Griswold 2,Attorney General,,Kie Westby,Rep,955,917,13,25
Tolland,Griswold 1,Attorney General,,Kie Westby,Ind,30,30,0,0
Tolland,Griswold 2,Attorney General,,Kie Westby,Ind,52,51,0,1
Tolland,Griswold 1,Attorney General,,George Jepsen,Dem,618,592,17,9
Tolland,Griswold 2,Attorney General,,George Jepsen,Dem,1022,983,25,14
Tolland,Griswold 1,Attorney General,,George Jepsen,WF,49,46,1,2
Tolland,Griswold 2,Attorney General,,George Jepsen,WF,78,73,2,3
Tolland,Griswold 1,Attorney General,,Stephen Fournier,Green,47,47,0,0
Tolland,Griswold 2,Attorney General,,Stephen Fournier,Green,78,75,2,1
