county,town,precinct,office,district,candidate,party,votes,poll,abs,edr
New Haven,Branford,Branford 102-1,Governor,,Thomas Foley,Rep,870,816,43,11
New Haven,Branford,Branford 102-3,Governor,,Thomas Foley,Rep,410,371,35,4
New Haven,Branford,Branford 102-4,Governor,,Thomas Foley,Rep,717,664,40,13
New Haven,Branford,Branford 102-5,Governor,,Thomas Foley,Rep,800,758,39,3
New Haven,Branford,Branford 102-6,Governor,,Thomas Foley,Rep,654,628,20,6
New Haven,Branford,Branford 98-2,Governor,,Thomas Foley,Rep,485,465,16,4
New Haven,Branford,Branford 98-7,Governor,,Thomas Foley,Rep,624,587,33,4
New Haven,Branford,Branford Total,Governor,,Thomas Foley,Rep,4560,4289,226,45
New Haven,Branford,Branford 102-1,Governor,,Thomas Foley,Ind,40,34,5,1
New Haven,Branford,Branford 102-3,Governor,,Thomas Foley,Ind,15,12,3,0
New Haven,Branford,Branford 102-4,Governor,,Thomas Foley,Ind,33,27,3,3
New Haven,Branford,Branford 102-5,Governor,,Thomas Foley,Ind,28,26,2,0
New Haven,Branford,Branford 102-6,Governor,,Thomas Foley,Ind,23,22,0,1
New Haven,Branford,Branford 98-2,Governor,,Thomas Foley,Ind,13,13,0,0
New Haven,Branford,Branford 98-7,Governor,,Thomas Foley,Ind,18,17,1,0
New Haven,Branford,Branford Total,Governor,,Thomas Foley,Ind,170,151,14,5
New Haven,Branford,Branford 102-1,Governor,,Dannel Malloy,Dem,1000,938,48,14
New Haven,Branford,Branford 102-3,Governor,,Dannel Malloy,Dem,722,666,55,1
New Haven,Branford,Branford 102-4,Governor,,Dannel Malloy,Dem,998,936,47,15
New Haven,Branford,Branford 102-5,Governor,,Dannel Malloy,Dem,1038,947,81,10
New Haven,Branford,Branford 102-6,Governor,,Dannel Malloy,Dem,763,715,42,6
New Haven,Branford,Branford 98-2,Governor,,Dannel Malloy,Dem,629,569,53,7
New Haven,Branford,Branford 98-7,Governor,,Dannel Malloy,Dem,578,541,31,6
New Haven,Branford,Branford Total,Governor,,Dannel Malloy,Dem,5729,5313,357,59
New Haven,Branford,Branford 102-1,Governor,,Dannel Malloy,Dem,30,28,1,1
New Haven,Branford,Branford 102-3,Governor,,Dannel Malloy,WF,23,23,0,0
New Haven,Branford,Branford 102-4,Governor,,Dannel Malloy,WF,42,38,4,0
New Haven,Branford,Branford 102-5,Governor,,Dannel Malloy,WF,36,36,0,0
New Haven,Branford,Branford 102-6,Governor,,Dannel Malloy,WF,35,35,0,0
New Haven,Branford,Branford 98-2,Governor,,Dannel Malloy,WF,27,27,0,0
New Haven,Branford,Branford 98-7,Governor,,Dannel Malloy,WF,13,13,0,0
New Haven,Branford,Branford Total,Governor,,Dannel Malloy,WF,206,200,5,1
New Haven,Branford,Branford 102-1,Governor,,Joe Visconti,Pet,19,17,2,0
New Haven,Branford,Branford 102-3,Governor,,Joe Visconti,Pet,9,9,0,0
New Haven,Branford,Branford 102-4,Governor,,Joe Visconti,Pet,22,20,2,0
New Haven,Branford,Branford 102-5,Governor,,Joe Visconti,Pet,15,13,2,0
New Haven,Branford,Branford 102-6,Governor,,Joe Visconti,Pet,15,13,1,1
New Haven,Branford,Branford 98-2,Governor,,Joe Visconti,Pet,12,11,1,0
New Haven,Branford,Branford 98-7,Governor,,Joe Visconti,Pet,14,14,0,0
New Haven,Branford,Branford Total,Governor,,Joe Visconti,Pet,106,97,8,1
New Haven,Branford,Branford 102-1,Governor,,Jonathan Pelto,write-in,0,0,0,0
New Haven,Branford,Branford 102-3,Governor,,Jonathan Pelto,write-in,1,1,0,0
New Haven,Branford,Branford 102-4,Governor,,Jonathan Pelto,write-in,1,1,0,0
New Haven,Branford,Branford 102-5,Governor,,Jonathan Pelto,write-in,3,3,0,0
New Haven,Branford,Branford 102-6,Governor,,Jonathan Pelto,write-in,0,0,0,0
New Haven,Branford,Branford 98-2,Governor,,Jonathan Pelto,write-in,2,2,0,0
New Haven,Branford,Branford 98-7,Governor,,Jonathan Pelto,write-in,0,0,0,0
New Haven,Branford,Branford Total,Governor,,Jonathan Pelto,write-in,7,7,0,0
New Haven,Branford,Branford 102-1,US House,3,James Brown,Rep,723,672,42,9
New Haven,Branford,Branford 102-3,US House,3,James Brown,Rep,344,309,32,3
New Haven,Branford,Branford 102-4,US House,3,James Brown,Rep,604,558,34,12
New Haven,Branford,Branford 102-5,US House,3,James Brown,Rep,663,627,33,3
New Haven,Branford,Branford 102-6,US House,3,James Brown,Rep,507,484,16,7
New Haven,Branford,Branford 98-2,US House,3,James Brown,Rep,364,350,14,0
