county,precinct,office,district,party,candidate,poll,abs,edr,
Hartford,Berlin 1,Governor,,REP,Thomas C. Foley,482,29,4,
Hartford,Berlin 1,Governor,,DEM,Dannel P. Malloy,393,13,0,
Hartford,Berlin 1,Governor,,WF,Dannel P. Malloy,21,1,0,
Hartford,Berlin 1,Governor,,IND,Thomas C. Foley,23,1,0,
Hartford,Berlin 1,Governor,,PC,Joe Visconti,13,0,0,
Hartford,Berlin 1,U.S. House,1,REP,Matthew Corey,404,28,2,
Hartford,Berlin 1,U.S. House,1,DEM,John Larson,438,14,1,
Hartford,Berlin 1,U.S. House,1,WF,John Larson,30,1,2,
Hartford,Berlin 1,U.S. House,1,Green,Jeffery Russell,11,0,0,
Hartford,Berlin 1,State Senate,6,DEM,Terry Gerratana,494,19,0,
Hartford,Berlin 1,State Senate,6,WF,Terry Gerratana,72,4,3,
Hartford,Berlin 1,State Senate,6,write-in,Todd Cheney,3,0,0,
Hartford,Berlin 1,State Assembly,83,REP,Pablo Soto,399,28,4,
Hartford,Berlin 1,State Assembly,83,DEM,Catherine Abercrombie,457,16,42,
Hartford,Berlin 1,Secretary of State,,REP,Peter Lumaj,446,28,4,
Hartford,Berlin 1,Secretary of State,,DEM,Denise Merrill,466,15,0,
Hartford,Berlin 1,Secretary of State,,WF,Denise Merrill,19,1,0,
Hartford,Berlin 1,Secretary of State,,IND,Peter Lumaj,27,0,1,
Hartford,Berlin 1,Secretary of State,,Green,Michael DeRosa,13,0,0,
Hartford,Berlin 1,State Treasurer,,REP,Tim Herbst,463,28,5,
Hartford,Berlin 1,State Treasurer,,DEM,Denise Nappier,352,15,0,
Hartford,Berlin 1,State Treasurer,,WF,Denise Nappier,24,0,,
Hartford,Berlin 1,State Treasurer,,IND,Tim Herbst,36,1,0,
Hartford,Berlin 1,Comptroller,,REP,Sharon McLaughlin,402,30,3,
Hartford,Berlin 1,Comptroller,,DEM,Kevin Lembo,399,13,0,
Hartford,Berlin 1,Comptroller,,WF,Kevin Lembo,21,1,1,
Hartford,Berlin 1,Comptroller,,IND,Sharon McLaughlin,29,0,0,
Hartford,Berlin 1,Comptroller,,Green,Rolf Maurer,11,0,0,
Hartford,Berlin 1,Attorney General,,REP,Kie Westby,351,26,2,
Hartford,Berlin 1,Attorney General,,DEM,George Jepsen,450,16,0,
Hartford,Berlin 1,Attorney General,,WF,George Jepsen,28,1,2,
Hartford,Berlin 1,Attorney General,,IND,Kie Westby,21,0,1,
Hartford,Berlin 1,Attorney General,,Green,Stephen Fournier,20,1,0,
Hartford,Berlin 2,Governor,,REP,Thomas C. Foley,896,24,13,
Hartford,Berlin 2,Governor,,DEM,Dannel P. Malloy,916,28,15,
Hartford,Berlin 2,Governor,,WF,Dannel P. Malloy,47,1,0,
Hartford,Berlin 2,Governor,,IND,Thomas C. Foley,31,0,4,
Hartford,Berlin 2,Governor,,PC,Joe Visconti,29,2,1,
Hartford,Berlin 2,U.S. House,1,REP,Matthew Corey,711,17,11,
Hartford,Berlin 2,U.S. House,1,DEM,John Larson,979,33,18,
