county,precinct,office,district,party,candidate,poll,abs,edr,
Hartford,Berlin 2,U.S. House,1,WF,John Larson,58,3,1,
Hartford,Berlin 2,U.S. House,1,Green,Jeffery Russell,30,1,1,
Hartford,Berlin 2,State Senate,6,DEM,Terry Gerratana,1089,35,20,
Hartford,Berlin 2,State Senate,6,WF,Terry Gerratana,161,6,3,
Hartford,Berlin 2,State Senate,6,write-in,Todd Cheney,3,0,0,
Hartford,Berlin 2,State Assembly,30,DEM,Joe Aresimowicz,1156,36,19,
Hartford,Berlin 2,State Assembly,30,WF,Joe Aresimowicz,175,7,3,
Hartford,Berlin 2,Secretary of State,,REP,Peter Lumaj,774,19,11,
Hartford,Berlin 2,Secretary of State,,DEM,Denise Merrill,837,29,12,
Hartford,Berlin 2,Secretary of State,,WF,Denise Merrill,68,4,4,
Hartford,Berlin 2,Secretary of State,,IND,Peter Lumaj,51,1,2,
Hartford,Berlin 2,Secretary of State,,Green,Michael DeRosa,45,1,1,
Hartford,Berlin 2,State Treasurer,,REP,Tim Herbst,858,21,14,
Hartford,Berlin 2,State Treasurer,,DEM,Denise Nappier,789,28,13,
Hartford,Berlin 2,State Treasurer,,WF,Denise Nappier,62,4,2,
Hartford,Berlin 2,State Treasurer,,IND,Tim Herbst,66,1,2,
Hartford,Berlin 2,Comptroller,,REP,Sharon McLaughlin,712,17,12,
Hartford,Berlin 2,Comptroller,,DEM,Kevin Lembo,867,29,14,
Hartford,Berlin 2,Comptroller,,WF,Kevin Lembo,64,2,1,
Hartford,Berlin 2,Comptroller,,IND,Sharon McLaughlin,38,3,3,
Hartford,Berlin 2,Comptroller,,Green,Rolf Maurer,32,1,0,
Hartford,Berlin 2,Attorney General,,REP,Kie Westby,650,19,13,
Hartford,Berlin 2,Attorney General,,DEM,George Jepsen,954,30,11,
Hartford,Berlin 2,Attorney General,,WF,George Jepsen,74,3,0,
Hartford,Berlin 2,Attorney General,,IND,Kie Westby,20,0,2,
Hartford,Berlin 2,Attorney General,,Green,Stephen Fournier,39,1,3,
Hartford,Berlin 3,Governor,,REP,Thomas C. Foley,881,31,2,
Hartford,Berlin 3,Governor,,DEM,Dannel P. Malloy,657,38,5,
Hartford,Berlin 3,Governor,,WF,Dannel P. Malloy,31,4,0,
Hartford,Berlin 3,Governor,,IND,Thomas C. Foley,26,2,1,
Hartford,Berlin 3,Governor,,PC,Joe Visconti,22,1,0,
Hartford,Berlin 3,Governor,,write-in,Jonathan Pelto,1,0,0,
Hartford,Berlin 3,U.S. House,1,REP,Matthew Corey,730,24,1,
Hartford,Berlin 3,U.S. House,1,DEM,John Larson,739,40,7,
Hartford,Berlin 3,U.S. House,1,WF,John Larson,44,4,0,
Hartford,Berlin 3,U.S. House,1,Green,Jeffery Russell,27,2,0,
Hartford,Berlin 3,State Senate,6,DEM,Terry Gerratana,833,46,7,
Hartford,Berlin 3,State Senate,6,WF,Terry Gerratana,139,5,0,
Hartford,Berlin 3,State Senate,6,write-in,Todd Cheney,7,0,0,
Hartford,Berlin 3,State Assembly,30,DEM,Joe Aresimowicz,873,50,7,
Hartford,Berlin 3,State Assembly,30,WF,Joe Aresimowicz,148,5,0,
Hartford,Berlin 3,Secretary of State,,REP,Peter Lumaj,801,25,3,
Hartford,Berlin 3,Secretary of State,,DEM,Denise Merrill,618,42,5,
Hartford,Berlin 3,Secretary of State,,WF,Denise Merrill,43,1,0,
Hartford,Berlin 3,Secretary of State,,IND,Peter Lumaj,34,2,0,
Hartford,Berlin 3,Secretary of State,,Green,Michael DeRosa,31,2,0,
Hartford,Berlin 3,State Treasurer,,REP,Tim Herbst,847,28,1,
Hartford,Berlin 3,State Treasurer,,DEM,Denise Nappier,589,35,7,
Hartford,Berlin 3,State Treasurer,,WF,Denise Nappier,39,3,0,
Hartford,Berlin 3,State Treasurer,,IND,Tim Herbst,50,6,0,
Hartford,Berlin 3,Comptroller,,REP,Sharon McLaughlin,755,23,2,
Hartford,Berlin 3,Comptroller,,DEM,Kevin Lembo,628,42,5,
Hartford,Berlin 3,Comptroller,,WF,Kevin Lembo,42,3,0,
Hartford,Berlin 3,Comptroller,,IND,Sharon McLaughlin,35,4,0,
Hartford,Berlin 3,Comptroller,,Green,Rolf Maurer,22,0,0,
Hartford,Berlin 3,Attorney General,,REP,Kie Westby,655,22,3,
Hartford,Berlin 3,Attorney General,,DEM,George Jepsen,736,42,5,
Hartford,Berlin 3,Attorney General,,WF,George Jepsen,56,2,0,
Hartford,Berlin 3,Attorney General,,IND,Kie Westby,19,2,0,
Hartford,Berlin 3,Attorney General,,Green,Stephen Fournier,31,3,0,
Hartford,Berlin 4,Governor,,REP,Thomas C. Foley,829,38,3,
Hartford,Berlin 4,Governor,,DEM,Dannel P. Malloy,538,23,6,
Hartford,Berlin 4,Governor,,WF,Dannel P. Malloy,16,0,0,
Hartford,Berlin 4,Governor,,IND,Thomas C. Foley,31,2,0,
Hartford,Berlin 4,Governor,,PC,Joe Visconti,19,2,0,
Hartford,Berlin 4,Governor,,write-in,Jonathan Pelto,4,0,0,
Hartford,Berlin 4,U.S. House,1,REP,Matthew Corey,679,37,2,
Hartford,Berlin 4,U.S. House,1,DEM,John Larson,629,26,6,
Hartford,Berlin 4,U.S. House,1,WF,John Larson,33,0,0,
Hartford,Berlin 4,U.S. House,1,Green,Jeffery Russell,17,1,0,
Hartford,Berlin 4,State Senate,6,DEM,Terry Gerratana,682,31,5,
Hartford,Berlin 4,State Senate,6,WF,Terry Gerratana,119,6,0,
Hartford,Berlin 4,State Senate,6,write-in,Todd Cheney,6,0,0,
Hartford,Berlin 4,State Assembly,83,REP,Pablo Soto,699,38,2,
Hartford,Berlin 4,State Assembly,83,DEM,Catherine Abercrombie,636,26,7,
Hartford,Berlin 4,Secretary of State,,REP,Peter Lumaj,749,39,3,
Hartford,Berlin 4,Secretary of State,,DEM,Denise Merrill,524,25,4,
Hartford,Berlin 4,Secretary of State,,WF,Denise Merrill,30,0,0,
Hartford,Berlin 4,Secretary of State,,IND,Peter Lumaj,28,0,1,
Hartford,Berlin 4,Secretary of State,,Green,Michael DeRosa,18,0,0,
Hartford,Berlin 4,State Treasurer,,REP,Tim Herbst,808,44,3,
Hartford,Berlin 4,State Treasurer,,DEM,Denise Nappier,455,18,5,
Hartford,Berlin 4,State Treasurer,,WF,Denise Nappier,36,1,0,
Hartford,Berlin 4,State Treasurer,,IND,Tim Herbst,48,0,0,
Hartford,Berlin 4,Comptroller,,REP,Sharon McLaughlin,687,36,2,
Hartford,Berlin 4,Comptroller,,DEM,Kevin Lembo,544,25,6,
Hartford,Berlin 4,Comptroller,,WF,Kevin Lembo,31,0,0,
Hartford,Berlin 4,Comptroller,,IND,Sharon McLaughlin,31,1,0,
Hartford,Berlin 4,Comptroller,,Green,Rolf Maurer,15,0,0,
Hartford,Berlin 4,Attorney General,,REP,Kie Westby,638,38,1,
Hartford,Berlin 4,Attorney General,,DEM,George Jepsen,618,26,7,
Hartford,Berlin 4,Attorney General,,WF,George Jepsen,30,1,0,
Hartford,Berlin 4,Attorney General,,IND,Kie Westby,25,0,0,
Hartford,Berlin 4,Attorney General,,Green,Stephen Fournier,20,0,0,
Hartford,Berlin 5,Governor,,REP,Thomas C. Foley,1314,50,16,
Hartford,Berlin 5,Governor,,DEM,Dannel P. Malloy,972,48,11,
Hartford,Berlin 5,Governor,,WF,Dannel P. Malloy,36,0,1,
Hartford,Berlin 5,Governor,,IND,Thomas C. Foley,35,4,2,
Hartford,Berlin 5,Governor,,PC,Joe Visconti,24,2,1,
Hartford,Berlin 5,U.S. House,1,REP,Matthew Corey,1063,49,16,
Hartford,Berlin 5,U.S. House,1,DEM,John Larson,1052,49,15,
Hartford,Berlin 5,U.S. House,1,WF,John Larson,79,0,1,
Hartford,Berlin 5,U.S. House,1,Green,Jeffery Russell,34,1,0,
Hartford,Berlin 5,State Senate,6,DEM,Terry Gerratana,1213,63,15,
Hartford,Berlin 5,State Senate,6,WF,Terry Gerratana,208,4,3,
Hartford,Berlin 5,State Senate,6,write-in,Todd Cheney,11,0,0,
Hartford,Berlin 5,State Assembly,30,DEM,Joe Aresimowicz,1279,66,14,
Hartford,Berlin 5,State Assembly,30,WF,Joe Aresimowicz,231,5,3,
Hartford,Berlin 5,Secretary of State,,REP,Peter Lumaj,1167,53,16,
Hartford,Berlin 5,Secretary of State,,DEM,Denise Merrill,891,38,13,
Hartford,Berlin 5,Secretary of State,,WF,Denise Merrill,65,1,1,
Hartford,Berlin 5,Secretary of State,,IND,Peter Lumaj,66,4,1,
Hartford,Berlin 5,Secretary of State,,Green,Michael DeRosa,44,2,1,
Hartford,Berlin 5,State Treasurer,,REP,Tim Herbst,1257,57,14,
Hartford,Berlin 5,State Treasurer,,DEM,Denise Nappier,811,32,15,
Hartford,Berlin 5,State Treasurer,,WF,Denise Nappier,81,2,0,
Hartford,Berlin 5,State Treasurer,,IND,Tim Herbst,40,6,3,
Hartford,Berlin 5,Comptroller,,REP,Sharon McLaughlin,1044,44,15,
Hartford,Berlin 5,Comptroller,,DEM,Kevin Lembo,944,42,14,
Hartford,Berlin 5,Comptroller,,WF,Kevin Lembo,75,1,1,
Hartford,Berlin 5,Comptroller,,IND,Sharon McLaughlin,64,5,1,
Hartford,Berlin 5,Comptroller,,Green,Rolf Maurer,26,4,1,
Hartford,Berlin 5,Attorney General,,REP,Kie Westby,959,41,13,
Hartford,Berlin 5,Attorney General,,DEM,George Jepsen,1058,50,15,
Hartford,Berlin 5,Attorney General,,WF,George Jepsen,87,1,1,
Hartford,Berlin 5,Attorney General,,IND,Kie Westby,38,4,2,
Hartford,Berlin 5,Attorney General,,Green,Stephen Fournier,43,1,1,
Hartford,Berlin City CT,Governor,,REP,Thomas C. Foley,4402,172,38,4612
Hartford,Berlin City CT,Governor,,DEM,Dannel P. Malloy,3476,150,37,3663
Hartford,Berlin City CT,Governor,,WF,Dannel P. Malloy,151,6,1,158
Hartford,Berlin City CT,Governor,,IND,Thomas C. Foley,146,9,7,162
Hartford,Berlin City CT,Governor,,PC,Joe Visconti,107,7,2,116
Hartford,Berlin City CT,Governor,,write-in,Jonathan Pelto,5,0,0,5
Hartford,Berlin City CT,U.S. House,1,REP,Matthew Corey,3587,155,32,3774
Hartford,Berlin City CT,U.S. House,1,DEM,John Larson,3837,162,47,4046
Hartford,Berlin City CT,U.S. House,1,WF,John Larson,244,8,4,256
Hartford,Berlin City CT,U.S. House,1,Green,Jeffery Russell,119,5,1,125
Hartford,Berlin City CT,State Senate,6,DEM,Terry Gerratana,4311,194,47,4552
Hartford,Berlin City CT,State Senate,6,WF,Terry Gerratana,699,25,9,733
Hartford,Berlin City CT,State Senate,6,write-in,Todd Cheney,30,0,0,30
Hartford,Berlin City CT,State Assembly,30,DEM,Joe Aresimowicz,3308,152,40,3500
Hartford,Berlin City CT,State Assembly,30,WF,Joe Aresimowicz,554,17,6,577
Hartford,Berlin City CT,State Assembly,83,REP,Pablo Soto,1098,66,6,1170
Hartford,Berlin City CT,State Assembly,83,DEM,Catherine Abercrombie,1093,42,49,1182
Hartford,Berlin City CT,Secretary of State,,REP,Peter Lumaj,3937,164,37,4138
Hartford,Berlin City CT,Secretary of State,,DEM,Denise Merrill,3336,149,34,3509
Hartford,Berlin City CT,Secretary of State,,WF,Denise Merrill,225,7,5,237
Hartford,Berlin City CT,Secretary of State,,IND,Peter Lumaj,206,7,5,218
Hartford,Berlin City CT,Secretary of State,,Green,Michael DeRosa,151,5,2,158
Hartford,Berlin City CT,State Treasurer,,REP,Tim Herbst,4233,178,37,4448
Hartford,Berlin City CT,State Treasurer,,DEM,Denise Nappier,2996,128,40,3164
Hartford,Berlin City CT,State Treasurer,,WF,Denise Nappier,242,10,2,254
Hartford,Berlin City CT,State Treasurer,,IND,Tim Herbst,240,14,5,259
Hartford,Berlin City CT,Comptroller,,REP,Sharon McLaughlin,3600,150,34,3784
Hartford,Berlin City CT,Comptroller,,DEM,Kevin Lembo,3382,151,39,3572
Hartford,Berlin City CT,Comptroller,,WF,Kevin Lembo,233,7,3,243
Hartford,Berlin City CT,Comptroller,,IND,Sharon McLaughlin,197,13,4,214
Hartford,Berlin City CT,Comptroller,,Green,Rolf Maurer,106,5,1,112
Hartford,Berlin City CT,Attorney General,,REP,Kie Westby,3253,146,32,3431
Hartford,Berlin City CT,Attorney General,,DEM,George Jepsen,3816,164,38,4018
Hartford,Berlin City CT,Attorney General,,WF,George Jepsen,275,8,3,286
Hartford,Berlin City CT,Attorney General,,IND,Kie Westby,123,6,5,134
Hartford,Berlin City CT,Attorney General,,Green,Stephen Fournier,153,6,4,163
