County,Precinct,Office,District,Party,,Poll,Abs,EDR
Fairfield,Bridgeport 124-1 Beardsley,Governor,,REP,Thomas C. Foley,51,0,0
Fairfield,Bridgeport 124-1 Beardsley,Governor,,IND,Thomas C. Foley,2,0,0
Fairfield,Bridgeport 124-1 Beardsley,Governor,,UNK,Thomas C. Foley,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,Governor,,DEM,Dannel P. Malloy,148,9,1
Fairfield,Bridgeport 124-1 Beardsley,Governor,,WF,Dannel P. Malloy,11,0,0
Fairfield,Bridgeport 124-1 Beardsley,Governor,,UNK,Dannel P. Malloy,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,Governor,,PC,Joe Visconti,2,0,0
Fairfield,Bridgeport 124-1 Beardsley,U.S. House,4,REP,Dan Debicella,39,0,0
Fairfield,Bridgeport 124-1 Beardsley,U.S. House,4,IND,Dan Debicella,3,0,0
Fairfield,Bridgeport 124-1 Beardsley,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,U.S. House,4,DEM,Jim Himes,149,0,1
Fairfield,Bridgeport 124-1 Beardsley,U.S. House,4,WF,Jim Himes,12,0,0
Fairfield,Bridgeport 124-1 Beardsley,U.S. House,4,UNK,Jim Himes,9,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Senate,23,DEM,Andres Ayala,155,0,1
Fairfield,Bridgeport 124-1 Beardsley,State Senate,23,WF,Andres Ayala,10,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Senate,23,IND,Andres Ayala,10,0,1
Fairfield,Bridgeport 124-1 Beardsley,State Assembly,124,DEM,Andre Baker,155,0,1
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,REP,Peter Lumaj,47,0,0
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,IND,Peter Lumaj,1,0,0
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,DEM,Denise Merrill,130,0,1
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,WF,Denise Merrill,9,0,0
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,UNK,Denise Merrill,4,0,0
Fairfield,Bridgeport 124-1 Beardsley,Secretary of State,,Green,Michael DeRosa,3,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Treasurer,,REP,Tim Herbst,45,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Treasurer,,IND,Tim Herbst,3,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Treasurer,,DEM,Denise Nappier,132,0,1
Fairfield,Bridgeport 124-1 Beardsley,State Treasurer,,WF,Denise Nappier,11,0,0
Fairfield,Bridgeport 124-1 Beardsley,State Treasurer,,UNK,Denise Nappier,5,0,0
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,REP,Sharon McLaughlin,43,0,0
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,IND,Sharon McLaughlin,1,0,0
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,DEM,Kevin Lembo,133,0,1
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,WF,Kevin Lembo,10,0,0
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,IND,Kevin Lembo,5,0,0
Fairfield,Bridgeport 124-1 Beardsley,Comptroller,,Green,Rolf Maurer,2,0,0
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,REP,Kie Westby,38,0,0
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,IND,Kie Westby,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,DEM,George Jepsen,140,0,1
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,WF,George Jepsen,10,0,0
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,UNK,George Jepsen,4,0,0
Fairfield,Bridgeport 124-1 Beardsley,Attorney General,,Green,Stephen Fournier,1,0,0
Fairfield,Bridgeport 124-2 JFK,Governor,,REP,Thomas C. Foley,154,34,1
Fairfield,Bridgeport 124-2 JFK,Governor,,IND,Thomas C. Foley,6,4,0
Fairfield,Bridgeport 124-2 JFK,Governor,,UNK,Thomas C. Foley,3,0,0
Fairfield,Bridgeport 124-2 JFK,Governor,,DEM,Dannel P. Malloy,804,99,14
Fairfield,Bridgeport 124-2 JFK,Governor,,WF,Dannel P. Malloy,41,1,0
Fairfield,Bridgeport 124-2 JFK,Governor,,UNK,Dannel P. Malloy,75,0,3
Fairfield,Bridgeport 124-2 JFK,Governor,,PC,Joe Visconti,3,2,0
Fairfield,Bridgeport 124-2 JFK,Governor,,write-in,Donald Gaita,1,0,0
Fairfield,Bridgeport 124-2 JFK,U.S. House,4,REP,Dan Debicella,116,18,0
Fairfield,Bridgeport 124-2 JFK,U.S. House,4,IND,Dan Debicella,8,1,0
Fairfield,Bridgeport 124-2 JFK,U.S. House,4,UNK,Dan Debicella,1,0,0
Fairfield,Bridgeport 124-2 JFK,U.S. House,4,DEM,Jim Himes,814,100,12
Fairfield,Bridgeport 124-2 JFK,U.S. House,4,WF,Jim Himes,48,0,1
Fairfield,Bridgeport 124-2 JFK,U.S. House,4,UNK,Jim Himes,47,4,1
Fairfield,Bridgeport 124-2 JFK,State Senate,23,DEM,Andres Ayala,801,100,11
Fairfield,Bridgeport 124-2 JFK,State Senate,23,WF,Andres Ayala,67,4,0
Fairfield,Bridgeport 124-2 JFK,State Senate,23,UNK,Andres Ayala,55,2,2
Fairfield,Bridgeport 124-2 JFK,State Assembly,124,DEM,Andre Baker,869,103,14
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,REP,Peter Lumaj,133,19,0
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,IND,Peter Lumaj,9,3,0
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,DEM,Denise Merrill,760,90,12
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,WF,Denise Merrill,46,4,0
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,UNK,Denise Merrill,27,0,1
Fairfield,Bridgeport 124-2 JFK,Secretary of State,,Green,Michael DeRosa,12,2,0
