County,Precinct,Office,District,Party,,Poll,Abs,EDR
Fairfield,Bridgeport 124-2 JFK,State Treasurer,,REP,Tim Herbst,121,20,0
Fairfield,Bridgeport 124-2 JFK,State Treasurer,,IND,Tim Herbst,12,0,0
Fairfield,Bridgeport 124-2 JFK,State Treasurer,,UNK,Tim Herbst,1,0,0
Fairfield,Bridgeport 124-2 JFK,State Treasurer,,DEM,Denise Nappier,771,97,12
Fairfield,Bridgeport 124-2 JFK,State Treasurer,,WF,Denise Nappier,47,2,0
Fairfield,Bridgeport 124-2 JFK,State Treasurer,,UNK,Denise Nappier,39,2,1
Fairfield,Bridgeport 124-2 JFK,Comptroller,,REP,Sharon McLaughlin,117,16,0
Fairfield,Bridgeport 124-2 JFK,Comptroller,,IND,Sharon McLaughlin,10,0,1
Fairfield,Bridgeport 124-2 JFK,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 124-2 JFK,Comptroller,,DEM,Kevin Lembo,755,95,12
Fairfield,Bridgeport 124-2 JFK,Comptroller,,WF,Kevin Lembo,50,0,0
Fairfield,Bridgeport 124-2 JFK,Comptroller,,IND,Kevin Lembo,23,0,1
Fairfield,Bridgeport 124-2 JFK,Comptroller,,Green,Rolf Maurer,9,3,0
Fairfield,Bridgeport 124-2 JFK,Attorney General,,REP,Kie Westby,114,16,0
Fairfield,Bridgeport 124-2 JFK,Attorney General,,IND,Kie Westby,8,0,0
Fairfield,Bridgeport 124-2 JFK,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 124-2 JFK,Attorney General,,DEM,George Jepsen,765,93,12
Fairfield,Bridgeport 124-2 JFK,Attorney General,,WF,George Jepsen,44,1,0
Fairfield,Bridgeport 124-2 JFK,Attorney General,,UNK,George Jepsen,27,0,1
Fairfield,Bridgeport 124-2 JFK,Attorney General,,Green,Stephen Fournier,10,2,0
Fairfield,Bridgeport 124-3 Dunbar,Governor,,REP,Thomas C. Foley,59,4,1
Fairfield,Bridgeport 124-3 Dunbar,Governor,,IND,Thomas C. Foley,8,0,0
Fairfield,Bridgeport 124-3 Dunbar,Governor,,UNK,Thomas C. Foley,2,0,0
Fairfield,Bridgeport 124-3 Dunbar,Governor,,DEM,Dannel P. Malloy,765,34,7
Fairfield,Bridgeport 124-3 Dunbar,Governor,,WF,Dannel P. Malloy,83,1,0
Fairfield,Bridgeport 124-3 Dunbar,Governor,,UNK,Dannel P. Malloy,78,5,1
Fairfield,Bridgeport 124-3 Dunbar,Governor,,PC,Joe Visconti,1,0,0
Fairfield,Bridgeport 124-3 Dunbar,U.S. House,4,REP,Dan Debicella,32,0,1
Fairfield,Bridgeport 124-3 Dunbar,U.S. House,4,IND,Dan Debicella,2,0,0
Fairfield,Bridgeport 124-3 Dunbar,U.S. House,4,UNK,Dan Debicella,1,0,0
Fairfield,Bridgeport 124-3 Dunbar,U.S. House,4,DEM,Jim Himes,776,37,7
Fairfield,Bridgeport 124-3 Dunbar,U.S. House,4,WF,Jim Himes,94,0,0
Fairfield,Bridgeport 124-3 Dunbar,U.S. House,4,UNK,Jim Himes,51,5,0
Fairfield,Bridgeport 124-3 Dunbar,State Senate,23,DEM,Andres Ayala,754,36,8
Fairfield,Bridgeport 124-3 Dunbar,State Senate,23,WF,Andres Ayala,91,0,0
Fairfield,Bridgeport 124-3 Dunbar,State Senate,23,UNK,Andres Ayala,38,3,0
Fairfield,Bridgeport 124-3 Dunbar,State Assembly,124,DEM,Andre Baker,844,36,7
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,REP,Peter Lumaj,37,0,0
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,IND,Peter Lumaj,3,0,0
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,DEM,Denise Merrill,742,37,8
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,WF,Denise Merrill,81,0,0
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,UNK,Denise Merrill,35,3,0
Fairfield,Bridgeport 124-3 Dunbar,Secretary of State,,Green,Michael DeRosa,4,0,0
Fairfield,Bridgeport 124-3 Dunbar,State Treasurer,,REP,Tim Herbst,37,0,0
Fairfield,Bridgeport 124-3 Dunbar,State Treasurer,,IND,Tim Herbst,8,0,0
Fairfield,Bridgeport 124-3 Dunbar,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 124-3 Dunbar,State Treasurer,,DEM,Denise Nappier,758,39,8
Fairfield,Bridgeport 124-3 Dunbar,State Treasurer,,WF,Denise Nappier,86,0,0
Fairfield,Bridgeport 124-3 Dunbar,State Treasurer,,UNK,Denise Nappier,36,3,0
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,REP,Sharon McLaughlin,41,0,1
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,IND,Sharon McLaughlin,7,0,0
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,UNK,Sharon McLaughlin,1,0,0
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,DEM,Kevin Lembo,719,37,6
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,WF,Kevin Lembo,89,0,0
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,IND,Kevin Lembo,31,3,0
Fairfield,Bridgeport 124-3 Dunbar,Comptroller,,Green,Rolf Maurer,2,0,0
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,REP,Kie Westby,32,0,1
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,IND,Kie Westby,6,0,0
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,DEM,George Jepsen,741,39,7
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,WF,George Jepsen,84,0,0
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,UNK,George Jepsen,32,3,0
Fairfield,Bridgeport 124-3 Dunbar,Attorney General,,Green,Stephen Fournier,3,0,0
Fairfield,Bridgeport 124-4 Harding,Governor,,REP,Thomas C. Foley,108,14,0
Fairfield,Bridgeport 124-4 Harding,Governor,,IND,Thomas C. Foley,8,1,0
Fairfield,Bridgeport 124-4 Harding,Governor,,UNK,Thomas C. Foley,4,8,0
Fairfield,Bridgeport 124-4 Harding,Governor,,DEM,Dannel P. Malloy,571,39,12
Fairfield,Bridgeport 124-4 Harding,Governor,,WF,Dannel P. Malloy,58,0,1
Fairfield,Bridgeport 124-4 Harding,Governor,,UNK,Dannel P. Malloy,97,2,2
Fairfield,Bridgeport 124-4 Harding,Governor,,PC,Joe Visconti,2,0,0
Fairfield,Bridgeport 124-4 Harding,U.S. House,4,REP,Dan Debicella,77,7,0
Fairfield,Bridgeport 124-4 Harding,U.S. House,4,IND,Dan Debicella,6,2,0
Fairfield,Bridgeport 124-4 Harding,U.S. House,4,UNK,Dan Debicella,1,0,0
Fairfield,Bridgeport 124-4 Harding,U.S. House,4,DEM,Jim Himes,579,42,12
Fairfield,Bridgeport 124-4 Harding,U.S. House,4,WF,Jim Himes,57,0,1
Fairfield,Bridgeport 124-4 Harding,U.S. House,4,UNK,Jim Himes,63,8,0
Fairfield,Bridgeport 124-4 Harding,State Senate,23,DEM,Andres Ayala,569,43,12
Fairfield,Bridgeport 124-4 Harding,State Senate,23,WF,Andres Ayala,59,1,1
Fairfield,Bridgeport 124-4 Harding,State Senate,23,UNK,Andres Ayala,58,2,0
Fairfield,Bridgeport 124-4 Harding,State Assembly,124,DEM,Andre Baker,651,43,12
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,REP,Peter Lumaj,88,17,0
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,IND,Peter Lumaj,7,1,0
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,UNK,Peter Lumaj,0,0,0
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,DEM,Denise Merrill,554,41,12
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,WF,Denise Merrill,54,0,1
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,UNK,Denise Merrill,46,1,0
Fairfield,Bridgeport 124-4 Harding,Secretary of State,,Green,Michael DeRosa,5,0,0
Fairfield,Bridgeport 124-4 Harding,State Treasurer,,REP,Tim Herbst,90,10,0
Fairfield,Bridgeport 124-4 Harding,State Treasurer,,IND,Tim Herbst,11,1,0
Fairfield,Bridgeport 124-4 Harding,State Treasurer,,UNK,Tim Herbst,1,0,0
Fairfield,Bridgeport 124-4 Harding,State Treasurer,,DEM,Denise Nappier,553,39,12
Fairfield,Bridgeport 124-4 Harding,State Treasurer,,WF,Denise Nappier,54,0,1
Fairfield,Bridgeport 124-4 Harding,State Treasurer,,UNK,Denise Nappier,49,2,0
Fairfield,Bridgeport 124-4 Harding,Comptroller,,REP,Sharon McLaughlin,84,8,0
Fairfield,Bridgeport 124-4 Harding,Comptroller,,IND,Sharon McLaughlin,9,0,0
Fairfield,Bridgeport 124-4 Harding,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 124-4 Harding,Comptroller,,DEM,Kevin Lembo,543,39,12
Fairfield,Bridgeport 124-4 Harding,Comptroller,,WF,Kevin Lembo,55,1,1
Fairfield,Bridgeport 124-4 Harding,Comptroller,,IND,Kevin Lembo,44,1,0
Fairfield,Bridgeport 124-4 Harding,Comptroller,,Green,Rolf Maurer,1,0,0
Fairfield,Bridgeport 124-4 Harding,Attorney General,,REP,Kie Westby,78,7,0
Fairfield,Bridgeport 124-4 Harding,Attorney General,,IND,Kie Westby,6,1,0
Fairfield,Bridgeport 124-4 Harding,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 124-4 Harding,Attorney General,,DEM,George Jepsen,547,40,12
Fairfield,Bridgeport 124-4 Harding,Attorney General,,WF,George Jepsen,58,1,1
Fairfield,Bridgeport 124-4 Harding,Attorney General,,UNK,George Jepsen,44,1,0
Fairfield,Bridgeport 124-4 Harding,Attorney General,,Green,Stephen Fournier,4,0,0
Fairfield,Bridgeport 126-1 Beardsley,Governor,,REP,Thomas C. Foley,25,1,0
Fairfield,Bridgeport 126-1 Beardsley,Governor,,IND,Thomas C. Foley,1,0,0
Fairfield,Bridgeport 126-1 Beardsley,Governor,,UNK,Thomas C. Foley,2,0,0
Fairfield,Bridgeport 126-1 Beardsley,Governor,,DEM,Dannel P. Malloy,85,3,1
Fairfield,Bridgeport 126-1 Beardsley,Governor,,WF,Dannel P. Malloy,5,0,0
Fairfield,Bridgeport 126-1 Beardsley,Governor,,UNK,Dannel P. Malloy,11,0,1
Fairfield,Bridgeport 126-1 Beardsley,Governor,,PC,Joe Visconti,1,0,0
Fairfield,Bridgeport 126-1 Beardsley,U.S. House,4,REP,Dan Debicella,20,0,1
Fairfield,Bridgeport 126-1 Beardsley,U.S. House,4,IND,Dan Debicella,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,U.S. House,4,DEM,Jim Himes,86,3,0
Fairfield,Bridgeport 126-1 Beardsley,U.S. House,4,WF,Jim Himes,7,0,0
Fairfield,Bridgeport 126-1 Beardsley,U.S. House,4,UNK,Jim Himes,8,0,1
Fairfield,Bridgeport 126-1 Beardsley,State Senate,23,DEM,Andres Ayala,81,3,0
Fairfield,Bridgeport 126-1 Beardsley,State Senate,23,WF,Andres Ayala,5,0,0
Fairfield,Bridgeport 126-1 Beardsley,State Senate,23,UNK,Andres Ayala,9,0,1
Fairfield,Bridgeport 126-1 Beardsley,State Assembly,126,DEM,Charlie Stallworth,89,3,1
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,REP,Peter Lumaj,21,1,0
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,IND,Peter Lumaj,3,0,0
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,DEM,Denise Merrill,81,3,0
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,WF,Denise Merrill,3,0,0
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,UNK,Denise Merrill,6,0,1
Fairfield,Bridgeport 126-1 Beardsley,Secretary of State,,Green,Michael DeRosa,3,0,0
Fairfield,Bridgeport 126-1 Beardsley,State Treasurer,,REP,Tim Herbst,22,1,0
Fairfield,Bridgeport 126-1 Beardsley,State Treasurer,,IND,Tim Herbst,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,State Treasurer,,UNK,Tim Herbst,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,State Treasurer,,DEM,Denise Nappier,83,3,0
Fairfield,Bridgeport 126-1 Beardsley,State Treasurer,,WF,Denise Nappier,4,0,0
Fairfield,Bridgeport 126-1 Beardsley,State Treasurer,,UNK,Denise Nappier,7,0,1
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,REP,Sharon McLaughlin,24,1,0
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,IND,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,DEM,Kevin Lembo,79,3,0
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,WF,Kevin Lembo,4,0,0
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,IND,Kevin Lembo,7,0,1
Fairfield,Bridgeport 126-1 Beardsley,Comptroller,,Green,Rolf Maurer,1,0,0
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,REP,Kie Westby,19,1,0
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,IND,Kie Westby,1,0,0
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,DEM,George Jepsen,82,3,0
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,WF,George Jepsen,3,0,0
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,UNK,George Jepsen,7,0,1
Fairfield,Bridgeport 126-1 Beardsley,Attorney General,,Green,Stephen Fournier,1,0,0
Fairfield,Bridgeport 126-2 Hallen,Governor,,REP,Thomas C. Foley,103,2,3
Fairfield,Bridgeport 126-2 Hallen,Governor,,IND,Thomas C. Foley,13,1,0
Fairfield,Bridgeport 126-2 Hallen,Governor,,UNK,Thomas C. Foley,7,1,0
Fairfield,Bridgeport 126-2 Hallen,Governor,,DEM,Dannel P. Malloy,735,13,9
Fairfield,Bridgeport 126-2 Hallen,Governor,,WF,Dannel P. Malloy,32,1,1
Fairfield,Bridgeport 126-2 Hallen,Governor,,UNK,Dannel P. Malloy,68,1,1
Fairfield,Bridgeport 126-2 Hallen,Governor,,PC,Joe Visconti,5,0,0
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,REP,Dan Debicella,93,1,3
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,IND,Dan Debicella,14,0,0
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,UNK,Dan Debicella,1,0,0
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,DEM,Jim Himes,658,14,9
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,WF,Jim Himes,34,1,1
Fairfield,Bridgeport 126-2 Hallen,U.S. House,4,UNK,Jim Himes,50,1,1
Fairfield,Bridgeport 126-2 Hallen,State Senate,23,DEM,Andres Ayala,645,12,9
,Bridgeport 126-2 Hallen,State Senate,23,WF,Andres Ayala,41,1,2
Fairfield,Bridgeport 126-2 Hallen,State Senate,23,UNK,Andres Ayala,37,0,0
Fairfield,Bridgeport 126-2 Hallen,State Assembly,126,DEM,Charlie Stallworth,689,14,10
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,REP,Peter Lumaj,84,2,3
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,IND,Peter Lumaj,13,0,0
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,DEM,Denise Merrill,626,12,9
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,WF,Denise Merrill,30,1,1
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,UNK,Denise Merrill,29,0,0
Fairfield,Bridgeport 126-2 Hallen,Secretary of State,,Green,Michael DeRosa,8,0,0
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,REP,Tim Herbst,85,2,3
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,IND,Tim Herbst,15,0,0
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,UNK,Tim Herbst,0,0,1
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,DEM,Denise Nappier,641,12,9
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,WF,Denise Nappier,36,1,2
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,UNK,Denise Nappier,31,0,0
Fairfield,Bridgeport 126-2 Hallen,State Treasurer,,write-in,Rolf Maurer,0,0,2
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,REP,Sharon McLaughlin,86,2,3
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,IND,Sharon McLaughlin,12,0,0
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,UNK,Sharon McLaughlin,0,0,0
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,DEM,Kevin Lembo,613,12,8
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,WF,Kevin Lembo,36,1,1
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,IND,Kevin Lembo,28,0,0
Fairfield,Bridgeport 126-2 Hallen,Comptroller,,Green,Rolf Maurer,10,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,REP,Kie Westby,77,2,4
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,IND,Kie Westby,12,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,UNK,Kie Westby,0,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,DEM,George Jepsen,624,12,8
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,WF,George Jepsen,40,1,2
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,UNK,George Jepsen,31,0,0
Fairfield,Bridgeport 126-2 Hallen,Attorney General,,Green,Stephen Fournier,9,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,REP,Thomas C. Foley,219,10,3
Fairfield,Bridgeport 126-3 Park City,Governor,,IND,Thomas C. Foley,7,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,UNK,Thomas C. Foley,4,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,DEM,Dannel P. Malloy,595,13,6
Fairfield,Bridgeport 126-3 Park City,Governor,,WF,Dannel P. Malloy,96,0,2
Fairfield,Bridgeport 126-3 Park City,Governor,,UNK,Dannel P. Malloy,78,1,1
Fairfield,Bridgeport 126-3 Park City,Governor,,PC,Joe Visconti,4,0,0
Fairfield,Bridgeport 126-3 Park City,Governor,,write-in,Donald Gaita,1,0,0
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,REP,Dan Debicella,185,8,1
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,IND,Dan Debicella,8,0,0
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,UNK,Dan Debicella,0,0,0
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,DEM,Jim Himes,626,12,9
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,WF,Jim Himes,102,0,1
Fairfield,Bridgeport 126-3 Park City,U.S. House,4,UNK,Jim Himes,61,0,1
Fairfield,Bridgeport 126-3 Park City,State Senate,22,REP,Enrico Costatini,200,9,2
Fairfield,Bridgeport 126-3 Park City,State Senate,13,DEM,Marilyn Moore,614,3,7
Fairfield,Bridgeport 126-3 Park City,State Senate,13,WF,Marilyn Moore,105,1,1
Fairfield,Bridgeport 126-3 Park City,State Senate,13,UNK,Marilyn Moore,55,0,0
Fairfield,Bridgeport 126-3 Park City,State Assembly,126,DEM,Charlie Stallworth,717,11,8
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,REP,Peter Lumaj,205,8,1
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,IND,Peter Lumaj,14,0,0
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,UNK,Peter Lumaj,1,0,0
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,DEM,Denise Merrill,595,11,8
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,WF,Denise Merrill,83,0,1
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,UNK,Denise Merrill,41,0,0
Fairfield,Bridgeport 126-3 Park City,Secretary of State,,Green,Michael DeRosa,16,0,0
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,REP,Tim Herbst,200,9,1
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,IND,Tim Herbst,23,0,0
Fairfield,Bridgeport 126-3 Park City,State Treasurer,,UNK,Tim Herbst,0,0,1
