town,precinct,office,district,party,candidate,votes
New Haven,New Haven 01-2-11-094,Governor,,R,Tom Foley,26
New Haven,New Haven 02-2-10-093,Governor,,R,Tom Foley,53
New Haven,New Haven 03-1-10-092,Governor,,R,Tom Foley,32
New Haven,New Haven 03-2-10-093,Governor,,R,Tom Foley,7
New Haven,New Haven 04-1-10-095,Governor,,R,Tom Foley,32
New Haven,New Haven 04-2-10-116,Governor,,R,Tom Foley,7
New Haven,New Haven 05-0-10-095,Governor,,R,Tom Foley,55
New Haven,New Haven 06-2-11-095,Governor,,R,Tom Foley,58
New Haven,New Haven 06-3-11-095,Governor,,R,Tom Foley,10
New Haven,New Haven 07-2-11-096,Governor,,R,Tom Foley,170
New Haven,New Haven 08-1-11-095,Governor,,R,Tom Foley,19
New Haven,New Haven 08-2-11-096,Governor,,R,Tom Foley,123
New Haven,New Haven 09-2-11-096,Governor,,R,Tom Foley,101
New Haven,New Haven 10-0-11-096,Governor,,R,Tom Foley,143
New Haven,New Haven 11-1-11-097,Governor,,R,Tom Foley,104
New Haven,New Haven 11-2-11-097,Governor,,R,Tom Foley,32
New Haven,New Haven 11-3-11-097,Governor,,R,Tom Foley,46
New Haven,New Haven 12-1-11-096,Governor,,R,Tom Foley,45
New Haven,New Haven 12-2-11-097,Governor,,R,Tom Foley,73
New Haven,New Haven 13-0-11-097,Governor,,R,Tom Foley,161
New Haven,New Haven 14-1-11-095,Governor,,R,Tom Foley,71
New Haven,New Haven 15-1-11-095,Governor,,R,Tom Foley,64
New Haven,New Haven 16-0-11-095,Governor,,R,Tom Foley,56
New Haven,New Haven 17-0-11-097,Governor,,R,Tom Foley,258
New Haven,New Haven 18-0-11-097,Governor,,R,Tom Foley,495
New Haven,New Haven 19-1-10-094,Governor,,R,Tom Foley,18
New Haven,New Haven 19-2-11-094,Governor,,R,Tom Foley,60
New Haven,New Haven 20-2-10-094,Governor,,R,Tom Foley,27
New Haven,New Haven 21-1-10-093,Governor,,R,Tom Foley,11
New Haven,New Haven 22-1-10-093,Governor,,R,Tom Foley,28
New Haven,New Haven 22-2-10-094,Governor,,R,Tom Foley,34
