town,office,district,party,candidate,votes,absentee
Avon,Governor,,REP,Thomas C. Foley,3578,
Avon,Governor,,DEM,Dannel P. Malloy,3201,
Avon,Governor,,WOR,Dannel P. Malloy,85,
Avon,Governor,,IND,Thomas C. Foley,242,
Avon,Governor,,,Joe Visconti,48,
Avon,Governor,,,Jonathan Pelto,2,
Avon,Governor,,,John Renjilian,0,
Avon,Governor,,,John Traceski,0,
Avon,Governor,,,Daniel R. Galta,0,
Avon,U.S. House,5,REP,Mark Greenberg,4044,
Avon,U.S. House,5,DEM,Elizabeth Esty,3567,
Avon,U.S. House,5,WOR,Elizabeth Esty,155,
Avon,U.S. House,5,IND,Mark Greenberg,144,
Avon,U.S. House,5,,John J. Pistone,54,
Avon,State Senate,8,REP,Kevin D. Witkos,4771,
Avon,State Senate,8,DEM,Melissa E. Osborne,2871,
Avon,State Senate,8,IND,Kevin D. Witkos,261,
Avon,State House,17,REP,Timothy B. LeGeyt,4120,
Avon,State House,19,REP,Mark Zydanowicz,1067,
Avon,State House,19,DEM,Brian Becker,1019,
Avon,Secretary of State,,REP,Peter Lumaj,4320,
Avon,Secretary of State,,DEM,Denise W. Merrill,3131,
Avon,Secretary of State,,WOR,Denise W. Merrill,113,
Avon,Secretary of State,,IND,Peter Lumaj,187,
Avon,Secretary of State,,GRN,S. Michael DeRosa,112,
Avon,Attorney General,,REP,Kie Westby,,
Avon,Attorney General,,DEM,George Jepsen,,
Avon,Attorney General,,WOR,George Jepsen,,
Avon,Attorney General,,IND,Kie Westby,,
Avon,Attorney General,,GRN,Stephen E. Fournier,,
Avon,Registered Voters,,,,11558,
Avon,Ballots Cast,,,,7781,573
Avon,Treasurer,,REP,Timothy M. Herbst,4713,
Avon,Treasurer,,DEM,Denise L. Nappler,2795,
Avon,Treasurer,,WOR,Denise L. Nappler,103,
Avon,Treasurer,,IND,Timothy M. Herbst,235,
Avon,Treasurer,,,Rolf Maurer,2,
Avon,Comptroller,,REP,Sharon J. McLaughlin,4086,
Avon,Comptroller,,DEM,Kevin Lembo,3248,
Avon,Comptroller,,WOR,Kevin Lembo,120,
Avon,Comptroller,,IND,Sharon J. McLaughlin,171,
Avon,Comptroller,,GRN,Rolf Maurer,91,
