town,precinct,office,district,candidate,party,votes,polls,absentee
Hartford,W Hartford 1,Governor,,Thomas Foley,Rep,775,711,64
Hartford,W Hartford 2,Governor,,Thomas Foley,Rep,1033,945,88
Hartford,W Hartford 3,Governor,,Thomas Foley,Rep,793,714,79
Hartford,W Hartford 4,Governor,,Thomas Foley,Rep,634,609,25
Hartford,W Hartford 5,Governor,,Thomas Foley,Rep,756,723,33
Hartford,W Hartford 6,Governor,,Thomas Foley,Rep,1100,1032,68
Hartford,W Hartford 7,Governor,,Thomas Foley,Rep,1096,1042,54
Hartford,W Hartford 8,Governor,,Thomas Foley,Rep,1465,1364,101
Hartford,W Hartford 9,Governor,,Thomas Foley,Rep,816,773,43
Hartford,W Hartford Total,Governor,,Thomas Foley,Rep,8468,7913,555
Hartford,W Hartford 1,Governor,,Dannel Malloy,Dem,1483,1287,196
Hartford,W Hartford 2,Governor,,Dannel Malloy,Dem,1930,1739,191
Hartford,W Hartford 3,Governor,,Dannel Malloy,Dem,1998,1815,183
Hartford,W Hartford 4,Governor,,Dannel Malloy,Dem,1549,1475,74
Hartford,W Hartford 5,Governor,,Dannel Malloy,Dem,1361,1273,88
Hartford,W Hartford 6,Governor,,Dannel Malloy,Dem,1454,1369,85
Hartford,W Hartford 7,Governor,,Dannel Malloy,Dem,1406,1307,99
Hartford,W Hartford 8,Governor,,Dannel Malloy,Dem,1781,1668,113
Hartford,W Hartford 9,Governor,,Dannel Malloy,Dem,1276,1187,89
Hartford,W Hartford Total,Governor,,Dannel Malloy,Dem,14238,13120,1118
Hartford,W Hartford 1,Governor,,Dannel Malloy,WF,39,33,6
Hartford,W Hartford 2,Governor,,Dannel Malloy,WF,78,75,3
Hartford,W Hartford 3,Governor,,Dannel Malloy,WF,106,100,6
Hartford,W Hartford 4,Governor,,Dannel Malloy,WF,103,98,5
Hartford,W Hartford 5,Governor,,Dannel Malloy,WF,59,57,2
Hartford,W Hartford 6,Governor,,Dannel Malloy,WF,51,50,1
Hartford,W Hartford 7,Governor,,Dannel Malloy,WF,51,49,2
Hartford,W Hartford 8,Governor,,Dannel Malloy,WF,63,59,4
Hartford,W Hartford 9,Governor,,Dannel Malloy,WF,29,28,1
Hartford,W Hartford Total,Governor,,Dannel Malloy,WF,579,549,30
Hartford,W Hartford 1,Governor,,Thomas Foley,Ind,22,22,0
Hartford,W Hartford 2,Governor,,Thomas Foley,Ind,36,31,5
Hartford,W Hartford 3,Governor,,Thomas Foley,Ind,51,47,4
Hartford,W Hartford 4,Governor,,Thomas Foley,Ind,29,29,0
Hartford,W Hartford 5,Governor,,Thomas Foley,Ind,40,35,5
Hartford,W Hartford 6,Governor,,Thomas Foley,Ind,37,37,0
Hartford,W Hartford 7,Governor,,Thomas Foley,Ind,42,41,1
Hartford,W Hartford 8,Governor,,Thomas Foley,Ind,44,42,2
Hartford,W Hartford 9,Governor,,Thomas Foley,Ind,24,20,4
Hartford,W Hartford Total,Governor,,Thomas Foley,Ind,325,304,21
Hartford,W Hartford 1,Governor,,Joe Visconti,Pet,19,19,0
Hartford,W Hartford 2,Governor,,Joe Visconti,Pet,11,8,3
Hartford,W Hartford 3,Governor,,Joe Visconti,Pet,25,19,6
Hartford,W Hartford 4,Governor,,Joe Visconti,Pet,27,24,3
Hartford,W Hartford 5,Governor,,Joe Visconti,Pet,21,20,1
Hartford,W Hartford 6,Governor,,Joe Visconti,Pet,22,21,1
Hartford,W Hartford 7,Governor,,Joe Visconti,Pet,24,19,5
Hartford,W Hartford 8,Governor,,Joe Visconti,Pet,16,16,0
