town,office,district,party,candidate,votes
Andover,Governor,,REP,Thomas C. Foley,714
Andover,Governor,,DEM,Dannel P. Malloy,554
Andover,Governor,,WOR,Dannel P. Malloy,40
Andover,Governor,,IND,Thomas C. Foley,38
Andover,Governor,,,Joe Visconti,23
Andover,Governor,,,Jonathan Pelto,0
Andover,Governor,,,John Renjilian,3
Andover,Governor,,,John Traceski,3
Andover,Governor,,,Daniel R. Galta,3
Andover,U.S. House,2,REP,Lori Hopkins-Cavanagh,544
Andover,U.S. House,2,DEM,Joe Courtney,717
Andover,U.S. House,2,WOR,Joe Courtney,58
Andover,U.S. House,2,GRN,William C. Clyde,17
Andover,U.S. House,2,LIB,Daniel Reale,11
Andover,State Senate,4,REP,Whit Osgood,632
Andover,State Senate,4,DEM,Steve Cassano,598
Andover,State Senate,4,WOR,Steve Cassano,50
Andover,State Senate,4,IND,Whit Osgood,49
Andover,State House,55,REP,Gayle Mulligan,782
Andover,State House,55,DEM,Joseph A. La Bella,469
Andover,State House,55,IND,Gayle Mulligan,78
Andover,Secretary of State,,REP,Peter Lumaj,627
Andover,Secretary of State,,DEM,Denise W. Merrill,569
Andover,Secretary of State,,WOR,Denise W. Merrill,47
Andover,Secretary of State,,IND,Peter Lumaj,44
Andover,Secretary of State,,GRN,S. Michael DeRosa,41
Andover,Attorney General,,REP,Kie Westby,530
Andover,Attorney General,,DEM,George Jepsen,671
Andover,Attorney General,,WOR,George Jepsen,49
Andover,Attorney General,,IND,Kie Westby,39
Andover,Attorney General,,GRN,Stephen E. Fournier,39
Andover,Registered Voters,,,,2036
Andover,Ballots Cast,,,,1368
