county,town,precinct,office,district,candidate,party,votes,poll,abs,edr
Hartford,Bloomfield,Bloomfield 5,Secretary of State,,Denise Merrill,Dem,1472,1374,69,29
Hartford,Bloomfield,Bloomfield 1,Secretary of State,,Denise Merrill,WF,34,30,4,0
Hartford,Bloomfield,Bloomfield 2,Secretary of State,,Denise Merrill,WF,40,38,0,2
Hartford,Bloomfield,Bloomfield 3,Secretary of State,,Denise Merrill,WF,37,37,0,0
Hartford,Bloomfield,Bloomfield 4,Secretary of State,,Denise Merrill,WF,39,32,6,1
Hartford,Bloomfield,Bloomfield 5,Secretary of State,,Denise Merrill,WF,60,56,1,3
Hartford,Bloomfield,Bloomfield 1,Secretary of State,,Michael DeRosa,Green,33,29,3,1
Hartford,Bloomfield,Bloomfield 2,Secretary of State,,Michael DeRosa,Green,22,20,2,0
Hartford,Bloomfield,Bloomfield 3,Secretary of State,,Michael DeRosa,Green,6,5,0,1
Hartford,Bloomfield,Bloomfield 4,Secretary of State,,Michael DeRosa,Green,20,19,0,1
Hartford,Bloomfield,Bloomfield 5,Secretary of State,,Michael DeRosa,Green,26,25,0,1
Hartford,Bloomfield,Bloomfield 1,State Treasurer,,Tim Herbst,Rep,668,594,71,3
Hartford,Bloomfield,Bloomfield 2,State Treasurer,,Tim Herbst,Rep,409,377,31,1
Hartford,Bloomfield,Bloomfield 3,State Treasurer,,Tim Herbst,Rep,63,54,9,0
Hartford,Bloomfield,Bloomfield 4,State Treasurer,,Tim Herbst,Rep,368,335,27,6
Hartford,Bloomfield,Bloomfield 5,State Treasurer,,Tim Herbst,Rep,277,258,16,3
Hartford,Bloomfield,Bloomfield 1,State Treasurer,,Tim Herbst,Ind,56,52,3,1
Hartford,Bloomfield,Bloomfield 2,State Treasurer,,Tim Herbst,Ind,22,19,2,1
Hartford,Bloomfield,Bloomfield 3,State Treasurer,,Tim Herbst,Ind,9,8,1,0
Hartford,Bloomfield,Bloomfield 4,State Treasurer,,Tim Herbst,Ind,27,22,3,2
Hartford,Bloomfield,Bloomfield 5,State Treasurer,,Tim Herbst,Ind,41,37,4,0
Hartford,Bloomfield,Bloomfield 1,State Treasurer,,Denise Nappier,Dem,789,703,80,6
Hartford,Bloomfield,Bloomfield 2,State Treasurer,,Denise Nappier,Dem,1352,1252,86,14
Hartford,Bloomfield,Bloomfield 3,State Treasurer,,Denise Nappier,Dem,1288,1205,54,29
Hartford,Bloomfield,Bloomfield 4,State Treasurer,,Denise Nappier,Dem,1105,999,87,19
Hartford,Bloomfield,Bloomfield 5,State Treasurer,,Denise Nappier,Dem,1479,1388,62,29
Hartford,Bloomfield,Bloomfield 1,State Treasurer,,Denise Nappier,WF,28,25,3,0
Hartford,Bloomfield,Bloomfield 2,State Treasurer,,Denise Nappier,WF,40,38,0,2
Hartford,Bloomfield,Bloomfield 3,State Treasurer,,Denise Nappier,WF,38,38,0,0
Hartford,Bloomfield,Bloomfield 4,State Treasurer,,Denise Nappier,WF,47,42,4,1
Hartford,Bloomfield,Bloomfield 5,State Treasurer,,Denise Nappier,WF,69,65,1,3
Hartford,Bloomfield,Bloomfield 1,Comptroller,,Sharon McLaughlin,Rep,540,477,60,3
Hartford,Bloomfield,Bloomfield 2,Comptroller,,Sharon McLaughlin,Rep,324,301,22,1
Hartford,Bloomfield,Bloomfield 3,Comptroller,,Sharon McLaughlin,Rep,57,51,6,0
Hartford,Bloomfield,Bloomfield 4,Comptroller,,Sharon McLaughlin,Rep,308,274,28,6
Hartford,Bloomfield,Bloomfield 5,Comptroller,,Sharon McLaughlin,Rep,234,222,9,3
Hartford,Bloomfield,Bloomfield 1,Comptroller,,Sharon McLaughlin,Ind,23,20,2,1
Hartford,Bloomfield,Bloomfield 2,Comptroller,,Sharon McLaughlin,Ind,16,14,2,0
Hartford,Bloomfield,Bloomfield 3,Comptroller,,Sharon McLaughlin,Ind,8,8,0,0
Hartford,Bloomfield,Bloomfield 4,Comptroller,,Sharon McLaughlin,Ind,21,19,2,0
Hartford,Bloomfield,Bloomfield 5,Comptroller,,Sharon McLaughlin,Ind,26,25,1,0
Hartford,Bloomfield,Bloomfield 1,Comptroller,,Kevin Lembo,Dem,932,838,88,6
Hartford,Bloomfield,Bloomfield 2,Comptroller,,Kevin Lembo,Dem,1356,1250,93,13
Hartford,Bloomfield,Bloomfield 3,Comptroller,,Kevin Lembo,Dem,1137,1054,56,27
Hartford,Bloomfield,Bloomfield 4,Comptroller,,Kevin Lembo,Dem,1097,994,82,21
Hartford,Bloomfield,Bloomfield 5,Comptroller,,Kevin Lembo,Dem,1397,1299,69,29
Hartford,Bloomfield,Bloomfield 1,Comptroller,,Kevin Lembo,WF,37,32,5,0
Hartford,Bloomfield,Bloomfield 2,Comptroller,,Kevin Lembo,WF,43,40,1,2
Hartford,Bloomfield,Bloomfield 3,Comptroller,,Kevin Lembo,WF,33,33,0,0
Hartford,Bloomfield,Bloomfield 4,Comptroller,,Kevin Lembo,WF,47,40,5,2
Hartford,Bloomfield,Bloomfield 5,Comptroller,,Kevin Lembo,WF,59,54,2,3
Hartford,Bloomfield,Bloomfield 1,Comptroller,,Rolf Maurer,Green,25,22,3,0
Hartford,Bloomfield,Bloomfield 2,Comptroller,,Rolf Maurer,Green,18,17,0,1
Hartford,Bloomfield,Bloomfield 3,Comptroller,,Rolf Maurer,Green,6,5,0,1
Hartford,Bloomfield,Bloomfield 4,Comptroller,,Rolf Maurer,Green,9,8,0,1
Hartford,Bloomfield,Bloomfield 5,Comptroller,,Rolf Maurer,Green,18,17,0,1
Hartford,Bloomfield,Bloomfield 1,Attorney General,,Kie Westby,Rep,462,411,50,1
Hartford,Bloomfield,Bloomfield 2,Attorney General,,Kie Westby,Rep,284,265,18,1
Hartford,Bloomfield,Bloomfield 3,Attorney General,,Kie Westby,Rep,51,45,6,0
Hartford,Bloomfield,Bloomfield 4,Attorney General,,Kie Westby,Rep,244,219,21,4
Hartford,Bloomfield,Bloomfield 5,Attorney General,,Kie Westby,Rep,208,199,6,3
Hartford,Bloomfield,Bloomfield 1,Attorney General,,Kie Westby,Ind,14,11,1,2
Hartford,Bloomfield,Bloomfield 2,Attorney General,,Kie Westby,Ind,13,11,2,0
Hartford,Bloomfield,Bloomfield 3,Attorney General,,Kie Westby,Ind,3,3,0,0
Hartford,Bloomfield,Bloomfield 4,Attorney General,,Kie Westby,Ind,14,12,2,0
Hartford,Bloomfield,Bloomfield 5,Attorney General,,Kie Westby,Ind,20,19,1,0
Hartford,Bloomfield,Bloomfield 1,Attorney General,,George Jepsen,Dem,995,887,102,6
Hartford,Bloomfield,Bloomfield 2,Attorney General,,George Jepsen,Dem,1431,1323,95,13
Hartford,Bloomfield,Bloomfield 3,Attorney General,,George Jepsen,Dem,1248,1164,57,27
Hartford,Bloomfield,Bloomfield 4,Attorney General,,George Jepsen,Dem,1199,1088,90,21
Hartford,Bloomfield,Bloomfield 5,Attorney General,,George Jepsen,Dem,1522,1419,74,29
Hartford,Bloomfield,Bloomfield 1,Attorney General,,George Jepsen,WF,34,31,3,0
Hartford,Bloomfield,Bloomfield 2,Attorney General,,George Jepsen,WF,44,41,1,2
Hartford,Bloomfield,Bloomfield 3,Attorney General,,George Jepsen,WF,36,36,0,0
Hartford,Bloomfield,Bloomfield 4,Attorney General,,George Jepsen,WF,47,40,5,2
Hartford,Bloomfield,Bloomfield 5,Attorney General,,George Jepsen,WF,61,56,2,3
Hartford,Bloomfield,Bloomfield 1,Attorney General,,Stephen Fournier,Green,35,29,5,1
Hartford,Bloomfield,Bloomfield 2,Attorney General,,Stephen Fournier,Green,20,18,1,1
Hartford,Bloomfield,Bloomfield 3,Attorney General,,Stephen Fournier,Green,6,5,0,1
Hartford,Bloomfield,Bloomfield 4,Attorney General,,Stephen Fournier,Green,19,17,1,1
Hartford,Bloomfield,Bloomfield 5,Attorney General,,Stephen Fournier,Green,21,20,0,1
