county,town,precinct,office,district,candidate,party,votes,poll,abs,edr
Hartford,Bloomfield,Bloomfield 1,Governor,,Thomas Foley,Rep,595,526,67,2
Hartford,Bloomfield,Bloomfield 2,Governor,,Thomas Foley,Rep,375,350,24,1
Hartford,Bloomfield,Bloomfield 3,Governor,,Thomas Foley,Rep,634,624,10,0
Hartford,Bloomfield,Bloomfield 4,Governor,,Thomas Foley,Rep,358,321,30,7
Hartford,Bloomfield,Bloomfield 5,Governor,,Thomas Foley,Rep,268,257,8,3
Hartford,Bloomfield,Bloomfield 1,Governor,,Dannel Malloy,Dem,910,812,92,6
Hartford,Bloomfield,Bloomfield 2,Governor,,Dannel Malloy,Dem,1421,1314,92,15
Hartford,Bloomfield,Bloomfield 3,Governor,,Dannel Malloy,Dem,1302,1215,59,28
Hartford,Bloomfield,Bloomfield 4,Governor,,Dannel Malloy,Dem,1181,1074,87,20
Hartford,Bloomfield,Bloomfield 5,Governor,,Dannel Malloy,Dem,1575,1466,75,34
Hartford,Bloomfield,Bloomfield 1,Governor,,Dannel Malloy,WF,28,25,3,0
Hartford,Bloomfield,Bloomfield 2,Governor,,Dannel Malloy,WF,37,34,1,2
Hartford,Bloomfield,Bloomfield 3,Governor,,Dannel Malloy,WF,44,44,0,0
Hartford,Bloomfield,Bloomfield 4,Governor,,Dannel Malloy,WF,35,29,5,1
Hartford,Bloomfield,Bloomfield 5,Governor,,Dannel Malloy,WF,47,44,0,3
Hartford,Bloomfield,Bloomfield 1,Governor,,Thomas Foley,Ind,19,16,1,2
Hartford,Bloomfield,Bloomfield 2,Governor,,Thomas Foley,Ind,13,12,1,0
Hartford,Bloomfield,Bloomfield 3,Governor,,Thomas Foley,Ind,6,6,0,0
Hartford,Bloomfield,Bloomfield 4,Governor,,Thomas Foley,Ind,13,10,2,1
Hartford,Bloomfield,Bloomfield 5,Governor,,Thomas Foley,Ind,21,20,1,0
Hartford,Bloomfield,Bloomfield 1,Governor,,Joe Visconti,Pet,3,2,1,0
Hartford,Bloomfield,Bloomfield 2,Governor,,Joe Visconti,Pet,17,13,4,0
Hartford,Bloomfield,Bloomfield 3,Governor,,Joe Visconti,Pet,3,3,0,0
Hartford,Bloomfield,Bloomfield 4,Governor,,Joe Visconti,Pet,7,6,1,0
Hartford,Bloomfield,Bloomfield 5,Governor,,Joe Visconti,Pet,8,7,1,0
Hartford,Bloomfield,Bloomfield 5,Governor,,Jonathan Pelto,write-in,1,0,0,0
Hartford,Bloomfield,Bloomfield 4,Governor,,John Traceski,write-in,0,0,1,0
Hartford,Bloomfield,Bloomfield 1,US House,1,Matthew Corey,Rep,499,436,60,3
Hartford,Bloomfield,Bloomfield 2,US House,1,Matthew Corey,Rep,309,288,20,1
Hartford,Bloomfield,Bloomfield 3,US House,1,Matthew Corey,Rep,55,49,6,0
Hartford,Bloomfield,Bloomfield 4,US House,1,Matthew Corey,Rep,271,241,25,5
Hartford,Bloomfield,Bloomfield 5,US House,1,Matthew Corey,Rep,218,207,7,4
Hartford,Bloomfield,Bloomfield 1,US House,1,John Larson,Dem,1000,899,93,8
Hartford,Bloomfield,Bloomfield 2,US House,1,John Larson,Dem,1441,1331,96,14
Hartford,Bloomfield,Bloomfield 3,US House,1,John Larson,Dem,1269,1183,58,28
Hartford,Bloomfield,Bloomfield 4,US House,1,John Larson,Dem,1203,1093,89,21
Hartford,Bloomfield,Bloomfield 5,US House,1,John Larson,Dem,1541,1435,76,30
Hartford,Bloomfield,Bloomfield 1,US House,1,John Larson,WF,35,32,3,0
Hartford,Bloomfield,Bloomfield 2,US House,1,John Larson,WF,55,49,4,2
Hartford,Bloomfield,Bloomfield 3,US House,1,John Larson,WF,46,46,0,0
Hartford,Bloomfield,Bloomfield 4,US House,1,John Larson,WF,54,47,6,1
Hartford,Bloomfield,Bloomfield 5,US House,1,John Larson,WF,69,65,1,3
Hartford,Bloomfield,Bloomfield 1,US House,1,Jeffery Russell,Green,27,21,6,0
Hartford,Bloomfield,Bloomfield 2,US House,1,Jeffery Russell,Green,17,14,2,1
Hartford,Bloomfield,Bloomfield 3,US House,1,Jeffery Russell,Green,5,4,0,1
Hartford,Bloomfield,Bloomfield 4,US House,1,Jeffery Russell,Green,15,14,1,0
Hartford,Bloomfield,Bloomfield 5,US House,1,Jeffery Russell,Green,18,17,0,1
Hartford,Bloomfield,Bloomfield 1,State Senate,5,Bill Wadsworth,Rep,541,476,63,2
Hartford,Bloomfield,Bloomfield 1,State Senate,5,Bill Wadsworth,Ind,30,26,2,2
Hartford,Bloomfield,Bloomfield 1,State Senate,5,Beth Bye,Dem,959,860,94,5
Hartford,Bloomfield,Bloomfield 2,State Senate,2,Theresa Tillett,Rep,359,331,28,0
Hartford,Bloomfield,Bloomfield 3,State Senate,2,Theresa Tillett,Rep,64,56,8,0
Hartford,Bloomfield,Bloomfield 4,State Senate,2,Theresa Tillett,Rep,305,272,27,6
Hartford,Bloomfield,Bloomfield 5,State Senate,2,Theresa Tillett,Rep,266,246,15,5
Hartford,Bloomfield,Bloomfield 2,State Senate,2,Eric Coleman,Dem,1385,1286,85,14
Hartford,Bloomfield,Bloomfield 3,State Senate,2,Eric Coleman,Dem,1269,1188,53,28
Hartford,Bloomfield,Bloomfield 4,State Senate,2,Eric Coleman,Dem,1177,1067,89,21
Hartford,Bloomfield,Bloomfield 5,State Senate,2,Eric Coleman,Dem,1527,1408,90,29
Hartford,Bloomfield,Bloomfield 2,State Senate,2,Eric Coleman,WF,47,44,0,3
Hartford,Bloomfield,Bloomfield 3,State Senate,2,Eric Coleman,WF,48,47,1,0
Hartford,Bloomfield,Bloomfield 4,State Senate,2,Eric Coleman,WF,51,46,4,1
Hartford,Bloomfield,Bloomfield 5,State Senate,2,Eric Coleman,WF,74,71,0,3
Hartford,Bloomfield,Bloomfield 1,State House,15,James McGovern,Rep,510,450,56,4
Hartford,Bloomfield,Bloomfield 2,State House,15,James McGovern,Rep,311,291,20,0
Hartford,Bloomfield,Bloomfield 3,State House,15,James McGovern,Rep,62,56,6,0
Hartford,Bloomfield,Bloomfield 4,State House,15,James McGovern,Rep,301,268,28,5
Hartford,Bloomfield,Bloomfield 5,State House,15,James McGovern,Rep,243,227,13,3
Hartford,Bloomfield,Bloomfield 1,State House,15,David Baram,Dem,977,878,95,4
Hartford,Bloomfield,Bloomfield 2,State House,15,David Baram,Dem,1454,1340,100,14
Hartford,Bloomfield,Bloomfield 3,State House,15,David Baram,Dem,1255,1169,58,28
Hartford,Bloomfield,Bloomfield 4,State House,15,David Baram,Dem,1173,1064,88,21
Hartford,Bloomfield,Bloomfield 5,State House,15,David Baram,Dem,1519,1421,69,29
Hartford,Bloomfield,Bloomfield 1,State House,15,David Baram,WF,46,41,5,0
Hartford,Bloomfield,Bloomfield 2,State House,15,David Baram,WF,47,45,0,2
Hartford,Bloomfield,Bloomfield 3,State House,15,David Baram,WF,40,39,1,0
Hartford,Bloomfield,Bloomfield 4,State House,15,David Baram,WF,52,45,6,1
Hartford,Bloomfield,Bloomfield 5,State House,15,David Baram,WF,70,66,1,3
Hartford,Bloomfield,Bloomfield 1,Secretary of State,,Peter Lumaj,Rep,549,486,61,2
Hartford,Bloomfield,Bloomfield 2,Secretary of State,,Peter Lumaj,Rep,348,324,23,1
Hartford,Bloomfield,Bloomfield 3,Secretary of State,,Peter Lumaj,Rep,54,47,7,0
Hartford,Bloomfield,Bloomfield 4,Secretary of State,,Peter Lumaj,Rep,319,287,26,6
Hartford,Bloomfield,Bloomfield 5,Secretary of State,,Peter Lumaj,Rep,234,222,9,3
Hartford,Bloomfield,Bloomfield 1,Secretary of State,,Peter Lumaj,Ind,19,17,1,1
Hartford,Bloomfield,Bloomfield 2,Secretary of State,,Peter Lumaj,Ind,19,17,1,1
Hartford,Bloomfield,Bloomfield 3,Secretary of State,,Peter Lumaj,Ind,4,4,0,0
Hartford,Bloomfield,Bloomfield 4,Secretary of State,,Peter Lumaj,Ind,18,17,0,1
Hartford,Bloomfield,Bloomfield 5,Secretary of State,,Peter Lumaj,Ind,26,24,2,0
Hartford,Bloomfield,Bloomfield 1,Secretary of State,,Denise Merrill,Dem,913,817,90,6
Hartford,Bloomfield,Bloomfield 2,Secretary of State,,Denise Merrill,Dem,1381,1273,95,13
Hartford,Bloomfield,Bloomfield 3,Secretary of State,,Denise Merrill,Dem,1242,1156,59,27
Hartford,Bloomfield,Bloomfield 4,Secretary of State,,Denise Merrill,Dem,1141,1033,88,20
