County,Precinct,Office,District,Party,Candidate,Poll,EDR,Abs
Hartford,Rocky Hill 1A - CC D2,Governor,,REP,Thomas C. Foley,852,21,38
Hartford,Rocky Hill 1A - CC D2,Governor,,IND,Thomas C. Foley,28,0,2
Hartford,Rocky Hill 1A - CC D2,Governor,,UNK,Thomas C. Foley,7,0,0
Hartford,Rocky Hill 1A - CC D2,Governor,,DEM,Dannel P. Malloy,1013,27,55
Hartford,Rocky Hill 1A - CC D2,Governor,,WF,Dannel P. Malloy,39,1,0
Hartford,Rocky Hill 1A - CC D2,Governor,,UNK,Dannel P. Malloy,38,1,1
Hartford,Rocky Hill 1A - CC D2,Governor,,PC,Joe Visconti,28,1,1
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,REP,Matthew Corey,692,15,33
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,DEM,John Larson,1129,29,60
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,WF,John Larson,67,1,3
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,UNK,John Larson,21,0,1
Hartford,Rocky Hill 1A - CC D2,U.S. House,1,Green,Jeffery Russell,39,0,2
Hartford,Rocky Hill 1A - CC D2,State Senate,,REP,Earle Roberts,656,13,26
Hartford,Rocky Hill 1A - CC D2,State Senate,,DEM,Paul Doyle,1273,32,67
Hartford,Rocky Hill 1A - CC D2,State Assembly,,DEM,Tony Guerrera,1379,32,75
Hartford,Rocky Hill 1A - CC D2,State Assembly,,WF,Tony Guerrera,180,3,3
Hartford,Rocky Hill 1A - CC D2,State Assembly,,UNK,Tony Guerrera,19,1,1
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,REP,Peter Lumaj,742,18,30
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,IND,Peter Lumaj,53,1,4
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,UNK,Peter Lumaj,3,0,0
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,DEM,Denise Merrill,1009,25,59
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,WF,Denise Merrill,60,1,1
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,UNK,Denise Merrill,9,0,1
Hartford,Rocky Hill 1A - CC D2,Secretary of State,,Green,Michael DeRosa,58,2,4
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,REP,Tim Herbst,862,16,32
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,IND,Tim Herbst,76,1,4
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,UNK,Tim Herbst,4,0,0
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,DEM,Denise Nappier,949,26,60
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,WF,Denise Nappier,49,2,0
Hartford,Rocky Hill 1A - CC D2,State Treasurer,,UNK,Denise Nappier,11,0,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,REP,Sharon McLaughlin,696,14,35
Hartford,Rocky Hill 1A - CC D2,Comptroller,,IND,Sharon McLaughlin,48,0,2
Hartford,Rocky Hill 1A - CC D2,Comptroller,,UNK,Sharon McLaughlin,1,0,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,DEM,Kevin Lembo,1058,26,54
Hartford,Rocky Hill 1A - CC D2,Comptroller,,WF,Kevin Lembo,57,1,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,UNK,Kevin Lembo,8,0,1
Hartford,Rocky Hill 1A - CC D2,Comptroller,,Green,Rolf Maurer,35,2,2
Hartford,Rocky Hill 1A - CC D2,Attorney General,,REP,Kie Westby,645,12,29
Hartford,Rocky Hill 1A - CC D2,Attorney General,,IND,Kie Westby,36,0,1
Hartford,Rocky Hill 1A - CC D2,Attorney General,,UNK,Kie Westby,1,0,0
Hartford,Rocky Hill 1A - CC D2,Attorney General,,DEM,George Jepsen,1126,30,62
Hartford,Rocky Hill 1A - CC D2,Attorney General,,WF,George Jepsen,56,1,2
Hartford,Rocky Hill 1A - CC D2,Attorney General,,UNK,George Jepsen,9,0,1
Hartford,Rocky Hill 1A - CC D2,Attorney General,,Green,Stephen Fournier,48,2,6
Hartford,Rocky Hill 3B D3,Governor,,REP,Thomas C. Foley,745,11,36
Hartford,Rocky Hill 3B D3,Governor,,IND,Thomas C. Foley,33,0,1
Hartford,Rocky Hill 3B D3,Governor,,UNK,Thomas C. Foley,7,0,0
Hartford,Rocky Hill 3B D3,Governor,,DEM,Dannel P. Malloy,591,7,42
Hartford,Rocky Hill 3B D3,Governor,,WF,Dannel P. Malloy,31,0,0
Hartford,Rocky Hill 3B D3,Governor,,UNK,Dannel P. Malloy,25,0,0
Hartford,Rocky Hill 3B D3,Governor,,PC,Joe Visconti,17,1,2
Hartford,Rocky Hill 3B D3,U.S. House,1,REP,Matthew Corey,591,7,
Hartford,Rocky Hill 3B D3,U.S. House,1,DEM,John Larson,824,9,49
Hartford,Rocky Hill 3B D3,U.S. House,1,WF,John Larson,55,0,3
Hartford,Rocky Hill 3B D3,U.S. House,1,UNK,John Larson,11,0,0
Hartford,Rocky Hill 3B D3,U.S. House,1,Green,Jeffery Russell,20,2,1
Hartford,Rocky Hill 3B D3,State Senate,,REP,Earle Roberts,557,7,19
Hartford,Rocky Hill 3B D3,State Senate,,DEM,Paul Doyle,924,11,54
Hartford,Rocky Hill 3B D3,State Assembly,,DEM,Tony Guerrera,1034,12,55
Hartford,Rocky Hill 3B D3,State Assembly,,WF,Tony Guerrera,136,1,4
Hartford,Rocky Hill 3B D3,State Assembly,,UNK,Tony Guerrera,23,0,1
